flowID,coflowID,src,dst,bandwidth,weight
0,0,16,11,588.6991104725661,1
1,0,14,15,1060.181398284609,1
2,0,22,18,709.741778312295,1
3,0,19,17,762.8192046791753,1
4,0,19,4,658.2749198021257,1
0,1,6,16,665.9319420481213,1
1,1,17,11,795.3872656232663,1
2,1,22,17,844.5960020002142,1
3,1,10,19,888.7661808317739,1
4,1,13,18,558.7900093408962,1
0,2,21,22,681.8809630427352,1
1,2,23,12,775.853570489588,1
2,2,3,0,991.8403919994339,1
3,2,17,15,1073.2226604621048,1
4,2,15,19,980.6158861610305,1
0,3,22,21,695.0974681043756,1
1,3,16,12,849.5312580849771,1
2,3,17,16,719.6194728230264,1
3,3,4,9,811.0789276845811,1
4,3,12,11,901.4755962941229,1
0,4,6,4,1071.881146348768,1
1,4,1,6,800.7812419792831,1
2,4,16,15,712.548716665271,1
3,4,2,0,788.7204740103449,1
4,4,0,5,834.0779370926566,1
0,5,22,15,869.8157906026205,1
1,5,1,4,640.5626024750507,1
2,5,16,2,745.2907517111474,1
3,5,3,23,846.1614288803389,1
4,5,17,7,706.1729646420806,1
0,6,23,21,1039.0741634319809,1
1,6,6,23,690.2883410056065,1
2,6,15,11,700.1977520012908,1
3,6,7,17,811.4882394943147,1
4,6,5,3,763.9976244796544,1
0,7,18,19,558.2564816769927,1
1,7,5,4,793.3808660216052,1
2,7,22,0,1214.954200501438,1
3,7,10,0,1037.1174477576985,1
4,7,0,4,628.5318835224975,1
0,8,16,21,723.2917255632434,1
1,8,20,13,1100.8748671921862,1
2,8,7,4,501.1984488551175,1
3,8,3,2,1040.8411001421837,1
4,8,8,16,637.6317792843158,1
0,9,17,3,1053.5213264899587,1
1,9,18,1,966.781523836064,1
2,9,1,15,881.7418522197465,1
3,9,7,14,540.4943497074715,1
4,9,0,16,690.936784655666,1
