LinkID,src,dst,cap
0,0,17,1867
1,17,0,1602
2,0,5,1709
3,5,0,1446
4,1,4,1144
5,4,1,1421
6,1,5,1727
7,5,1,1300
8,2,16,1177
9,16,2,1783
10,2,5,1926
11,5,2,1200
12,3,5,1845
13,5,3,1362
14,3,21,1576
15,21,3,1940
16,4,5,1012
17,5,4,1546
18,4,21,1330
19,21,4,1395
20,5,6,1087
21,6,5,1852
22,5,8,1222
23,8,5,1404
24,5,17,1942
25,17,5,1935
26,5,21,1496
27,21,5,1984
28,6,17,1007
29,17,6,1974
30,7,17,1105
31,17,7,1151
32,7,21,1953
33,21,7,1797
34,8,17,1123
35,17,8,1809
36,9,13,1736
37,13,9,1898
38,9,21,1297
39,21,9,1898
40,10,17,1780
41,17,10,1906
42,11,17,1675
43,17,11,1222
44,12,16,1661
45,16,12,1123
46,13,17,1356
47,17,13,1618
48,14,23,1323
49,23,14,1040
50,15,23,1520
51,23,15,1817
52,16,17,1884
53,17,16,1749
54,16,21,1599
55,21,16,1550
56,16,23,1665
57,23,16,1508
58,17,18,1705
59,18,17,1502
60,17,19,1543
61,19,17,1365
62,17,20,1629
63,20,17,1880
64,17,21,1003
65,21,17,1169
66,19,21,1653
67,21,19,1721
68,21,22,1963
69,22,21,1748
70,21,23,1182
71,23,21,1260
72,22,23,1367
73,23,22,1968
