LinkID,src,dst,cap
0,0,1,1875
1,1,0,1637
2,0,10,1212
3,10,0,1005
4,0,99,1916
5,99,0,1203
6,0,99,1022
7,99,0,1157
8,2,144,1600
9,144,2,1698
10,2,51,1119
11,51,2,1497
12,3,144,1357
13,144,3,1793
14,3,144,1283
15,144,3,1097
16,4,8,1865
17,8,4,1219
18,4,5,1191
19,5,4,1734
20,5,144,1754
21,144,5,1181
22,5,11,1056
23,11,5,1383
24,6,11,1592
25,11,6,1093
26,6,7,1474
27,7,6,1473
28,7,144,1148
29,144,7,1928
30,8,13,1400
31,13,8,1331
32,9,13,1040
33,13,9,1795
34,9,13,1882
35,13,9,1719
36,10,97,1240
37,97,10,1793
38,10,97,1122
39,97,10,1740
40,10,98,1315
41,98,10,1505
42,10,98,1517
43,98,10,1336
44,10,101,1794
45,101,10,1768
46,10,11,1093
47,11,10,1751
48,10,13,1885
49,13,10,1334
50,12,141,1407
51,141,12,1061
52,12,30,1960
53,30,12,1092
54,13,119,1458
55,119,13,1847
56,14,17,1882
57,17,14,1854
58,14,141,1639
59,141,14,1526
60,15,18,1939
61,18,15,1315
62,15,19,1442
63,19,15,1308
64,15,132,1254
65,132,15,1591
66,16,51,1217
67,51,16,1158
68,16,60,1973
69,60,16,1633
70,17,136,1059
71,136,17,1717
72,17,134,1050
73,134,17,1202
74,17,133,1356
75,133,17,1357
76,17,133,1087
77,133,17,1712
78,17,143,1985
79,143,17,1752
80,18,142,1653
81,142,18,1852
82,19,49,1824
83,49,19,1861
84,20,23,1799
85,23,20,1658
86,21,81,1278
87,81,21,1496
88,22,23,1503
89,23,22,1042
90,23,151,1086
91,151,23,1164
92,23,151,1788
93,151,23,1712
94,24,81,1697
95,81,24,1609
96,25,81,1085
97,81,25,1486
98,26,81,1755
99,81,26,1748
100,27,81,1641
101,81,27,1399
102,28,140,1975
103,140,28,1836
104,28,29,1960
105,29,28,1336
106,30,118,1478
107,118,30,1776
108,30,119,1947
109,119,30,1686
110,31,119,1383
111,119,31,1752
112,31,119,1757
113,119,31,1513
114,32,33,1950
115,33,32,1105
116,32,35,1843
117,35,32,1611
118,33,74,1756
119,74,33,1182
120,33,38,1395
121,38,33,1201
122,34,119,1272
123,119,34,1855
124,34,119,1202
125,119,34,1332
126,35,74,1598
127,74,35,1398
128,36,73,1734
129,73,36,1439
130,36,39,1621
131,39,36,1479
132,37,73,1447
133,73,37,1495
134,38,74,1296
135,74,38,1142
136,39,124,1230
137,124,39,1951
138,40,142,1419
139,142,40,1535
140,41,142,1026
141,142,41,1534
142,42,142,1062
143,142,42,1185
144,43,142,1378
145,142,43,1472
146,44,142,1507
147,142,44,1431
148,45,49,1294
149,49,45,1670
150,46,142,1477
151,142,46,1137
152,47,142,1188
153,142,47,1961
154,48,49,1767
155,49,48,1350
156,49,129,1306
157,129,49,1099
158,50,56,1945
159,56,50,1587
160,50,58,1765
161,58,50,1756
162,50,51,1254
163,51,50,1333
164,50,52,1110
165,52,50,1690
166,50,53,1293
167,53,50,1646
168,51,136,1476
169,136,51,1574
170,51,53,1203
171,53,51,1746
172,51,92,1098
173,92,51,1207
174,51,127,1589
175,127,51,1450
176,51,127,1548
177,127,51,1090
178,53,92,1820
179,92,53,1086
180,54,139,1233
181,139,54,1729
182,54,140,1781
183,140,54,1514
184,54,55,1868
185,55,54,1019
186,55,140,1599
187,140,55,1518
188,56,57,1847
189,57,56,1633
190,56,57,1064
191,57,56,1261
192,56,59,1757
193,59,56,1869
194,58,59,1136
195,59,58,1621
196,60,128,1087
197,128,60,1618
198,60,144,1077
199,144,60,1962
200,61,81,1185
201,81,61,1920
202,62,115,1808
203,115,62,1570
204,62,140,1127
205,140,62,1209
206,62,94,1051
207,94,62,1197
208,63,125,1237
209,125,63,1772
210,63,126,1104
211,126,63,1691
212,64,72,1551
213,72,64,1315
214,64,126,1003
215,126,64,1632
216,65,152,1638
217,152,65,1352
218,66,152,1456
219,152,66,1966
220,66,68,1397
221,68,66,1075
222,67,152,1954
223,152,67,1128
224,68,81,1661
225,81,68,1212
226,68,108,1722
227,108,68,1323
228,69,152,1493
229,152,69,1944
230,70,152,1167
231,152,70,1875
232,71,152,1310
233,152,71,1841
234,72,152,1254
235,152,72,1525
236,73,120,1327
237,120,73,1512
238,73,117,1670
239,117,73,1692
240,74,117,1195
241,117,74,1467
242,74,125,1730
243,125,74,1516
244,75,140,1422
245,140,75,1818
246,75,150,1445
247,150,75,1116
248,76,140,1557
249,140,76,1840
250,76,77,1068
251,77,76,1606
252,77,150,1252
253,150,77,1126
254,78,115,1739
255,115,78,1399
256,78,94,1860
257,94,78,1315
258,78,142,1372
259,142,78,1594
260,79,137,1400
261,137,79,1026
262,79,122,1029
263,122,79,1860
264,79,84,1888
265,84,79,1064
266,80,137,1746
267,137,80,1894
268,80,151,1901
269,151,80,1051
270,81,107,1502
271,107,81,1704
272,81,93,1358
273,93,81,1139
274,82,123,1108
275,123,82,1520
276,82,138,1161
277,138,82,1571
278,82,83,1271
279,83,82,1443
280,82,84,1024
281,84,82,1810
282,85,123,1683
283,123,85,1104
284,86,121,1912
285,121,86,1447
286,86,122,1110
287,122,86,1529
288,86,151,1477
289,151,86,1977
290,87,152,1023
291,152,87,1772
292,88,152,1998
293,152,88,1592
294,89,152,1382
295,152,89,1030
296,90,138,1374
297,138,90,1707
298,91,140,1060
299,140,91,1411
300,91,150,1065
301,150,91,1743
302,95,107,1799
303,107,95,1351
304,96,152,1212
305,152,96,1969
306,97,100,1615
307,100,97,1883
308,97,100,1520
309,100,97,1441
310,98,101,1884
311,101,98,1509
312,99,102,1695
313,102,99,1448
314,99,102,1293
315,102,99,1746
316,101,104,1571
317,104,101,1613
318,101,104,1810
319,104,101,1817
320,103,152,1407
321,152,103,1105
322,105,106,1068
323,106,105,1791
324,105,108,1687
325,108,105,1447
326,106,152,1559
327,152,106,1385
328,107,111,1426
329,111,107,1539
330,109,112,1995
331,112,109,1093
332,109,152,1323
333,152,109,1215
334,110,152,1115
335,152,110,1086
336,111,112,1844
337,112,111,1947
338,113,152,1302
339,152,113,1761
340,114,152,1501
341,152,114,1726
342,115,139,1834
343,139,115,1935
344,116,142,1514
345,142,116,1821
346,117,118,1610
347,118,117,1385
348,118,139,1540
349,139,118,1198
350,121,148,1701
351,148,121,1569
352,123,145,1300
353,145,123,1135
354,123,139,1630
355,139,123,1223
356,123,124,1925
357,124,123,1658
358,129,131,1834
359,131,129,1115
360,130,143,1691
361,143,130,1345
362,131,143,1722
363,143,131,1883
364,132,143,1380
365,143,132,1665
366,134,135,1828
367,135,134,1708
368,135,136,1133
369,136,135,1191
370,138,152,1158
371,152,138,1193
372,139,146,1301
373,146,139,1576
374,139,149,1238
375,149,139,1124
376,140,142,1594
377,142,140,1560
378,146,147,1794
379,147,146,1278
380,148,149,1896
381,149,148,1526
