flowID,coflowID,src,dst,bandwidth,weight
0,0,96,150,519.6565874504664,1
1,0,50,78,623.7320047593105,1
2,0,103,143,1029.1489270909922,1
3,0,18,131,1072.8497481356517,1
4,0,128,75,922.0723130476485,1
5,0,95,79,535.0657260771778,1
6,0,152,103,539.7485482300303,1
7,0,115,112,982.4448616482566,1
8,0,22,113,858.9708503857044,1
9,0,139,137,785.9473082721286,1
0,1,73,116,554.8589628139352,1
1,1,149,60,599.0715333089927,1
2,1,87,44,744.1004536683012,1
3,1,96,112,1063.6185406939787,1
4,1,68,92,524.2733249405514,1
5,1,101,69,937.4009790997331,1
6,1,71,12,956.7014337061778,1
7,1,29,129,518.9336101315394,1
8,1,114,64,846.7291726988584,1
9,1,35,24,667.5415642691021,1
0,2,15,148,505.63598240690135,1
1,2,5,140,548.1735476822986,1
2,2,111,117,973.252148302099,1
3,2,101,1,718.709058196846,1
4,2,39,129,558.6839280907946,1
5,2,115,26,556.5511848720919,1
6,2,147,138,693.6632863718492,1
7,2,14,59,938.973757851684,1
8,2,84,111,566.8737578055295,1
9,2,90,101,566.5568950909111,1
0,3,52,40,635.4734804767617,1
1,3,16,99,959.7955868775017,1
2,3,18,84,694.789900522172,1
3,3,19,13,893.9255350926421,1
4,3,39,71,1025.4480781390587,1
5,3,137,36,530.3152323086183,1
6,3,100,70,1036.2709392333456,1
7,3,133,138,706.917288667459,1
8,3,34,133,640.0941249983607,1
9,3,112,89,1080.1042527339257,1
0,4,132,64,507.3121023620315,1
1,4,124,113,673.1067518888419,1
2,4,33,106,558.5009003064835,1
3,4,83,142,888.7488755281963,1
4,4,48,43,882.7738566707765,1
5,4,94,63,899.8230419492957,1
6,4,5,17,946.3849413216271,1
7,4,84,6,906.068582066629,1
8,4,86,88,1026.1315264695027,1
9,4,37,53,803.3388282461503,1
