LinkID,src,dst,cap
0,0,14,1538
1,14,0,1965
2,1,17,1504
3,17,1,1345
4,2,128,1831
5,128,2,1348
6,2,3,1407
7,3,2,1959
8,3,125,1582
9,125,3,1243
10,4,16,1701
11,16,4,1949
12,4,5,1117
13,5,4,1701
14,5,6,1785
15,6,5,1910
16,6,7,1697
17,7,6,1503
18,7,8,1588
19,8,7,1062
20,8,9,1122
21,9,8,1882
22,9,14,1317
23,14,9,1621
24,10,16,1801
25,16,10,1442
26,10,46,1564
27,46,10,1717
28,11,98,1114
29,98,11,1681
30,11,100,1440
31,100,11,1839
32,11,95,1811
33,95,11,1694
34,12,117,1173
35,117,12,1281
36,13,147,1338
37,147,13,1573
38,14,94,1405
39,94,14,1586
40,15,131,1790
41,131,15,1687
42,15,125,1772
43,125,15,1551
44,16,95,1733
45,95,16,1794
46,17,132,1353
47,132,17,1994
48,17,94,1622
49,94,17,1213
50,18,41,1321
51,41,18,1001
52,18,103,1245
53,103,18,1070
54,19,59,1633
55,59,19,1805
56,19,142,1201
57,142,19,1737
58,20,80,1154
59,80,20,1310
60,20,133,1430
61,133,20,1895
62,20,134,1997
63,134,20,1798
64,20,141,1520
65,141,20,1618
66,20,144,1064
67,144,20,1220
68,20,81,1706
69,81,20,1813
70,21,26,1988
71,26,21,1595
72,21,23,1995
73,23,21,1897
74,22,142,1328
75,142,22,1434
76,22,23,1100
77,23,22,1265
78,24,81,1719
79,81,24,1723
80,24,27,1085
81,27,24,1187
82,24,25,1636
83,25,24,1242
84,25,89,1797
85,89,25,1657
86,25,50,1448
87,50,25,1748
88,26,27,1120
89,27,26,1140
90,27,144,1051
91,144,27,1131
92,28,142,1022
93,142,28,1100
94,28,54,1114
95,54,28,1859
96,29,51,1822
97,51,29,1413
98,29,139,1701
99,139,29,1316
100,29,142,1510
101,142,29,1119
102,30,126,1019
103,126,30,1600
104,31,72,1655
105,72,31,1439
106,31,62,1240
107,62,31,1914
108,32,129,1084
109,129,32,1379
110,32,35,1498
111,35,32,1002
112,33,129,1131
113,129,33,1387
114,33,61,1667
115,61,33,1156
116,34,72,1865
117,72,34,1125
118,34,73,1792
119,73,34,1613
120,35,73,1074
121,73,35,1146
122,36,75,1114
123,75,36,1601
124,36,39,1192
125,39,36,1121
126,37,122,1973
127,122,37,1591
128,37,75,1984
129,75,37,1042
130,38,76,1753
131,76,38,1912
132,38,77,1643
133,77,38,1815
134,39,70,1438
135,70,39,1063
136,40,64,1956
137,64,40,1886
138,40,65,1039
139,65,40,1326
140,40,66,1927
141,66,40,1171
142,40,63,1729
143,63,40,1908
144,41,98,1065
145,98,41,1646
146,41,101,1284
147,101,41,1030
148,41,104,1699
149,104,41,1153
150,41,105,1392
151,105,41,1686
152,41,106,1829
153,106,41,1426
154,41,44,1202
155,44,41,1068
156,41,47,1070
157,47,41,1822
158,42,43,1767
159,43,42,1104
160,42,148,1245
161,148,42,1851
162,43,137,1666
163,137,43,1771
164,44,48,1316
165,48,44,1321
166,44,45,1011
167,45,44,1481
168,45,48,1000
169,48,45,1093
170,45,128,1540
171,128,45,1113
172,49,128,1844
173,128,49,1928
174,49,127,1999
175,127,49,1155
176,50,57,1188
177,57,50,1828
178,51,117,1078
179,117,51,1832
180,51,140,1962
181,140,51,1792
182,51,87,1494
183,87,51,1310
184,52,143,1936
185,143,52,1736
186,52,53,1805
187,53,52,1986
188,52,55,1693
189,55,52,1528
190,53,58,1143
191,58,53,1084
192,54,55,1468
193,55,54,1567
194,56,57,1377
195,57,56,1787
196,56,59,1613
197,59,56,1897
198,58,142,1752
199,142,58,1080
200,58,117,1612
201,117,58,1941
202,60,130,1799
203,130,60,1208
204,61,130,1205
205,130,61,1659
206,61,62,1151
207,62,61,1665
208,62,131,1596
209,131,62,1709
210,64,65,1747
211,65,64,1668
212,64,126,1704
213,126,64,1248
214,66,102,1273
215,102,66,1746
216,67,107,1887
217,107,67,1175
218,67,102,1023
219,102,67,1396
220,68,130,1716
221,130,68,1445
222,68,83,1641
223,83,68,1975
224,69,130,1639
225,130,69,1020
226,70,120,1210
227,120,70,1878
228,70,125,1706
229,125,70,1671
230,70,118,1462
231,118,70,1449
232,70,77,1929
233,77,70,1603
234,71,88,1799
235,88,71,1883
236,71,129,1585
237,129,71,1899
238,72,123,1994
239,123,72,1074
240,74,112,1215
241,112,74,1263
242,74,145,1015
243,145,74,1924
244,76,122,1084
245,122,76,1040
246,77,116,1414
247,116,77,1878
248,78,129,1128
249,129,78,1705
250,78,85,1589
251,85,78,1600
252,79,80,1724
253,80,79,1958
254,79,81,1533
255,81,79,1340
256,79,86,1299
257,86,79,1246
258,81,82,1292
259,82,81,1279
260,82,85,1320
261,85,82,1752
262,83,130,1665
263,130,83,1462
264,83,84,1244
265,84,83,1220
266,84,130,1237
267,130,84,1071
268,86,129,1926
269,129,86,1627
270,87,112,1266
271,112,87,1453
272,87,145,1573
273,145,87,1220
274,87,117,1359
275,117,87,1765
276,88,89,1885
277,89,88,1555
278,90,140,1056
279,140,90,1912
280,90,111,1960
281,111,90,1709
282,91,92,1027
283,92,91,1084
284,91,109,1423
285,109,91,1555
286,92,94,1323
287,94,92,1193
288,93,96,1286
289,96,93,1375
290,93,100,1044
291,100,93,1960
292,93,94,1807
293,94,93,1810
294,94,99,1743
295,99,94,1651
296,95,96,1686
297,96,95,1740
298,97,100,1772
299,100,97,1616
300,97,103,1280
301,103,97,1246
302,99,103,1097
303,103,99,1284
304,101,102,1247
305,102,101,1970
306,103,106,1056
307,106,103,1048
308,105,108,1835
309,108,105,1450
310,107,108,1657
311,108,107,1690
312,107,110,1520
313,110,107,1769
314,109,110,1787
315,110,109,1944
316,110,121,1022
317,121,110,1657
318,111,112,1410
319,112,111,1390
320,112,145,1845
321,145,112,1842
322,112,135,1366
323,135,112,1642
324,113,120,1876
325,120,113,1092
326,113,116,1697
327,116,113,1404
328,114,120,1839
329,120,114,1626
330,114,130,1318
331,130,114,1146
332,114,115,1074
333,115,114,1679
334,115,116,1414
335,116,115,1439
336,116,121,1961
337,121,116,1140
338,118,119,1814
339,119,118,1860
340,119,120,1451
341,120,119,1479
342,120,130,1606
343,130,120,1542
344,123,131,1969
345,131,123,1888
346,123,124,1374
347,124,123,1486
348,124,131,1624
349,131,124,1537
350,124,141,1623
351,141,124,1933
352,125,132,1007
353,132,125,1714
354,125,131,1046
355,131,125,1245
356,126,127,1256
357,127,126,1451
358,130,131,1814
359,131,130,1391
360,133,148,1965
361,148,133,1377
362,133,141,1987
363,141,133,1716
364,134,141,1321
365,141,134,1394
366,135,136,1904
367,136,135,1162
368,135,146,1930
369,146,135,1449
370,136,147,1696
371,147,136,1001
372,137,138,1651
373,138,137,1425
374,138,140,1293
375,140,138,1665
376,139,144,1340
377,144,139,1857
378,140,144,1447
379,144,140,1646
380,144,148,1013
381,148,144,1126
382,145,146,1854
383,146,145,1215
384,146,147,1444
385,147,146,1501
