flowID,coflowID,src,dst,bandwidth,weight
0,0,143,139,808.5162614901037,1
1,0,96,20,597.7794943947109,1
2,0,75,20,1011.6145345604649,1
3,0,91,67,629.2315219017363,1
4,0,64,128,934.6025051659533,1
5,0,118,146,1168.1736067993663,1
6,0,138,98,631.8388683002395,1
7,0,140,30,1136.945312175235,1
8,0,134,8,855.2371841799787,1
9,0,90,56,688.888287243347,1
0,1,36,71,844.5995904442959,1
1,1,125,7,513.4687970727205,1
2,1,25,103,982.2115402267914,1
3,1,69,50,820.1707941011218,1
4,1,8,11,974.3943584131847,1
5,1,6,146,501.0194527543274,1
6,1,103,37,959.8545277751186,1
7,1,83,23,711.7718013366557,1
8,1,36,88,592.3522146981428,1
9,1,136,79,713.9525310313985,1
0,2,76,125,961.0836331623375,1
1,2,30,17,790.8990701176095,1
2,2,30,52,1020.1375047550184,1
3,2,115,120,1043.1461818283833,1
4,2,21,7,800.5507780744649,1
5,2,29,125,1050.6811649546362,1
6,2,92,34,852.4192410665064,1
7,2,5,51,1204.19876442578,1
8,2,11,0,840.9294117743977,1
9,2,71,9,1063.8556152731737,1
0,3,32,48,802.1328016155484,1
1,3,30,11,685.4401394717361,1
2,3,97,63,1052.8548590399198,1
3,3,111,51,963.5978040936695,1
4,3,146,62,782.627481897782,1
5,3,128,86,765.3379816530544,1
6,3,86,64,656.3620244068647,1
7,3,101,137,681.5794206728826,1
8,3,104,47,1016.7178551311553,1
9,3,85,144,601.1208660568157,1
0,4,142,91,801.5043459983465,1
1,4,74,86,627.6966194975703,1
2,4,68,64,575.9834988255164,1
3,4,8,37,811.2110352461443,1
4,4,44,7,884.1924665340194,1
5,4,82,136,1045.3981314099242,1
6,4,84,8,979.1794270237739,1
7,4,129,11,940.5718816990225,1
8,4,61,86,769.1769388361367,1
9,4,13,116,548.2771978398712,1
