LinkID,src,dst,cap
0,0,1,1706
1,1,0,1344
2,0,2,1042
3,2,0,1105
4,0,4,1804
5,4,0,1091
6,0,34,1271
7,34,0,1713
8,0,30,1676
9,30,0,1171
10,1,33,1178
11,33,1,1404
12,2,32,1112
13,32,2,1759
14,2,35,1894
15,35,2,1044
16,2,4,1031
17,4,2,1315
18,2,38,1917
19,38,2,1022
20,2,36,1989
21,36,2,1424
22,2,31,1790
23,31,2,1146
24,3,10,1739
25,10,3,1351
26,3,19,1116
27,19,3,1044
28,3,4,1057
29,4,3,1751
30,3,5,1281
31,5,3,1940
32,3,30,1981
33,30,3,1494
34,4,5,1146
35,5,4,1659
36,4,6,1518
37,6,4,1073
38,4,8,1825
39,8,4,1423
40,4,16,1088
41,16,4,1480
42,4,17,1714
43,17,4,1292
44,4,29,1928
45,29,4,1699
46,4,31,1019
47,31,4,1893
48,5,23,1836
49,23,5,1896
50,6,7,1267
51,7,6,1903
52,7,8,1458
53,8,7,1234
54,7,25,1726
55,25,7,1343
56,7,34,1190
57,34,7,1252
58,8,9,1242
59,9,8,1655
60,8,25,1180
61,25,8,1767
62,9,25,1169
63,25,9,1734
64,9,18,1614
65,18,9,1864
66,9,29,1623
67,29,9,1114
68,9,15,1556
69,15,9,1915
70,11,13,1441
71,13,11,1447
72,12,22,1651
73,22,12,1182
74,12,20,1473
75,20,12,1448
76,12,13,1141
77,13,12,1853
78,12,14,1270
79,14,12,1621
80,12,15,1189
81,15,12,1637
82,13,14,1106
83,14,13,1005
84,13,22,1957
85,22,13,1368
86,15,29,1781
87,29,15,1739
88,16,34,1763
89,34,16,1437
90,17,30,1486
91,30,17,1016
92,21,27,1832
93,27,21,1182
94,22,26,1831
95,26,22,1071
96,22,27,1937
97,27,22,1279
98,22,23,1171
99,23,22,1640
100,23,29,1154
101,29,23,1925
102,24,25,1081
103,25,24,1873
104,24,34,1091
105,34,24,1705
106,27,28,1809
107,28,27,1013
108,28,29,1846
109,29,28,1353
110,30,39,1667
111,39,30,1441
112,32,34,1446
113,34,32,1286
114,33,34,1447
115,34,33,1026
116,35,36,1411
117,36,35,1719
118,36,37,1612
119,37,36,1819
120,38,39,1407
121,39,38,1720
