LinkID,src,dst,cap
0,0,64,1094
1,64,0,1387
2,0,64,1116
3,64,0,1840
4,0,1,1302
5,1,0,1042
6,0,9,1257
7,9,0,1126
8,0,8,1778
9,8,0,1564
10,0,63,1986
11,63,0,1867
12,0,63,1299
13,63,0,1988
14,1,65,1953
15,65,1,1896
16,2,55,1776
17,55,2,1640
18,2,87,1712
19,87,2,1307
20,3,88,1362
21,88,3,1538
22,3,4,1797
23,4,3,1301
24,3,4,1492
25,4,3,1029
26,3,45,1348
27,45,3,1424
28,3,86,1936
29,86,3,1222
30,3,47,1543
31,47,3,1982
32,4,86,1161
33,86,4,1991
34,4,5,1497
35,5,4,1185
36,4,6,1903
37,6,4,1274
38,4,6,1967
39,6,4,1584
40,4,7,1639
41,7,4,1622
42,5,46,1065
43,46,5,1686
44,6,80,1249
45,80,6,1297
46,6,81,1241
47,81,6,1613
48,6,62,1937
49,62,6,1637
50,7,8,1031
51,8,7,1890
52,8,86,1267
53,86,8,1295
54,8,63,1910
55,63,8,1381
56,8,63,1246
57,63,8,1556
58,9,63,1175
59,63,9,1023
60,10,16,1753
61,16,10,1816
62,10,104,1967
63,104,10,1127
64,10,11,1111
65,11,10,1542
66,10,13,1894
67,13,10,1684
68,11,16,1026
69,16,11,1141
70,11,104,1893
71,104,11,1661
72,11,13,1397
73,13,11,1041
74,12,19,1095
75,19,12,1064
76,12,13,1546
77,13,12,1150
78,14,17,1116
79,17,14,1435
80,14,84,1327
81,84,14,1535
82,15,97,1718
83,97,15,1197
84,15,47,1226
85,47,15,1710
86,16,104,1997
87,104,16,1624
88,17,43,1353
89,43,17,1518
90,18,19,1188
91,19,18,1689
92,18,35,1536
93,35,18,1402
94,19,104,1524
95,104,19,1540
96,19,36,1600
97,36,19,1017
98,19,37,1915
99,37,19,1292
100,19,37,1429
101,37,19,1130
102,20,21,1140
103,21,20,1952
104,20,22,1064
105,22,20,1918
106,20,23,1956
107,23,20,1987
108,21,26,1780
109,26,21,1210
110,22,83,1928
111,83,22,1774
112,23,105,1898
113,105,23,1758
114,24,25,1834
115,25,24,1679
116,24,27,1031
117,27,24,1925
118,24,95,1155
119,95,24,1646
120,25,89,1207
121,89,25,1029
122,25,26,1320
123,26,25,1753
124,25,28,1374
125,28,25,1157
126,25,92,1119
127,92,25,1821
128,27,83,1808
129,83,27,1587
130,28,29,1324
131,29,28,1322
132,29,92,1600
133,92,29,1585
134,30,103,1888
135,103,30,1956
136,30,36,1839
137,36,30,1003
138,30,36,1739
139,36,30,1523
140,30,77,1001
141,77,30,1698
142,30,31,1565
143,31,30,1947
144,31,112,1946
145,112,31,1272
146,31,36,1562
147,36,31,1169
148,31,37,1660
149,37,31,1684
150,32,33,1383
151,33,32,1272
152,32,34,1143
153,34,32,1537
154,33,38,1193
155,38,33,1285
156,34,35,1700
157,35,34,1836
158,36,37,1152
159,37,36,1604
160,36,37,1452
161,37,36,1760
162,38,39,1969
163,39,38,1723
164,40,41,1912
165,41,40,1038
166,40,49,1856
167,49,40,1180
168,41,42,1172
169,42,41,1960
170,42,43,1675
171,43,42,1317
172,43,45,1602
173,45,43,1351
174,44,47,1706
175,47,44,1259
176,46,47,1966
177,47,46,1186
178,47,73,1842
179,73,47,1401
180,47,51,1533
181,51,47,1728
182,47,84,1533
183,84,47,1755
184,47,111,1622
185,111,47,1389
186,47,60,1047
187,60,47,1459
188,47,60,1874
189,60,47,1863
190,48,57,1766
191,57,48,1991
192,48,49,1717
193,49,48,1419
194,49,84,1471
195,84,49,1822
196,49,54,1542
197,54,49,1596
198,50,57,1674
199,57,50,1836
200,50,91,1752
201,91,50,1041
202,50,52,1432
203,52,50,1956
204,50,51,1903
205,51,50,1839
206,52,53,1085
207,53,52,1395
208,53,59,1821
209,59,53,1401
210,53,60,1684
211,60,53,1082
212,54,56,1650
213,56,54,1292
214,54,90,1495
215,90,54,1734
216,54,111,1480
217,111,54,1778
218,54,55,1811
219,55,54,1785
220,55,94,1538
221,94,55,1256
222,55,111,1866
223,111,55,1000
224,56,57,1196
225,57,56,1976
226,58,105,1860
227,105,58,1199
228,58,61,1476
229,61,58,1888
230,58,110,1738
231,110,58,1134
232,59,60,1380
233,60,59,1682
234,60,104,1522
235,104,60,1953
236,60,104,1984
237,104,60,1905
238,60,104,1544
239,104,60,1214
240,60,97,1525
241,97,60,1955
242,61,82,1459
243,82,61,1040
244,62,80,1764
245,80,62,1861
246,62,70,1780
247,70,62,1422
248,62,85,1246
249,85,62,1154
250,63,85,1251
251,85,63,1491
252,63,70,1191
253,70,63,1955
254,64,65,1289
255,65,64,1088
256,64,66,1926
257,66,64,1747
258,64,66,1209
259,66,64,1636
260,64,67,1653
261,67,64,1748
262,66,67,1029
263,67,66,1440
264,66,69,1502
265,69,66,1028
266,66,85,1419
267,85,66,1060
268,68,69,1912
269,69,68,1041
270,68,71,1773
271,71,68,1540
272,70,71,1678
273,71,70,1502
274,72,73,1808
275,73,72,1834
276,72,75,1108
277,75,72,1695
278,72,75,1563
279,75,72,1922
280,72,75,1221
281,75,72,1392
282,72,81,1314
283,81,72,1990
284,72,81,1692
285,81,72,1577
286,72,81,1264
287,81,72,1790
288,73,98,1648
289,98,73,1799
290,74,112,1698
291,112,74,1180
292,74,75,1375
293,75,74,1864
