flowID,coflowID,src,dst,bandwidth,weight
0,0,112,44,983.6610089509645,1
1,0,36,101,956.8933304441458,1
2,0,48,28,1036.1143697174293,1
3,0,56,97,592.5219138726642,1
4,0,24,58,1000.9019323468998,1
0,1,47,65,648.655346037988,1
1,1,87,108,591.4914076167065,1
2,1,77,53,761.7024975331881,1
3,1,75,34,603.5317559867995,1
4,1,10,31,1030.982721758626,1
0,2,84,13,764.9400096756307,1
1,2,26,56,578.0030986420588,1
2,2,18,4,1056.1037634108347,1
3,2,96,8,813.4656216547328,1
4,2,94,25,692.376812818244,1
0,3,11,61,677.8053206853327,1
1,3,62,35,627.0475550847872,1
2,3,87,93,947.0831709001528,1
3,3,67,30,967.0954209167855,1
4,3,81,104,731.9303394450708,1
0,4,43,107,1013.091081561091,1
1,4,70,48,694.4193959188653,1
2,4,64,63,925.6534868071903,1
3,4,22,77,615.5155840116465,1
4,4,85,45,586.3168217981653,1
0,5,83,93,960.0669927232651,1
1,5,8,52,982.7929791533056,1
2,5,39,78,935.0889269823317,1
3,5,70,29,946.0739792707176,1
4,5,78,69,1013.4520833874703,1
0,6,51,13,1069.4965703710127,1
1,6,100,21,574.8154365297623,1
2,6,81,67,962.180351084245,1
3,6,68,82,869.128145634885,1
4,6,57,94,726.2239860993873,1
0,7,86,83,807.8082266310248,1
1,7,1,58,682.508880294609,1
2,7,62,88,979.1936849182395,1
3,7,4,9,935.88827620341,1
4,7,13,53,520.7727749775531,1
0,8,79,89,1023.7579773539102,1
1,8,51,40,586.0549363385276,1
2,8,34,110,688.544888647325,1
3,8,67,75,525.7492346501544,1
4,8,95,32,1311.564724022213,1
0,9,32,38,673.6139387189294,1
1,9,42,74,838.8409977427261,1
2,9,30,98,752.2771381005442,1
3,9,47,8,780.0403333163466,1
4,9,27,104,733.9273283679784,1
0,10,38,95,656.0127946916843,1
1,10,16,26,905.3908982243197,1
2,10,11,28,941.4560292116984,1
3,10,33,28,1228.2244027685178,1
4,10,42,47,675.865463085639,1
0,11,92,2,931.2959654122193,1
1,11,42,43,775.69236453097,1
2,11,72,7,841.8870639684164,1
3,11,8,40,861.4317675220627,1
4,11,25,17,503.49669673274127,1
0,12,62,34,522.5246475993843,1
1,12,92,2,567.4897998218075,1
2,12,27,60,992.183337932489,1
3,12,104,112,552.6196462391773,1
4,12,44,69,590.1115571741977,1
0,13,35,45,720.9587565729464,1
1,13,45,6,705.3630206559781,1
2,13,1,55,846.8506152621109,1
3,13,18,1,549.4468444124981,1
4,13,39,82,873.0511881875196,1
0,14,26,51,940.5041517358859,1
1,14,27,60,631.4183722590052,1
2,14,53,72,574.6538675107851,1
3,14,14,2,769.1542785167719,1
4,14,35,45,627.3108468509269,1
0,15,4,36,872.5010088541467,1
1,15,109,104,903.1127263962471,1
2,15,96,73,874.3060386963157,1
3,15,83,52,599.6674229208879,1
4,15,40,72,607.0834178060658,1
0,16,74,36,1151.596716802114,1
1,16,7,65,847.9496290875775,1
2,16,27,86,1020.1005287086934,1
3,16,79,26,761.2267315645963,1
4,16,33,66,929.3611970199329,1
0,17,93,51,807.2090255720011,1
1,17,57,66,1134.1835941568088,1
2,17,65,41,1050.620705147313,1
3,17,9,34,519.3854119756925,1
4,17,39,57,1112.8571695131682,1
0,18,13,27,1048.7242805521696,1
1,18,21,3,916.478172887922,1
2,18,68,13,504.4777020592864,1
3,18,42,2,715.2567913356091,1
4,18,8,21,1063.8808728663503,1
0,19,102,92,1024.130338040346,1
1,19,98,110,649.537217565341,1
2,19,57,107,1046.3799344743852,1
3,19,90,52,645.0004082552673,1
4,19,104,25,582.3455009994921,1
