LinkID,src,dst,cap
0,0,237,1929
1,237,0,1814
2,0,751,1861
3,751,0,1846
4,1,3,1589
5,3,1,1096
6,1,117,1769
7,117,1,1987
8,2,441,1472
9,441,2,1962
10,2,4,1219
11,4,2,1995
12,3,120,1575
13,120,3,1785
14,4,649,1477
15,649,4,1989
16,5,317,1111
17,317,5,1581
18,5,719,1056
19,719,5,1289
20,6,308,1912
21,308,6,1308
22,6,719,1035
23,719,6,1301
24,7,512,1540
25,512,7,1306
26,7,244,1706
27,244,7,1070
28,8,9,1230
29,9,8,1974
30,8,449,1805
31,449,8,1377
32,9,220,1733
33,220,9,1836
34,10,272,1073
35,272,10,1942
36,10,11,1002
37,11,10,1391
38,11,57,1992
39,57,11,1229
40,12,562,1502
41,562,12,1104
42,12,70,1095
43,70,12,1719
44,13,57,1367
45,57,13,1518
46,13,14,1634
47,14,13,1161
48,14,15,1687
49,15,14,1626
50,15,16,1766
51,16,15,1728
52,15,16,1194
53,16,15,1807
54,16,17,1749
55,17,16,1277
56,16,718,1039
57,718,16,1517
58,16,311,1916
59,311,16,1391
60,17,348,1271
61,348,17,1621
62,18,43,1661
63,43,18,1593
64,18,42,1642
65,42,18,1121
66,18,339,1288
67,339,18,1741
68,18,487,1222
69,487,18,1509
70,19,504,1680
71,504,19,1535
72,19,43,1265
73,43,19,1202
74,20,634,1473
75,634,20,1277
76,20,654,1838
77,654,20,1689
78,21,245,1762
79,245,21,1246
80,21,118,1748
81,118,21,1538
82,22,666,1360
83,666,22,1593
84,22,603,1767
85,603,22,1452
86,22,524,1232
87,524,22,1869
88,23,393,1344
89,393,23,1224
90,23,25,1577
91,25,23,1337
92,24,490,1631
93,490,24,1022
94,24,628,1709
95,628,24,1588
96,24,487,1024
97,487,24,1119
98,25,171,1865
99,171,25,1465
100,25,172,1647
101,172,25,1468
102,25,84,1400
103,84,25,1441
104,25,373,1364
105,373,25,1875
106,25,374,1225
107,374,25,1368
108,26,27,1578
109,27,26,1446
110,26,214,1081
111,214,26,1855
112,27,32,1103
113,32,27,1943
114,28,224,1121
115,224,28,1574
116,28,230,1937
117,230,28,1471
118,29,230,1711
119,230,29,1841
120,30,33,1900
121,33,30,1899
122,30,31,1247
123,31,30,1744
124,31,109,1504
125,109,31,1667
126,32,33,1237
127,33,32,1459
128,32,743,1832
129,743,32,1126
130,32,742,1207
131,742,32,1579
132,32,211,1761
133,211,32,1712
134,34,35,1477
135,35,34,1178
136,34,37,1480
137,37,34,1000
138,35,40,1422
139,40,35,1408
140,35,594,1723
141,594,35,1105
142,36,52,1020
143,52,36,1205
144,36,37,1962
145,37,36,1667
146,38,241,1683
147,241,38,1292
148,38,39,1466
149,39,38,1444
150,39,624,1791
151,624,39,1603
152,39,211,1763
153,211,39,1825
154,40,41,1589
155,41,40,1979
156,40,228,1978
157,228,40,1646
158,41,225,1961
159,225,41,1313
160,41,226,1179
161,226,41,1247
162,41,223,1082
163,223,41,1408
164,42,614,1267
165,614,42,1843
166,44,250,1936
167,250,44,1658
168,44,47,1976
169,47,44,1931
170,45,50,1114
171,50,45,1880
172,45,46,1082
173,46,45,1550
174,46,47,1542
175,47,46,1754
176,47,52,1469
177,52,47,1766
178,48,51,1167
179,51,48,1761
180,48,164,1676
181,164,48,1296
182,49,490,1641
183,490,49,1672
184,49,51,1125
185,51,49,1328
186,49,52,1420
187,52,49,1371
188,50,296,1466
189,296,50,1176
190,50,628,1251
191,628,50,1504
192,51,52,1151
193,52,51,1490
194,52,230,1346
195,230,52,1897
196,52,53,1978
197,53,52,1654
198,54,68,1806
199,68,54,1296
200,54,318,1001
201,318,54,1893
202,54,567,1984
203,567,54,1881
204,55,56,1859
205,56,55,1933
206,55,562,1693
207,562,55,1880
208,56,140,1404
209,140,56,1197
210,58,579,1397
211,579,58,1733
212,58,59,1875
213,59,58,1094
214,59,340,1337
215,340,59,1120
216,60,347,1555
217,347,60,1521
218,60,455,1372
219,455,60,1427
220,60,359,1973
221,359,60,1053
222,61,579,1009
223,579,61,1301
224,61,62,1948
225,62,61,1421
226,62,160,1430
227,160,62,1658
228,62,65,1639
229,65,62,1486
230,62,63,1467
231,63,62,1264
232,63,155,1034
233,155,63,1428
234,63,350,1358
235,350,63,1120
236,64,112,1533
237,112,64,1247
238,64,564,1024
239,564,64,1459
240,64,279,1506
241,279,64,1275
242,65,66,1001
243,66,65,1864
244,66,67,1784
245,67,66,1521
246,67,114,1061
247,114,67,1873
248,68,721,1671
249,721,68,1238
250,69,98,1848
251,98,69,1720
252,69,339,1323
253,339,69,1488
254,69,86,1902
255,86,69,1807
256,70,566,1092
257,566,70,1859
258,71,665,1890
259,665,71,1160
260,71,398,1135
261,398,71,1748
262,71,399,1898
263,399,71,1479
264,72,400,1249
265,400,72,1707
266,72,432,1901
267,432,72,1719
268,73,594,1613
269,594,73,1436
270,73,74,1994
271,74,73,1414
272,74,75,1964
273,75,74,1464
274,74,269,1802
275,269,74,1014
276,74,79,1034
277,79,74,1864
278,75,702,1041
279,702,75,1843
280,76,281,1596
281,281,76,1971
282,76,79,1299
283,79,76,1902
284,77,269,1300
285,269,77,1520
286,78,79,1986
287,79,78,1592
288,80,81,1139
289,81,80,1177
290,80,556,1904
291,556,80,1379
292,81,414,1685
293,414,81,1176
294,82,629,1563
295,629,82,1595
296,82,341,1003
297,341,82,1683
298,83,600,1488
299,600,83,1849
300,83,137,1997
301,137,83,1566
302,83,710,1475
303,710,83,1422
304,84,85,1360
305,85,84,1220
306,84,519,1511
307,519,84,1528
308,85,90,1463
309,90,85,1575
310,86,87,1445
311,87,86,1576
312,87,98,1066
313,98,87,1479
314,87,495,1624
315,495,87,1889
316,88,91,1668
317,91,88,1067
318,89,94,1116
319,94,89,1446
320,90,91,1206
321,91,90,1257
322,92,343,1804
323,343,92,1453
324,92,343,1478
325,343,92,1959
326,93,544,1634
327,544,93,1973
328,93,98,1063
329,98,93,1921
330,94,300,1052
331,300,94,1471
332,95,544,1975
333,544,95,1419
334,95,209,1144
335,209,95,1974
336,95,98,1133
337,98,95,1443
338,96,97,1062
339,97,96,1482
340,96,98,1159
341,98,96,1329
342,97,201,1082
343,201,97,1229
344,98,99,1888
345,99,98,1548
346,99,343,1312
347,343,99,1898
348,100,106,1601
349,106,100,1558
350,100,103,1163
351,103,100,1526
352,101,620,1123
353,620,101,1609
354,101,102,1286
355,102,101,1862
356,102,750,1288
357,750,102,1605
358,103,108,1136
359,108,103,1367
360,104,105,1291
361,105,104,1277
362,104,625,1866
363,625,104,1433
364,105,106,1250
365,106,105,1734
366,106,107,1033
367,107,106,1736
368,106,540,1852
369,540,106,1784
370,107,539,1703
371,539,107,1008
372,108,109,1473
373,109,108,1479
374,110,704,1278
375,704,110,1926
376,110,235,1900
377,235,110,1057
378,111,722,1257
379,722,111,1166
380,111,732,1494
381,732,111,1722
382,112,586,1722
383,586,112,1449
384,112,451,1555
385,451,112,1389
386,113,135,1945
387,135,113,1072
388,113,263,1916
389,263,113,1381
390,114,263,1018
391,263,114,1775
392,115,350,1491
393,350,115,1702
394,115,263,1007
395,263,115,1526
396,116,117,1171
397,117,116,1907
398,116,119,1080
399,119,116,1525
400,118,119,1564
401,119,118,1327
402,120,121,1059
403,121,120,1229
404,121,237,1573
405,237,121,1034
406,122,123,1276
407,123,122,1753
