LinkID,src,dst,cap
0,0,85,1195
1,85,0,1201
2,1,85,1920
3,85,1,1339
4,1,103,1205
5,103,1,1191
6,2,3,1535
7,3,2,1771
8,2,132,1860
9,132,2,1907
10,3,4,1764
11,4,3,1139
12,3,5,1112
13,5,3,1856
14,4,48,1426
15,48,4,1741
16,5,6,1897
17,6,5,1393
18,6,157,1609
19,157,6,1894
20,7,8,1783
21,8,7,1804
22,7,9,1680
23,9,7,1954
24,7,119,1623
25,119,7,1514
26,7,109,1906
27,109,7,1100
28,7,85,1528
29,85,7,1935
30,8,9,1703
31,9,8,1657
32,9,21,1320
33,21,9,1452
34,9,86,1928
35,86,9,1242
36,10,18,1972
37,18,10,1844
38,10,11,1176
39,11,10,1508
40,10,13,1401
41,13,10,1585
42,11,16,1777
43,16,11,1624
44,11,18,1064
45,18,11,1293
46,12,13,1022
47,13,12,1450
48,12,30,1761
49,30,12,1704
50,14,17,1107
51,17,14,1469
52,14,15,1212
53,15,14,1958
54,15,18,1343
55,18,15,1446
56,16,17,1731
57,17,16,1148
58,18,67,1011
59,67,18,1603
60,18,19,1305
61,19,18,1589
62,19,107,1233
63,107,19,1109
64,20,21,1524
65,21,20,1865
66,20,77,1560
67,77,20,1701
68,22,28,1411
69,28,22,1131
70,22,29,1560
71,29,22,1340
72,22,23,1735
73,23,22,1317
74,23,29,1645
75,29,23,1929
76,24,26,1823
77,26,24,1019
78,24,27,1603
79,27,24,1151
80,24,119,1242
81,119,24,1875
82,25,97,1051
83,97,25,1633
84,26,97,1338
85,97,26,1008
86,28,52,1682
87,52,28,1964
88,30,131,1771
89,131,30,1939
90,30,84,1011
91,84,30,1436
92,31,34,1168
93,34,31,1984
94,31,84,1131
95,84,31,1790
96,32,33,1226
97,33,32,1872
98,32,35,1135
99,35,32,1520
100,33,34,1671
101,34,33,1701
102,33,36,1283
103,36,33,1590
104,33,39,1939
105,39,33,1636
106,34,84,1356
107,84,34,1242
108,35,116,1078
109,116,35,1800
110,36,37,1342
111,37,36,1873
112,37,83,1554
113,83,37,1749
114,38,83,1531
115,83,38,1221
116,38,39,1523
117,39,38,1445
118,40,43,1424
119,43,40,1458
120,41,44,1036
121,44,41,1633
122,41,46,1920
123,46,41,1759
124,42,43,1305
125,43,42,1765
126,42,87,1099
127,87,42,1047
128,44,45,1466
129,45,44,1236
130,45,46,1499
131,46,45,1551
132,46,137,1297
133,137,46,1231
134,46,47,1553
135,47,46,1356
136,47,48,1641
137,48,47,1975
138,49,157,1821
139,157,49,1693
140,49,135,1318
141,135,49,1377
142,50,57,1162
143,57,50,1863
144,50,51,1766
145,51,50,1847
