flowID,coflowID,src,dst,bandwidth,weight
0,0,62,79,851.1419494533798,1
1,0,108,21,1051.9411671481917,1
2,0,86,122,536.7353709628618,1
3,0,153,67,985.5637545756695,1
4,0,145,126,836.1172635782999,1
5,0,59,150,821.978230489596,1
6,0,98,155,940.4456919485574,1
7,0,2,97,1021.236250930948,1
8,0,92,149,607.7978599637522,1
9,0,85,16,1018.4870351374883,1
10,0,43,75,1138.0014708834997,1
11,0,84,82,924.9558580808009,1
12,0,41,94,753.228740330286,1
13,0,137,5,1166.556630105996,1
14,0,56,104,997.8305961113028,1
15,0,18,132,1123.88258693805,1
16,0,109,56,1111.5132775608774,1
17,0,107,148,947.5519336207047,1
18,0,135,10,858.9500138871186,1
19,0,103,22,738.8246261841139,1
0,1,48,112,907.0714749506762,1
1,1,109,60,1015.1727391650479,1
2,1,35,90,1231.0645653161757,1
3,1,81,19,747.910416370471,1
4,1,12,80,894.0674966152328,1
5,1,142,108,839.3143642054538,1
6,1,50,10,984.3194265336617,1
7,1,74,20,719.5632989772196,1
8,1,123,1,1011.4135608073751,1
9,1,94,91,832.5622890339585,1
10,1,6,150,1053.7357522649884,1
11,1,31,30,1006.9287286422978,1
12,1,76,64,897.6960726218965,1
13,1,78,63,807.2394992833979,1
14,1,59,10,1166.6217906942813,1
15,1,74,8,504.52730056826164,1
16,1,14,5,659.9817286665734,1
17,1,35,132,1032.9575411640112,1
18,1,101,58,893.948574503113,1
19,1,53,91,600.0204433843742,1
0,2,49,1,1248.1357049909507,1
1,2,21,51,794.8809288029004,1
2,2,55,15,877.5037387741722,1
3,2,122,28,643.6981790084748,1
4,2,85,77,758.2939722640161,1
5,2,97,74,1007.0630669807701,1
6,2,6,155,755.6516851991353,1
7,2,47,12,810.1169122242711,1
8,2,30,155,879.321598977939,1
9,2,94,137,750.9946780833179,1
10,2,144,94,765.4860071985672,1
11,2,64,26,760.748464680257,1
12,2,97,65,828.1601996806226,1
13,2,42,36,830.5395441123295,1
14,2,107,138,1039.8923236552837,1
15,2,38,117,1018.3287112089191,1
16,2,34,133,984.3132202638842,1
17,2,35,3,1078.7530542795166,1
18,2,4,74,558.7850369430091,1
19,2,142,37,595.5944029918224,1
