flowID,coflowID,src,dst,bandwidth,weight
0,0,5,11,146.12392890387997,1
1,0,13,8,159.46239684671895,1
2,0,9,17,133.2113668721779,1
3,0,16,6,139.75999869666603,1
4,0,11,18,210.1620817259568,1
5,0,7,1,179.67751665778167,1
6,0,0,3,104.59183521587177,1
7,0,10,2,215.7521218460315,1
8,0,6,1,159.9300361964626,1
9,0,16,4,194.2441856370519,1
10,0,9,5,105.69714398365194,1
11,0,16,5,212.06970832125813,1
12,0,1,6,156.22349837347662,1
13,0,1,4,171.74717686003504,1
14,0,0,11,185.08931344224555,1
15,0,5,6,164.32478768822477,1
16,0,17,14,166.30760739480274,1
17,0,2,6,146.17001349835414,1
18,0,7,15,215.0513558055534,1
19,0,1,13,123.27238561829049,1
20,0,3,7,217.31690164829598,1
21,0,5,11,137.59765768304703,1
22,0,5,10,216.28275927789173,1
23,0,4,15,169.56965100796486,1
24,0,4,3,100.37506525858998,1
0,1,4,14,127.76466028733923,1
1,1,12,0,131.48367726296306,1
2,1,3,14,137.99846460220505,1
3,1,8,18,210.81378813103828,1
4,1,15,7,223.9683473578163,1
5,1,13,14,169.26090616205835,1
6,1,14,13,174.8759076157433,1
7,1,6,13,147.43924289063054,1
8,1,5,8,112.69559860675558,1
9,1,5,12,140.53599733915314,1
10,1,7,8,110.30494792167671,1
11,1,9,13,131.26502425083544,1
12,1,17,7,166.07578661693768,1
13,1,16,3,142.65046624721109,1
14,1,17,1,124.86150643065503,1
15,1,1,12,159.26126548345445,1
16,1,2,12,179.47102933974094,1
17,1,11,6,109.54692260592692,1
18,1,13,15,132.1859484894686,1
19,1,18,10,168.95898720317155,1
20,1,18,4,123.0303078112032,1
21,1,18,11,179.53852388165262,1
22,1,2,11,152.17167422329103,1
23,1,1,18,216.4586679974443,1
24,1,9,12,120.11431479198816,1
0,2,13,17,165.31911268824373,1
1,2,17,15,161.66215529941667,1
2,2,7,13,102.70592538240535,1
3,2,9,0,174.22064526205338,1
4,2,5,10,113.42511789813655,1
5,2,6,16,212.69216844674287,1
6,2,1,17,231.20222020057818,1
7,2,12,18,206.95848265017065,1
8,2,1,17,209.13626673564755,1
9,2,0,8,186.4585046400852,1
10,2,3,17,113.76751071121109,1
11,2,4,5,238.86680511105973,1
12,2,6,0,172.53565248306182,1
13,2,4,15,154.55658273003604,1
14,2,9,11,145.87450843215692,1
15,2,9,5,146.26573662496824,1
16,2,7,10,119.81122517753198,1
17,2,7,15,127.35066571239572,1
18,2,9,18,178.16074020916952,1
19,2,14,8,168.03987097625935,1
20,2,11,13,224.50534963156707,1
21,2,3,18,185.67657006650288,1
22,2,15,9,170.60546883040678,1
23,2,14,17,170.49519455713903,1
24,2,0,15,119.50152225619121,1
0,3,13,18,147.64784566770786,1
1,3,12,17,151.13456547999849,1
2,3,13,10,223.8290933934905,1
3,3,1,15,171.33294213229902,1
4,3,7,10,104.1098390303783,1
5,3,14,16,186.19635913325004,1
6,3,8,3,196.36936287835346,1
7,3,14,11,208.52476752115615,1
8,3,9,18,155.385138617496,1
9,3,0,16,122.08653358317201,1
10,3,3,14,197.18991675514476,1
11,3,12,4,203.56491724824141,1
12,3,18,1,119.07232242424853,1
13,3,8,12,143.91340926179504,1
14,3,17,16,199.3404874165077,1
15,3,16,6,100.76574263555497,1
16,3,14,2,243.72573776992974,1
17,3,17,5,104.31308839098786,1
18,3,14,17,111.50725122989246,1
19,3,6,13,138.07425832825098,1
20,3,9,0,107.9711033402341,1
21,3,8,16,169.1373626223397,1
22,3,3,5,192.97855983183734,1
23,3,17,0,206.2929428070221,1
24,3,15,3,102.66145392647051,1
0,4,13,4,164.2102157407304,1
1,4,5,17,195.09079529076857,1
2,4,12,15,208.4520956437115,1
3,4,13,1,253.28445594656628,1
4,4,11,10,192.37039409042933,1
5,4,15,12,201.22735496893569,1
6,4,1,12,117.11965056209492,1
7,4,2,5,152.52537699408873,1
8,4,7,18,170.72408056555304,1
9,4,17,9,151.59354392760486,1
10,4,15,3,222.43992588361277,1
11,4,17,8,190.37071252637932,1
12,4,11,1,168.95024995730114,1
13,4,9,8,225.47254947604722,1
14,4,10,14,199.4405439327336,1
15,4,12,2,213.04082470534428,1
16,4,13,6,182.23428120970556,1
17,4,11,14,155.10921056559198,1
18,4,12,2,153.76134699165505,1
19,4,14,7,181.69643860097153,1
20,4,18,2,130.29844628335755,1
21,4,3,14,168.46015828147404,1
22,4,8,1,171.8054555910603,1
23,4,11,13,146.28289692687397,1
24,4,8,12,155.69378405965207,1
0,5,17,11,130.84318271374238,1
1,5,1,16,132.53499350677708,1
2,5,16,5,135.79909309599614,1
3,5,3,10,196.9223585429324,1
4,5,0,15,148.95181589722694,1
5,5,8,2,161.6008498153632,1
6,5,7,1,214.92718694480416,1
7,5,0,9,102.21531631916531,1
8,5,6,10,207.71129392805284,1
9,5,7,5,195.85072357526724,1
10,5,15,13,114.94336453190809,1
11,5,6,16,196.67242830827473,1
12,5,6,2,193.646393867811,1
13,5,15,18,137.81037436313818,1
14,5,10,1,188.1486213493124,1
15,5,0,12,129.0918537659553,1
16,5,6,18,157.67997122328077,1
17,5,2,18,150.26432413403194,1
18,5,9,14,204.06705246136514,1
19,5,9,14,131.71784509039563,1
20,5,9,6,206.18208961254737,1
21,5,10,13,127.01572198523513,1
22,5,13,11,163.97673687304192,1
23,5,1,2,112.29934647860348,1
24,5,7,10,176.73333103053767,1
