flowID,coflowID,src,dst,bandwidth,weight
0,0,6,2,155.17515790419694,1
1,0,6,4,135.05851405197416,1
2,0,2,7,204.79557590109977,1
3,0,10,2,107.81890038162106,1
4,0,8,6,216.40993777487608,1
5,0,1,5,214.95006716785662,1
6,0,10,5,105.20780939661525,1
7,0,2,6,221.2648451831153,1
8,0,0,4,220.9470119015273,1
9,0,9,1,134.7924324034973,1
10,0,3,5,190.58973165845433,1
11,0,1,9,124.23511324413408,1
12,0,0,3,193.11254815170244,1
13,0,3,4,170.29035289985984,1
14,0,0,5,229.03025065156697,1
15,0,8,3,112.74153284381447,1
16,0,4,5,184.05340126941718,1
17,0,6,5,144.0518915664647,1
18,0,10,4,110.9285750263221,1
19,0,9,10,183.0220321730851,1
20,0,10,0,181.0845230223482,1
21,0,0,6,168.79721216106765,1
22,0,4,1,115.29020760270521,1
23,0,0,4,130.53044209379684,1
24,0,4,2,165.0590279981448,1
0,1,10,3,187.43918047822905,1
1,1,7,9,179.78157542607488,1
2,1,1,7,127.74863575432187,1
3,1,10,7,198.19613503173255,1
4,1,2,4,172.61432383483813,1
5,1,8,9,161.34870301450582,1
6,1,4,10,175.72035345673214,1
7,1,5,8,146.21242779748223,1
8,1,8,7,211.56712797440272,1
9,1,10,3,232.7063731042486,1
10,1,0,4,190.68292507684288,1
11,1,6,5,112.70284810125247,1
12,1,6,9,173.93796379866404,1
13,1,7,9,191.61152362170503,1
14,1,2,5,180.75964320192924,1
15,1,7,6,111.0236696947434,1
16,1,7,6,161.2932950317797,1
17,1,1,4,165.70627690440287,1
18,1,9,2,119.32734081329983,1
19,1,0,8,229.63589474387993,1
20,1,10,0,178.72628233831568,1
21,1,10,4,129.00870556085863,1
22,1,9,3,101.30377300341583,1
23,1,6,7,114.88245737298726,1
24,1,3,8,156.99461024423687,1
0,2,10,7,140.59339963424884,1
1,2,6,2,168.16785846502825,1
2,2,6,4,193.4730936234971,1
3,2,10,1,102.07629931500884,1
4,2,2,9,116.64759570766475,1
5,2,0,1,154.20985486648073,1
6,2,7,9,163.57719093202746,1
7,2,8,1,123.75700425339004,1
8,2,2,9,139.8503145014003,1
9,2,9,1,144.00402998102714,1
10,2,7,0,117.16061401914523,1
11,2,6,10,123.30011444447804,1
12,2,1,6,159.11273677079862,1
13,2,9,8,112.52616903926241,1
14,2,6,0,165.37769262538245,1
15,2,8,2,140.63880671077465,1
16,2,2,6,141.915801377922,1
17,2,0,6,216.62634081420322,1
18,2,5,7,192.75095498215165,1
19,2,2,9,131.86729443680696,1
20,2,7,5,135.9958824475116,1
21,2,8,5,101.2891429077187,1
22,2,7,8,266.1015018916617,1
23,2,7,8,148.63326277124588,1
24,2,2,0,154.86283789783326,1
0,3,10,5,123.45783921975664,1
1,3,6,3,154.33084771784047,1
2,3,10,2,147.58037474647844,1
3,3,5,1,178.61163332258405,1
4,3,10,0,132.26994472183154,1
5,3,8,7,198.7884081342728,1
6,3,9,0,186.95997939588028,1
7,3,9,4,160.72199224537616,1
8,3,8,2,192.53227955176146,1
9,3,6,4,176.47582732172498,1
10,3,10,7,128.11170956089433,1
11,3,7,0,120.182053776957,1
12,3,1,7,112.97248203621054,1
13,3,4,8,140.318742969062,1
14,3,2,3,114.78174995035825,1
15,3,3,2,216.71990493788144,1
16,3,4,0,100.21194848074725,1
17,3,3,10,158.27679559028428,1
18,3,10,0,106.62286431750931,1
19,3,1,9,132.0402005330385,1
20,3,6,4,186.34945090284157,1
21,3,6,1,181.46783442546536,1
22,3,2,5,221.62288458305846,1
23,3,4,9,194.76994796093913,1
24,3,9,10,151.65608760648013,1
0,4,6,10,235.77649337200853,1
1,4,6,5,164.86662733008535,1
2,4,1,2,204.5510195008092,1
3,4,4,0,183.79428208940232,1
4,4,5,9,120.04108448087997,1
5,4,2,1,127.52092666827943,1
6,4,8,7,118.85193086597658,1
7,4,10,3,170.71945318569243,1
8,4,8,7,197.34333256774946,1
9,4,8,1,175.1272444326097,1
10,4,0,1,168.2842937665518,1
11,4,6,0,118.28888097834012,1
12,4,0,5,141.7487314949156,1
13,4,3,0,106.79307030373876,1
14,4,0,5,135.35366033769446,1
15,4,3,9,165.62257573003646,1
16,4,1,2,134.34930544912243,1
17,4,1,6,137.03116231967556,1
18,4,7,10,181.72070420849047,1
19,4,3,5,141.52824710652783,1
20,4,5,0,116.46084719098867,1
21,4,3,2,146.58725804686614,1
22,4,0,4,101.80218827057628,1
23,4,1,8,179.55501712210105,1
24,4,10,5,228.01699885429966,1
0,5,7,5,134.9974928269767,1
1,5,8,0,165.59691072713542,1
2,5,4,3,128.17564572231484,1
3,5,10,0,152.95059387191333,1
4,5,8,4,104.47485932861854,1
5,5,10,7,132.1299204737745,1
6,5,5,7,238.05641585395486,1
7,5,9,4,152.63160919306983,1
8,5,1,9,117.6643484026153,1
9,5,10,0,115.32382267661981,1
10,5,10,8,176.81730072710394,1
11,5,3,8,159.33106960273602,1
12,5,5,2,186.00038204600196,1
13,5,1,6,202.6905602663848,1
14,5,6,5,204.2027006749866,1
15,5,1,7,158.35963932009082,1
16,5,7,2,108.89129430556326,1
17,5,10,9,180.5482993738102,1
18,5,4,6,161.24232636232017,1
19,5,0,1,164.08961335548778,1
20,5,3,5,102.50117635422491,1
21,5,1,2,125.95255385535697,1
22,5,7,10,140.5012206201659,1
23,5,4,7,113.70584158676294,1
24,5,6,10,148.38649516672314,1
