flowID,coflowID,src,dst,bandwidth,weight
0,0,3,13,160.01525879770446,1
1,0,1,4,156.55606010674256,1
2,0,19,11,111.28669343131442,1
3,0,0,16,104.91743934786469,1
4,0,2,0,115.17831998207794,1
5,0,17,15,109.01789758361043,1
6,0,12,15,166.35743600320217,1
7,0,16,6,101.66580888592985,1
8,0,0,8,197.35344632774678,1
9,0,8,20,154.6293817314069,1
10,0,18,12,103.1610586863594,1
11,0,16,2,158.74530186468292,1
12,0,12,8,116.043039264734,1
13,0,13,1,171.56528148499257,1
14,0,8,9,125.14027315606396,1
15,0,0,9,154.04658840054333,1
16,0,4,9,230.39521980662354,1
17,0,4,2,135.7001407922703,1
18,0,11,16,141.04742963751607,1
19,0,15,12,135.38120765116625,1
20,0,4,7,199.94974454616857,1
21,0,5,13,105.22099383836012,1
22,0,4,17,115.58217482573174,1
23,0,12,18,184.55397369892097,1
24,0,6,17,189.29036153221966,1
0,1,17,11,193.44031809378805,1
1,1,8,19,107.07879662545466,1
2,1,7,8,184.7886023675111,1
3,1,14,16,209.08381885528203,1
4,1,7,17,212.57097249472656,1
5,1,19,15,123.78774064153663,1
6,1,16,4,213.05709651651745,1
7,1,8,2,102.66283686234722,1
8,1,14,18,126.3993821177732,1
9,1,20,19,150.59547481388933,1
10,1,14,20,149.69774010711396,1
11,1,12,7,133.2060361815305,1
12,1,7,9,183.91646811077476,1
13,1,5,11,106.51087009992018,1
14,1,2,15,117.91530978960557,1
15,1,19,20,181.2854922764143,1
16,1,14,8,232.3402767237143,1
17,1,17,0,120.04500955428878,1
18,1,13,7,157.582769256085,1
19,1,17,3,185.68303639487374,1
20,1,6,15,156.82512979816948,1
21,1,16,2,107.22136019529755,1
22,1,18,20,250.4251623562517,1
23,1,14,19,139.77606224772416,1
24,1,20,0,212.15108173484936,1
0,2,7,9,190.8278534064967,1
1,2,11,8,174.38920439929134,1
2,2,0,9,139.58170827466512,1
3,2,17,19,131.58057387611646,1
4,2,15,1,123.9500163057002,1
5,2,13,17,152.64160144800695,1
6,2,18,9,165.77953355624268,1
7,2,1,19,221.09030043639757,1
8,2,16,7,194.3628409963493,1
9,2,9,8,162.96177860994658,1
10,2,5,13,129.84704551249513,1
11,2,15,14,110.37618531376161,1
12,2,4,5,208.35653175397488,1
13,2,20,4,195.19885435221732,1
14,2,3,14,109.00710427797083,1
15,2,19,15,144.18337640938978,1
16,2,11,5,215.42711896526149,1
17,2,8,15,173.16750421671193,1
18,2,3,6,114.31873393427233,1
19,2,20,8,156.1611606504074,1
20,2,3,0,130.96458589381567,1
21,2,0,3,168.23031331935476,1
22,2,7,2,210.7031634998586,1
23,2,4,2,108.53055852672402,1
24,2,9,5,228.52781159557605,1
0,3,5,14,213.97258255756174,1
1,3,13,3,184.12575486847663,1
2,3,18,16,151.27064316523982,1
3,3,0,12,120.7739478578882,1
4,3,9,17,203.3573332145819,1
5,3,10,16,107.96902395902472,1
6,3,9,16,103.09245717382062,1
7,3,20,11,184.7300912589971,1
8,3,13,3,224.0885760431145,1
9,3,9,3,131.55864152807146,1
10,3,14,15,187.61965279605192,1
11,3,16,11,108.19164170127968,1
12,3,14,15,121.8188846340315,1
13,3,7,18,121.72563914534369,1
14,3,2,15,103.03746744970486,1
15,3,16,8,117.27791835616998,1
16,3,10,8,210.46794855262448,1
17,3,18,14,138.5329746765633,1
18,3,2,5,155.19183613701873,1
19,3,8,12,105.37377809136474,1
20,3,18,7,109.30710637482528,1
21,3,1,16,111.83832563562477,1
22,3,1,6,112.73942456418025,1
23,3,13,9,203.54194562298545,1
24,3,19,14,201.32380802073112,1
0,4,2,0,140.32849540760728,1
1,4,4,1,124.91670283425155,1
2,4,2,16,162.56304666808646,1
3,4,15,7,139.6589580968482,1
4,4,18,9,212.33431955059095,1
5,4,16,8,194.93467200711237,1
6,4,6,5,169.98105297066908,1
7,4,5,18,151.89666450081575,1
8,4,5,0,120.48138054901428,1
9,4,16,12,123.17574571016021,1
10,4,9,17,227.6215692361526,1
11,4,16,15,127.15123287381152,1
12,4,16,3,142.50681939147202,1
13,4,4,17,173.1730466965301,1
14,4,9,16,161.99307508388176,1
15,4,17,20,105.24395406455412,1
16,4,3,4,135.79455238031827,1
17,4,15,10,158.40123327065453,1
18,4,1,13,123.33622329621393,1
19,4,16,8,105.48605540415618,1
20,4,12,11,136.82254497237471,1
21,4,20,11,223.8489931246312,1
22,4,5,9,218.80258316478557,1
23,4,5,7,184.14256931654427,1
24,4,17,15,225.5839991155993,1
0,5,15,9,139.06584653963472,1
1,5,14,20,131.59386541545442,1
2,5,3,9,221.16245226169892,1
3,5,8,5,142.5634552988404,1
4,5,1,13,138.27856934272688,1
5,5,19,8,152.73120094515252,1
6,5,4,8,104.57206050913992,1
7,5,4,17,127.38950263960925,1
8,5,12,5,161.59825124715914,1
9,5,20,14,148.681434152522,1
10,5,8,14,126.54271724763205,1
11,5,17,14,202.71381854907673,1
12,5,16,12,132.87255996716456,1
13,5,12,2,112.17888571982327,1
14,5,2,11,148.3477814220864,1
15,5,15,7,195.07100092626823,1
16,5,7,11,156.74645586683522,1
17,5,20,7,117.80161960235309,1
18,5,14,16,209.13548698158075,1
19,5,3,17,161.41308932817572,1
20,5,10,15,133.49183630936534,1
21,5,5,13,173.2214379341882,1
22,5,13,0,113.01008451264715,1
23,5,1,2,157.11133669107463,1
24,5,2,5,191.277380299164,1
