LinkID,src,dst,cap
0,0,3,1766
1,3,0,1818
2,0,14,1484
3,14,0,1568
4,1,6,1318
5,6,1,1812
6,2,3,1280
7,3,2,1283
8,2,12,1366
9,12,2,1189
10,4,5,1218
11,5,4,1878
12,4,7,1348
13,7,4,1502
14,5,8,1039
15,8,5,1073
16,6,12,1400
17,12,6,1529
18,6,7,1378
19,7,6,1060
20,8,9,1211
21,9,8,1359
22,9,16,1874
23,16,9,1576
24,10,17,1698
25,17,10,1932
26,10,15,1291
27,15,10,1428
28,11,16,1959
29,16,11,1588
30,11,12,1884
31,12,11,1324
32,11,20,1140
33,20,11,1463
34,13,14,1403
35,14,13,1903
36,14,15,1066
37,15,14,1141
38,17,18,1315
39,18,17,1883
40,18,19,1209
41,19,18,1448
42,19,20,1240
43,20,19,1631
