flowID,coflowID,src,dst,bandwidth,weight
0,0,9,11,150.3508134466044,1
1,0,10,7,192.20305994083458,1
2,0,20,16,187.18596236886853,1
3,0,3,13,156.6001540697117,1
4,0,5,3,155.62939889073948,1
5,0,20,0,200.96914727339475,1
6,0,3,11,192.79540570159605,1
7,0,6,1,200.02993440603385,1
8,0,5,17,188.830613049767,1
9,0,13,2,194.79622613802914,1
10,0,11,7,202.0037929257964,1
11,0,19,11,221.3026853351593,1
12,0,8,6,130.02851053516946,1
13,0,7,17,132.71360835985652,1
14,0,13,11,191.57371943057802,1
15,0,1,5,190.70192712018195,1
16,0,9,7,137.8250853166212,1
17,0,10,15,146.93343434246043,1
18,0,2,19,209.9281973800874,1
19,0,0,16,146.5953227991645,1
20,0,20,11,194.5841458538302,1
21,0,11,9,140.85741456571753,1
22,0,10,16,165.1923137992261,1
23,0,9,5,172.88788276419712,1
24,0,5,3,111.74061217164513,1
0,1,21,16,165.57818305932807,1
1,1,21,3,140.37240518230783,1
2,1,18,8,171.0611607073552,1
3,1,5,6,123.40105100576595,1
4,1,10,18,161.5069336563388,1
5,1,19,3,157.6604252175378,1
6,1,1,3,150.01544236167106,1
7,1,5,12,126.94215789408068,1
8,1,16,2,124.67670748495863,1
9,1,2,12,210.87352254507257,1
10,1,16,0,223.99989255878802,1
11,1,12,20,150.2417779389109,1
12,1,12,9,164.25329808204256,1
13,1,21,5,111.17194650293172,1
14,1,21,7,122.90020247653044,1
15,1,15,14,182.7482221564493,1
16,1,14,1,152.29101531877077,1
17,1,11,17,183.28209171067596,1
18,1,20,11,149.8104747588575,1
19,1,12,8,126.36978773055615,1
20,1,9,2,163.24618402285654,1
21,1,7,1,124.93748076058705,1
22,1,13,19,163.95524779615144,1
23,1,16,6,130.6750766119757,1
24,1,10,17,132.11477606868678,1
0,2,0,20,140.11056132290315,1
1,2,3,9,241.40330091648414,1
2,2,15,3,211.16238535332303,1
3,2,19,1,116.21015764223111,1
4,2,17,14,202.29635757405933,1
5,2,5,0,231.03151452368715,1
6,2,19,2,207.64181666852616,1
7,2,3,15,153.25625322182208,1
8,2,6,0,107.68451415301378,1
9,2,10,8,163.4042103761149,1
10,2,17,20,202.35500458975713,1
11,2,18,0,167.5220252485899,1
12,2,3,14,195.43900649959568,1
13,2,18,9,190.11601729355175,1
14,2,2,19,148.2421791590092,1
15,2,9,17,107.8444566304836,1
16,2,14,2,102.51911091948007,1
17,2,12,20,165.79187428630416,1
18,2,5,21,101.19759350958887,1
19,2,6,4,195.55900325167084,1
20,2,4,2,127.41259253021029,1
21,2,12,2,187.7071242157826,1
22,2,5,14,140.37539498872283,1
23,2,14,0,168.25474470559166,1
24,2,20,0,184.76519570713856,1
0,3,21,6,152.5708364662168,1
1,3,13,5,110.61120725003231,1
2,3,19,15,143.67411001120325,1
3,3,0,12,176.78327242814896,1
4,3,19,15,172.62067279028616,1
5,3,17,15,161.91385235768837,1
6,3,2,17,206.93209202252095,1
7,3,6,12,123.66289857244261,1
8,3,2,10,179.87634629716285,1
9,3,9,20,199.37881911097986,1
10,3,2,3,136.34393095635346,1
11,3,18,2,203.97019290360862,1
12,3,15,21,193.75689149106879,1
13,3,21,19,171.80032602577305,1
14,3,3,20,142.4619945931649,1
15,3,4,9,194.43590362383762,1
16,3,7,10,160.57249981704612,1
17,3,7,15,200.30422882536527,1
18,3,1,2,157.30790832877807,1
19,3,11,4,113.2645312455434,1
20,3,2,6,173.8877811552675,1
21,3,18,19,105.2315946806751,1
22,3,5,20,220.64499492299177,1
23,3,8,4,150.1998116591007,1
24,3,20,9,199.00030659382173,1
0,4,12,15,108.15280098295223,1
1,4,11,19,110.44292255744264,1
2,4,5,7,148.37790766160114,1
3,4,11,0,140.78275162226578,1
4,4,11,13,147.5457310858473,1
5,4,9,7,204.39986515171213,1
6,4,17,0,139.39555368301706,1
7,4,16,21,105.63279488946714,1
8,4,12,6,220.5237156730018,1
9,4,6,7,113.28290702587677,1
10,4,13,14,105.51669243431952,1
11,4,18,0,134.71311391637465,1
12,4,10,13,107.21722708403833,1
13,4,11,6,145.45928948014742,1
14,4,16,20,118.37957579447702,1
15,4,10,13,202.15852436024522,1
16,4,14,15,181.660207344759,1
17,4,9,7,169.6802635536028,1
18,4,3,1,190.53098113626623,1
19,4,12,2,123.64702022162966,1
20,4,8,10,113.1561375681565,1
21,4,6,18,203.91217044564695,1
22,4,10,18,173.71461974366565,1
23,4,18,17,157.88145222303973,1
24,4,0,21,138.59036378917216,1
0,5,10,19,213.5962645677441,1
1,5,8,6,216.31522518052245,1
2,5,4,19,174.05091918451427,1
3,5,3,7,208.49887401890066,1
4,5,10,18,156.76804389244072,1
5,5,6,14,208.85381524275977,1
6,5,0,15,120.56948801813186,1
7,5,9,6,145.1455677435585,1
8,5,1,10,171.20265163642264,1
9,5,3,0,230.17129642872803,1
10,5,1,7,210.4734164378728,1
11,5,14,20,179.87513439071228,1
12,5,15,19,116.34747131748195,1
13,5,6,18,135.36403367399996,1
14,5,15,16,208.1946174373425,1
15,5,3,19,129.7399169368662,1
16,5,19,6,117.2241821643336,1
17,5,10,17,160.586902539409,1
18,5,19,8,143.98156362542147,1
19,5,16,5,138.04313321431,1
20,5,7,9,160.49077776103528,1
21,5,2,6,122.1022206397893,1
22,5,17,20,175.72368001763076,1
23,5,1,19,112.53013064458166,1
24,5,8,16,153.39501160758095,1
