LinkID,src,dst,cap
0,0,3,1669
1,3,0,1268
2,0,12,1274
3,12,0,1362
4,1,19,1686
5,19,1,1475
6,1,6,1432
7,6,1,1995
8,2,3,1995
9,3,2,1393
10,2,13,1850
11,13,2,1983
12,4,8,1073
13,8,4,1270
14,4,7,1525
15,7,4,1139
16,5,8,1328
17,8,5,1050
18,5,14,1535
19,14,5,1086
20,6,7,1276
21,7,6,1289
22,7,9,1388
23,9,7,1652
24,7,19,1308
25,19,7,1168
26,7,17,1565
27,17,7,1204
28,8,14,1548
29,14,8,1924
30,10,18,1010
31,18,10,1120
32,10,19,1574
33,19,10,1036
34,11,18,1368
35,18,11,1349
36,11,21,1017
37,21,11,1637
38,12,13,1541
39,13,12,1294
40,12,21,1705
41,21,12,1043
42,13,19,1167
43,19,13,1836
44,14,17,1350
45,17,14,1509
46,14,15,1871
47,15,14,1616
48,15,16,1072
49,16,15,1742
50,16,17,1441
51,17,16,1842
52,17,18,1991
53,18,17,1391
54,17,19,1221
55,19,17,1838
