flowID,coflowID,src,dst,bandwidth,weight
0,0,5,3,132.07663984652794,1
1,0,5,1,128.28895120489895,1
2,0,5,6,164.86324916650375,1
3,0,1,6,161.1168768756886,1
4,0,4,2,193.3551271738366,1
5,0,6,5,141.00186462518673,1
6,0,1,6,157.2256430540022,1
7,0,4,0,183.44389353250293,1
8,0,4,2,173.80759624349815,1
9,0,4,0,161.2245366681004,1
10,0,2,5,162.64536673891672,1
11,0,6,0,182.54932896507398,1
12,0,3,1,102.27912040081637,1
13,0,3,2,129.60116967799985,1
14,0,1,4,149.72779071957757,1
15,0,2,6,164.51607892939145,1
16,0,2,1,146.24376366301732,1
17,0,5,2,132.89061193737157,1
18,0,5,1,145.38964426679325,1
19,0,2,0,216.2835380959056,1
20,0,5,1,107.39178802612267,1
21,0,2,1,181.24442353402014,1
22,0,0,1,187.44317881891283,1
23,0,2,5,155.83071926529175,1
24,0,5,0,133.75430439792328,1
0,1,6,3,212.03848742358548,1
1,1,1,6,167.84408582042232,1
2,1,5,3,210.0811082127292,1
3,1,6,3,118.37244487232203,1
4,1,0,1,236.38924815911196,1
5,1,0,3,247.55787315509934,1
6,1,3,4,165.80633871575913,1
7,1,0,3,181.07192417241544,1
8,1,6,2,115.81298799767087,1
9,1,6,2,181.35121698095065,1
10,1,1,5,195.02622606775066,1
11,1,1,5,130.1756293691023,1
12,1,4,3,212.6145481870142,1
13,1,2,5,192.22407066578546,1
14,1,1,5,102.81695945610954,1
15,1,5,3,115.6755254331385,1
16,1,2,4,207.01247386143322,1
17,1,4,3,102.75787600089413,1
18,1,3,6,181.53881072516924,1
19,1,3,2,122.86915314928227,1
20,1,2,3,162.24593983709593,1
21,1,3,5,180.29714259013122,1
22,1,6,3,110.86074117389587,1
23,1,5,2,167.1519356243333,1
24,1,6,0,133.43400112979526,1
0,2,1,2,167.13618906947104,1
1,2,0,2,203.83505459836385,1
2,2,6,0,127.08040661266719,1
3,2,0,1,138.43636830435838,1
4,2,6,0,171.31821428655502,1
5,2,5,2,202.5149315795736,1
6,2,1,6,158.21599622410434,1
7,2,2,6,219.98674930694978,1
8,2,1,4,117.67598822201417,1
9,2,1,4,189.94514216059304,1
10,2,6,4,202.01765531967334,1
11,2,4,0,187.9840256097972,1
12,2,4,2,183.41965408308081,1
13,2,6,1,207.07914061825966,1
14,2,4,3,206.74128666920376,1
15,2,0,2,162.23231333618037,1
16,2,0,6,147.2900756796892,1
17,2,4,6,234.44283760534853,1
18,2,3,0,222.37815766651272,1
19,2,4,3,126.6998589434375,1
20,2,4,6,203.64055535640324,1
21,2,3,2,109.38751180769286,1
22,2,3,1,208.5908776000574,1
23,2,2,0,115.29255645666542,1
24,2,3,0,209.48205624771936,1
0,3,1,0,142.0031135657182,1
1,3,3,4,262.4145138067182,1
2,3,0,4,160.81432226255248,1
3,3,6,0,109.09202312967791,1
4,3,3,2,185.84945163886164,1
5,3,2,4,105.23063936506855,1
6,3,2,0,109.89760984315498,1
7,3,6,3,212.29145011709565,1
8,3,4,0,121.74633020425826,1
9,3,4,2,111.49963390629527,1
10,3,6,4,157.2357521785948,1
11,3,3,6,114.40682385105316,1
12,3,4,0,192.61555216743997,1
13,3,0,1,191.7215528532477,1
14,3,2,5,103.50124105958848,1
15,3,6,2,204.9579773701186,1
16,3,3,0,155.72896211115042,1
17,3,2,0,120.03215621179709,1
18,3,4,2,185.27125594649414,1
19,3,3,4,130.76852541377633,1
20,3,3,1,206.24575000136133,1
21,3,0,6,173.24851920331074,1
22,3,4,0,113.93724199851358,1
23,3,3,0,209.24353302254377,1
24,3,0,4,177.41604295712557,1
0,4,0,6,124.13824546452693,1
1,4,1,2,208.67841502370754,1
2,4,4,6,191.82029252934112,1
3,4,0,1,223.45780271282297,1
4,4,0,6,211.2521813488371,1
5,4,5,4,211.20633826276367,1
6,4,5,3,157.41513373536745,1
7,4,3,6,136.65202137999347,1
8,4,3,5,172.6553995159574,1
9,4,3,6,166.93282140981214,1
10,4,2,1,111.86129437781865,1
11,4,1,5,207.17912660052326,1
12,4,3,0,170.63304668542887,1
13,4,5,2,132.0563203415236,1
14,4,0,5,198.65641424053254,1
15,4,2,1,147.69935180643657,1
16,4,6,2,162.5121100981518,1
17,4,1,6,103.0815632323336,1
18,4,5,4,157.005251068826,1
19,4,3,5,150.27794887934385,1
20,4,1,6,175.9086611836153,1
21,4,5,4,204.5071793565001,1
22,4,1,0,131.51402022003893,1
23,4,4,0,237.61939642955628,1
24,4,0,4,225.56360197665043,1
0,5,0,6,195.02391849775242,1
1,5,3,5,132.58586336402848,1
2,5,0,5,131.4063812061489,1
3,5,0,4,180.38272426628896,1
4,5,0,3,123.36117517897347,1
5,5,0,4,142.81138918365303,1
6,5,2,1,171.09563232373694,1
7,5,3,6,132.02406498202208,1
8,5,1,5,114.1612261832192,1
9,5,1,4,178.36205600004777,1
10,5,2,3,126.2643726135147,1
11,5,5,3,160.3167912977229,1
12,5,5,3,148.43099147919884,1
13,5,3,2,217.85576526931013,1
14,5,1,3,193.78107070980536,1
15,5,0,6,110.72616129441408,1
16,5,3,5,141.08525620582162,1
17,5,0,2,132.46687920150657,1
18,5,0,2,141.1008134451473,1
19,5,1,5,110.05485750833819,1
20,5,1,4,154.3797712742818,1
21,5,2,0,128.40829836524668,1
22,5,5,6,102.2888377650986,1
23,5,5,2,103.2671792481515,1
24,5,5,3,104.52568620431958,1
