flowID,coflowID,src,dst,bandwidth,weight
0,0,9,2,190.93190979442707,1
1,0,4,7,178.85132215899495,1
2,0,8,3,240.6657329858231,1
3,0,9,4,172.65862465479915,1
4,0,5,4,207.32202511392813,1
5,0,4,7,112.5580357340329,1
6,0,7,9,114.09572030125724,1
7,0,0,1,108.56458211268038,1
8,0,0,1,184.2771255753668,1
9,0,9,3,214.93597502167253,1
10,0,5,1,174.6194808619441,1
11,0,9,7,172.99715872228052,1
12,0,5,4,178.8375758408921,1
13,0,6,5,182.55614655146024,1
14,0,3,6,140.2629667734246,1
15,0,3,4,143.68796056447485,1
16,0,4,3,148.69695860247276,1
17,0,2,4,131.30382585134691,1
18,0,0,9,118.38229811893527,1
19,0,0,9,184.32121240444997,1
20,0,4,5,168.35681271643065,1
21,0,6,7,154.4456806310763,1
22,0,7,5,126.51384150452317,1
23,0,0,7,134.3933302794575,1
24,0,2,8,148.66320699471967,1
0,1,1,9,131.52691830650255,1
1,1,2,5,194.7353780620425,1
2,1,2,3,185.41845718957282,1
3,1,4,2,190.02781866588333,1
4,1,2,3,143.31106051216307,1
5,1,6,7,169.1287610620904,1
6,1,9,3,224.26565592787762,1
7,1,1,8,170.15845197726776,1
8,1,8,5,159.79127869696833,1
9,1,5,4,113.18357880533995,1
10,1,0,2,148.32767022882385,1
11,1,0,5,182.21344930895867,1
12,1,3,7,196.91247928330347,1
13,1,3,4,213.41496395610028,1
14,1,3,6,124.02270938702335,1
15,1,9,8,201.84622595342097,1
16,1,6,0,175.01133939767163,1
17,1,8,7,145.6951698271832,1
18,1,2,8,166.81153910787611,1
19,1,0,6,173.84996228360592,1
20,1,7,2,210.680265569859,1
21,1,1,0,146.6002129236628,1
22,1,7,3,219.39815351072588,1
23,1,8,1,223.17045280930327,1
24,1,2,7,149.8358628906962,1
0,2,5,1,168.51251598869948,1
1,2,4,3,144.42330197205615,1
2,2,0,2,135.88676513424417,1
3,2,7,8,162.0532396824225,1
4,2,2,6,247.35085129590712,1
5,2,7,1,211.432344657508,1
6,2,5,3,156.38980998411736,1
7,2,1,0,176.9416702480678,1
8,2,1,8,140.51639159863262,1
9,2,7,0,110.79435275380587,1
10,2,4,9,136.29498532034435,1
11,2,6,8,212.69465841414808,1
12,2,6,4,195.75403572748846,1
13,2,2,3,212.14087232041066,1
14,2,1,3,148.52828626213585,1
15,2,4,8,163.23521093919237,1
16,2,8,6,206.6478013324313,1
17,2,4,3,108.71520749828082,1
18,2,4,7,198.96404108993977,1
19,2,3,1,106.09458826929365,1
20,2,8,5,108.42855142122825,1
21,2,1,8,177.10169761301825,1
22,2,3,6,136.34267090268574,1
23,2,6,4,125.4095997878928,1
24,2,6,1,153.2236567796479,1
0,3,0,5,225.85625783529625,1
1,3,2,0,100.48291617804732,1
2,3,6,0,220.87861485966857,1
3,3,4,7,129.85134617722701,1
4,3,9,7,223.13446670872838,1
5,3,8,1,148.90520721024544,1
6,3,2,0,186.90293443842114,1
7,3,4,5,151.13768043091846,1
8,3,3,0,166.79840897063815,1
9,3,9,4,139.23215157456167,1
10,3,6,4,218.19683786357044,1
11,3,4,0,208.9012135878168,1
12,3,2,1,207.6889211408788,1
13,3,0,6,208.89536744093726,1
14,3,7,4,162.73335430827666,1
15,3,4,9,157.69892024529878,1
16,3,8,5,104.05087931550926,1
17,3,3,1,212.02218508704618,1
18,3,4,9,178.64661921457548,1
19,3,0,7,119.79183362334588,1
20,3,9,3,186.34846075180917,1
21,3,0,4,127.68284049859349,1
22,3,3,5,210.27656364029377,1
23,3,7,1,101.70353700559666,1
24,3,7,2,112.92112997071385,1
0,4,4,8,113.60322696554643,1
1,4,3,4,213.17184743750363,1
2,4,2,0,130.36747075070645,1
3,4,8,3,206.7436596934027,1
4,4,4,6,236.5441787216501,1
5,4,7,0,109.56793429667263,1
6,4,9,4,106.84119598037724,1
7,4,3,9,195.4075696798297,1
8,4,0,4,178.8736186235734,1
9,4,2,7,121.99151093434229,1
10,4,8,4,146.94811557151726,1
11,4,2,0,228.75981104134198,1
12,4,5,0,163.32054650087312,1
13,4,5,7,129.9475180021468,1
14,4,0,4,167.64257926810686,1
15,4,7,1,111.59568167291867,1
16,4,4,5,148.1588428505366,1
17,4,4,7,174.66227389782316,1
18,4,2,7,117.4279604890121,1
19,4,8,0,221.38748304953452,1
20,4,2,8,204.00654414778097,1
21,4,5,0,160.83839455133418,1
22,4,9,6,229.39227716924208,1
23,4,3,4,208.61324288130908,1
24,4,0,8,225.4733246599826,1
0,5,8,7,183.68792274125366,1
1,5,3,8,155.28771836291966,1
2,5,9,4,218.46869183784992,1
3,5,2,0,168.56688958988755,1
4,5,4,2,143.85730478390525,1
5,5,7,8,166.75239346480373,1
6,5,4,8,161.86342935449306,1
7,5,3,7,201.90613940336635,1
8,5,7,5,212.17605215744427,1
9,5,9,2,124.62589787508074,1
10,5,1,8,162.21232576168381,1
11,5,9,2,235.435058527876,1
12,5,3,4,124.7569160377233,1
13,5,9,0,190.51577533754437,1
14,5,5,7,237.09762885275936,1
15,5,6,7,123.23016519807356,1
16,5,3,9,127.70519187055325,1
17,5,4,1,190.7378412850151,1
18,5,6,9,169.029739227488,1
19,5,2,4,226.88040508220445,1
20,5,5,7,166.6030843110293,1
21,5,1,9,177.16472447917272,1
22,5,0,6,152.5145680734787,1
23,5,2,0,195.27833942581637,1
24,5,2,7,100.77710881773652,1
