flowID,coflowID,src,dst,bandwidth,weight
0,0,4,3,210.21288188468202,1
1,0,3,5,143.89916173085993,1
2,0,5,0,228.3169422942934,1
3,0,4,5,102.19103404582111,1
4,0,4,5,174.94644008809303,1
5,0,4,3,197.39807138057466,1
6,0,5,4,145.05987437477694,1
7,0,2,0,183.88138398511487,1
8,0,3,1,143.6558847827853,1
9,0,1,4,161.61026380772617,1
10,0,1,2,173.28819371483283,1
11,0,2,4,178.71603009490804,1
12,0,3,5,150.83637641369293,1
13,0,2,1,180.10461140143386,1
14,0,5,0,126.97464154600509,1
15,0,1,0,157.68111450116356,1
16,0,5,3,133.41589399706118,1
17,0,2,5,215.34522796399278,1
18,0,0,3,219.91633646194703,1
19,0,3,1,110.86886829052175,1
20,0,0,3,144.07209768330904,1
21,0,1,0,101.50483181658636,1
22,0,3,4,148.82750686128705,1
23,0,5,0,209.4743191306083,1
24,0,1,0,157.21550040556812,1
0,1,0,4,148.34135356654636,1
1,1,4,1,203.33762991057762,1
2,1,0,5,125.17031868156187,1
3,1,1,5,101.14021223769821,1
4,1,2,3,126.49746633873556,1
5,1,2,0,152.332347163286,1
6,1,1,2,211.30724726823343,1
7,1,1,4,148.55864462891904,1
8,1,0,5,197.3392364083345,1
9,1,3,0,188.28113756791092,1
10,1,2,5,205.9579831511613,1
11,1,5,1,214.48998324742774,1
12,1,3,5,190.14205920460975,1
13,1,0,1,119.45730108316457,1
14,1,3,5,194.44040492584992,1
15,1,2,0,208.48021780037374,1
16,1,1,5,107.47888626234747,1
17,1,3,4,124.19998899241526,1
18,1,3,5,212.74635055992812,1
19,1,1,2,139.26746932049744,1
20,1,2,5,140.94616765611582,1
21,1,2,3,148.64397182566944,1
22,1,0,2,128.14084863990408,1
23,1,3,2,214.81504405223728,1
24,1,4,5,181.5479815504719,1
0,2,5,2,118.93492912842162,1
1,2,4,1,215.68646732931273,1
2,2,4,1,101.48079860304185,1
3,2,2,3,201.2759200789348,1
4,2,5,0,126.7564998360159,1
5,2,1,2,149.14963166546917,1
6,2,0,3,101.96747722171817,1
7,2,5,1,215.481461451033,1
8,2,4,3,179.78573215167708,1
9,2,5,3,105.06688391331562,1
10,2,0,5,141.4843270279074,1
11,2,0,4,112.00888288759566,1
12,2,1,2,178.57978208863977,1
13,2,2,4,229.18290682595287,1
14,2,4,3,127.35553429329914,1
15,2,3,0,147.03574664402407,1
16,2,4,3,169.6656466635755,1
17,2,2,1,127.96901173266991,1
18,2,1,0,160.98604461807795,1
19,2,5,4,206.88613037224655,1
20,2,3,1,133.8291683989985,1
21,2,5,4,139.72470245321162,1
22,2,1,2,213.25126392422192,1
23,2,1,5,202.7062820210337,1
24,2,2,5,100.5066232231252,1
0,3,1,5,119.53389374579258,1
1,3,4,3,144.39905345809385,1
2,3,3,0,189.89329651103725,1
3,3,3,0,225.03311404255277,1
4,3,2,5,177.74573586778695,1
5,3,5,0,177.5878823351752,1
6,3,2,5,135.70180874792504,1
7,3,3,2,208.28208260036536,1
8,3,2,5,162.29869019316413,1
9,3,0,3,240.9588014117566,1
10,3,1,5,133.29904155245842,1
11,3,0,3,117.5108203377432,1
12,3,2,0,149.97729885353675,1
13,3,1,0,199.63738082454992,1
14,3,5,1,106.27088497419824,1
15,3,4,2,187.24352460012392,1
16,3,2,1,185.36166091917775,1
17,3,5,1,136.3511151666326,1
18,3,4,1,200.76740596897542,1
19,3,1,3,170.18252129829511,1
20,3,4,3,243.61990071251878,1
21,3,4,3,108.46968663473957,1
22,3,4,3,134.94423426415773,1
23,3,3,2,192.52915500261858,1
24,3,2,3,162.32278373712535,1
0,4,5,3,171.23636237965957,1
1,4,0,2,154.17903222915984,1
2,4,2,1,108.1878789461654,1
3,4,2,0,235.99266154185256,1
4,4,0,2,122.28025094091561,1
5,4,2,5,197.54946659684174,1
6,4,3,0,216.78271873540996,1
7,4,3,0,210.36137139938126,1
8,4,0,2,197.01916503461936,1
9,4,5,1,128.12675830528758,1
10,4,3,5,117.64770561748837,1
11,4,2,5,170.00030341707634,1
12,4,4,2,106.26606958767833,1
13,4,1,2,110.9585114773403,1
14,4,4,5,209.33400681076208,1
15,4,5,3,166.3331361539174,1
16,4,4,5,127.03159327470854,1
17,4,5,3,166.74720773062165,1
18,4,0,3,196.30294744660674,1
19,4,3,0,210.4486106175804,1
20,4,0,2,151.9225115102924,1
21,4,4,0,108.19910845105532,1
22,4,4,5,181.2664187013489,1
23,4,1,5,207.17659419840936,1
24,4,2,4,176.0833894272967,1
0,5,4,2,150.20322889282008,1
1,5,2,1,245.09659197377331,1
2,5,5,2,127.12586180218825,1
3,5,2,3,102.66660905230576,1
4,5,5,3,181.89719603094358,1
5,5,5,4,204.39622284241685,1
6,5,0,4,146.22861686262786,1
7,5,4,5,100.37907672320529,1
8,5,5,4,231.1741432915097,1
9,5,2,0,131.8523886518949,1
10,5,5,3,119.93451980041351,1
11,5,2,1,212.2277209142966,1
12,5,1,4,201.97572710510698,1
13,5,5,3,114.25711935562364,1
14,5,4,3,134.8153367158581,1
15,5,5,1,206.19066718887274,1
16,5,3,2,150.67081761948032,1
17,5,5,3,167.2532526925701,1
18,5,1,2,113.84012409111787,1
19,5,0,4,130.0974172296344,1
20,5,2,5,199.7254262560036,1
21,5,0,4,233.90395373380184,1
22,5,3,5,180.14613074657188,1
23,5,2,4,149.58414847080968,1
24,5,3,5,127.61986559780716,1
