LinkID,src,dst,cap
0,0,1,1762
1,1,0,1357
2,0,3,1465
3,3,0,1420
4,0,14,1719
5,14,0,1280
6,1,3,1571
7,3,1,1696
8,1,4,1115
9,4,1,1350
10,2,16,1090
11,16,2,1085
12,2,11,1337
13,11,2,1287
14,2,3,1711
15,3,2,1426
16,2,19,1168
17,19,2,1269
18,4,7,1065
19,7,4,1945
20,5,8,1758
21,8,5,1516
22,5,6,1624
23,6,5,1008
24,6,8,1227
25,8,6,1557
26,6,14,1305
27,14,6,1928
28,6,7,1214
29,7,6,1918
30,7,9,1361
31,9,7,1510
32,8,9,1203
33,9,8,1749
34,9,12,1844
35,12,9,1896
36,9,13,1010
37,13,9,1059
38,9,14,1736
39,14,9,1992
40,9,15,1347
41,15,9,1382
42,10,11,1772
43,11,10,1875
44,10,19,1712
45,19,10,1266
46,12,13,1754
47,13,12,1027
48,13,14,1422
49,14,13,1064
50,14,16,1564
51,16,14,1753
52,15,16,1357
53,16,15,1803
54,16,17,1917
55,17,16,1634
56,17,18,1043
57,18,17,1781
58,18,19,1443
59,19,18,1672
