flowID,coflowID,src,dst,bandwidth,weight
0,0,29,25,169.61155948768413,1
1,0,24,5,227.21489028915968,1
2,0,21,26,200.36961541698264,1
3,0,52,55,208.24670555112152,1
4,0,28,25,191.42536760583022,1
5,0,4,18,193.63843882914585,1
6,0,56,28,135.33229190842468,1
7,0,25,32,203.99268217221993,1
8,0,52,17,126.68170896543528,1
9,0,24,50,172.78766436311486,1
10,0,11,1,120.38267824184231,1
11,0,36,31,142.95069025301723,1
12,0,2,25,212.1353495907088,1
13,0,7,31,209.36108547406263,1
14,0,0,54,182.6813529722161,1
15,0,48,15,213.58714638949206,1
16,0,23,26,106.73181136786994,1
17,0,11,54,133.47326009205625,1
18,0,14,24,146.09868033222835,1
19,0,37,60,172.31176264159555,1
20,0,24,0,106.62703127472588,1
21,0,22,32,113.52769706631072,1
22,0,61,4,179.33327271762022,1
23,0,16,46,159.87303183061078,1
24,0,26,57,139.5160809319586,1
0,1,52,0,180.81777442671964,1
1,1,10,5,182.62882246995224,1
2,1,20,12,169.74643082125476,1
3,1,59,34,140.21880336666953,1
4,1,4,26,211.92839943188403,1
5,1,47,41,144.1942059195063,1
6,1,7,24,154.75737460018124,1
7,1,46,19,212.54643156237955,1
8,1,61,60,123.8758275568334,1
9,1,9,6,122.04121064961225,1
10,1,26,54,103.93389700097876,1
11,1,48,32,128.05357221228724,1
12,1,49,40,133.58051490219023,1
13,1,34,22,139.19632681973198,1
14,1,33,36,130.34335713677126,1
15,1,33,40,163.8216554127443,1
16,1,15,51,123.89765806201686,1
17,1,2,25,181.32782655357087,1
18,1,40,1,113.3955465347894,1
19,1,17,42,131.26429036180193,1
20,1,12,32,110.0298075818253,1
21,1,51,47,232.76722341110022,1
22,1,52,61,127.37362212663585,1
23,1,16,8,135.15430656920654,1
24,1,29,54,245.04089238569716,1
0,2,14,32,182.06345793315936,1
1,2,15,5,202.16291581169273,1
2,2,58,37,130.42301053931507,1
3,2,27,5,164.3780116600305,1
4,2,38,33,117.55147809877224,1
5,2,4,60,203.3730577947197,1
6,2,43,1,203.02216784777315,1
7,2,7,44,154.47389324002103,1
8,2,11,40,187.24314620192848,1
9,2,44,45,156.06144068041877,1
10,2,1,52,132.04835839746931,1
11,2,39,15,201.8543890475446,1
12,2,3,42,151.85885468287373,1
13,2,56,39,131.49261841776755,1
14,2,25,13,146.501663580283,1
15,2,57,4,143.35932462425845,1
16,2,9,53,172.54375649334378,1
17,2,26,21,118.3860139836834,1
18,2,12,26,108.6783665919075,1
19,2,10,12,203.1796752211269,1
20,2,2,18,201.96895931108497,1
21,2,15,29,111.7289048019127,1
22,2,61,21,196.0846375162074,1
23,2,28,7,178.44006377404384,1
24,2,35,57,228.41504801273314,1
0,3,22,0,159.79884238591285,1
1,3,1,50,176.76939769515806,1
2,3,0,40,187.11838876899853,1
3,3,29,20,127.78678868910744,1
4,3,23,12,192.3878911329413,1
5,3,61,29,158.88446539326878,1
6,3,59,34,191.10738057449674,1
7,3,5,14,152.90760398838418,1
8,3,7,58,142.69931806697392,1
9,3,54,28,157.47076404326003,1
10,3,22,24,227.4748597689071,1
11,3,2,5,126.03164857391062,1
12,3,4,61,180.07102593774317,1
13,3,15,56,133.68664022011853,1
14,3,44,6,153.73703986414125,1
15,3,38,10,110.54082284647181,1
16,3,28,36,124.5688126380054,1
17,3,38,9,206.96989812241446,1
18,3,30,25,215.7770869265161,1
19,3,18,60,109.3558258721532,1
20,3,2,0,198.8501692639962,1
21,3,39,24,151.87861738100986,1
22,3,59,48,119.52803471658638,1
23,3,47,44,139.0255487788317,1
24,3,50,13,213.39176269220508,1
0,4,27,4,127.22539411650838,1
1,4,45,38,198.82293784026143,1
2,4,7,55,213.24380583401776,1
3,4,21,8,169.76250714899902,1
4,4,16,60,167.19450239638093,1
5,4,36,35,140.71746806537703,1
6,4,31,46,132.0020665912707,1
7,4,51,22,106.85252449459959,1
8,4,11,2,171.42232532250208,1
9,4,53,3,119.36539646545484,1
10,4,41,42,214.1186471865314,1
11,4,20,33,227.1918474435089,1
12,4,21,2,140.09624517735747,1
13,4,56,48,169.81997845038308,1
14,4,36,20,210.72188466557813,1
15,4,36,28,173.4094933533525,1
16,4,52,56,227.5549189024738,1
17,4,24,49,118.24106176445228,1
18,4,51,10,119.05921851995289,1
19,4,40,32,166.11259951951058,1
20,4,30,10,169.80058525947715,1
21,4,44,33,143.77566476483443,1
22,4,48,5,137.73941637815525,1
23,4,41,37,120.25516648216058,1
24,4,7,47,149.67995015987592,1
0,5,15,45,202.66486516435697,1
1,5,40,1,146.23808061771948,1
2,5,18,51,173.3259627655138,1
3,5,25,57,152.62024955059297,1
4,5,4,19,174.3086194843138,1
5,5,59,11,227.9842200080185,1
6,5,50,5,103.3526182574805,1
7,5,54,3,156.88368330972696,1
8,5,42,43,120.89245901148466,1
9,5,54,13,121.12874044734446,1
10,5,36,26,185.6005599190761,1
11,5,5,23,214.00898726362226,1
12,5,11,5,167.16398163523138,1
13,5,29,35,203.19214276609077,1
14,5,6,19,194.72988760939003,1
15,5,32,58,109.96537224135591,1
16,5,4,43,229.2181682608534,1
17,5,37,58,100.7411395963943,1
18,5,1,5,201.13788477523502,1
19,5,21,8,122.87520032526365,1
20,5,61,57,182.78235526608094,1
21,5,53,58,184.68637671213554,1
22,5,8,52,201.45679303630845,1
23,5,50,27,142.54315953046802,1
24,5,49,8,104.74027161601087,1
