LinkID,src,dst,cap
0,0,55,1441
1,55,0,1310
2,1,55,1960
3,55,1,1523
4,2,3,1712
5,3,2,1088
6,3,53,1319
7,53,3,1918
8,3,55,1054
9,55,3,1533
10,4,7,1637
11,7,4,1324
12,5,7,1510
13,7,5,1533
14,6,7,1904
15,7,6,1428
16,7,32,1141
17,32,7,1957
18,7,33,1314
19,33,7,1244
20,7,35,1762
21,35,7,1720
22,7,41,1524
23,41,7,1517
24,7,10,1449
25,10,7,1235
26,7,11,1735
27,11,7,1055
28,7,45,1365
29,45,7,1036
30,7,46,1152
31,46,7,1065
32,7,47,1682
33,47,7,1395
34,7,16,1355
35,16,7,1470
36,7,17,1517
37,17,7,1492
38,7,51,1078
39,51,7,1653
40,7,43,1668
41,43,7,1606
42,7,55,1698
43,55,7,1670
44,7,24,1464
45,24,7,1193
46,7,25,1765
47,25,7,1531
48,7,27,1589
49,27,7,1447
50,7,23,1033
51,23,7,1584
52,8,33,1511
53,33,8,1921
54,9,33,1605
55,33,9,1923
56,12,33,1976
57,33,12,1800
58,13,33,1922
59,33,13,1203
60,14,41,1475
61,41,14,1964
62,15,41,1346
63,41,15,1608
64,18,43,1608
65,43,18,1495
66,19,43,1629
67,43,19,1139
68,20,42,1618
69,42,20,1613
70,20,21,1444
71,21,20,1682
72,20,22,1719
73,22,20,1697
74,26,41,1264
75,41,26,1701
76,27,36,1989
77,36,27,1359
78,27,37,1433
79,37,27,1122
80,27,38,1252
81,38,27,1511
82,27,39,1929
83,39,27,1567
84,28,33,1814
85,33,28,1291
86,29,41,1146
87,41,29,1057
88,30,41,1515
89,41,30,1058
90,31,33,1437
91,33,31,1912
92,32,55,1660
93,55,32,1540
94,34,35,1508
95,35,34,1385
96,40,41,1997
97,41,40,1476
98,42,43,1577
99,43,42,1789
100,43,48,1161
101,48,43,1987
102,44,51,1496
103,51,44,1119
104,49,51,1766
105,51,49,1190
106,50,51,1629
107,51,50,1934
108,52,55,1949
109,55,52,1210
110,54,55,1002
111,55,54,1068
112,55,56,1732
113,56,55,1959
114,55,57,1289
115,57,55,1405
116,55,58,1873
117,58,55,1685
118,55,59,1136
119,59,55,1209
120,55,60,1076
121,60,55,1104
122,55,61,1167
123,61,55,1382
