flowID,coflowID,src,dst,bandwidth,weight
0,0,23,14,156.77549852995327,1
1,0,14,17,180.37025418934942,1
2,0,14,3,169.2219395951217,1
3,0,23,16,147.34098070763758,1
4,0,14,3,205.19376494716917,1
5,0,20,15,194.13469185709374,1
6,0,8,10,198.19797842660387,1
7,0,0,19,218.56182475517983,1
8,0,19,18,203.72526203309008,1
9,0,4,8,139.129741974144,1
10,0,16,14,138.23553599662404,1
11,0,22,25,244.84463958798847,1
12,0,25,15,121.55129533919252,1
13,0,6,15,107.97561105922391,1
14,0,3,19,222.08281169318127,1
15,0,10,5,195.895381193352,1
16,0,25,17,204.61440019347185,1
17,0,21,14,162.7816955459375,1
18,0,20,13,115.0654813142582,1
19,0,3,0,235.11752514170203,1
20,0,6,25,177.68298661955262,1
21,0,14,13,197.61723562180828,1
22,0,3,23,197.38340783756632,1
23,0,26,13,106.69985942195633,1
24,0,14,20,192.63338793889173,1
0,1,10,19,176.54786345675763,1
1,1,8,7,138.0338424614562,1
2,1,26,8,230.9000617849081,1
3,1,12,5,163.006069076419,1
4,1,25,14,232.76322790864106,1
5,1,3,9,134.78110221040046,1
6,1,8,5,142.52133835995141,1
7,1,21,2,182.98576330414846,1
8,1,11,7,174.84169849866038,1
9,1,20,15,136.60146069077928,1
10,1,9,5,174.27354437693856,1
11,1,20,23,204.51050340186742,1
12,1,24,23,211.24759873852287,1
13,1,9,12,140.62200397096842,1
14,1,16,17,171.0254426383786,1
15,1,0,3,185.5046433869905,1
16,1,1,2,156.3412082550409,1
17,1,21,0,181.31850512557742,1
18,1,7,16,195.87585104928925,1
19,1,5,18,184.78041032817978,1
20,1,0,10,115.80350378680063,1
21,1,15,12,148.18543116524216,1
22,1,18,0,154.4048666638496,1
23,1,9,21,142.42259725344752,1
24,1,3,5,197.06093247631705,1
0,2,12,10,100.13368475581511,1
1,2,18,17,181.1161070517648,1
2,2,8,13,142.86211522840267,1
3,2,24,16,169.4875514656618,1
4,2,8,18,157.57924405861758,1
5,2,24,26,134.2852747126029,1
6,2,16,4,226.62135080506349,1
7,2,4,18,119.69751374583677,1
8,2,1,20,148.13945673203074,1
9,2,26,23,158.6333693096414,1
10,2,0,3,203.73833719803554,1
11,2,17,6,189.68891284785508,1
12,2,5,26,209.23536944482186,1
13,2,1,7,220.69930533975776,1
14,2,7,4,112.76147336018896,1
15,2,7,2,146.93776948384368,1
16,2,19,2,203.21098629641745,1
17,2,24,19,121.41261590188022,1
18,2,13,19,221.0577260795277,1
19,2,9,12,179.93382801322076,1
20,2,14,13,195.1795583365028,1
21,2,14,22,202.28990982364178,1
22,2,3,19,156.6964729431485,1
23,2,6,13,172.87707969239705,1
24,2,18,2,205.29441974087456,1
0,3,15,18,107.11575821243966,1
1,3,15,22,205.99705154495854,1
2,3,15,14,146.22630414155904,1
3,3,24,6,195.58296144046994,1
4,3,14,19,155.26462825582175,1
5,3,18,15,204.60049362897894,1
6,3,3,8,172.24856496192473,1
7,3,6,1,212.9608506832573,1
8,3,18,10,107.44122677220905,1
9,3,24,11,172.14093821813145,1
10,3,26,6,216.5924426202982,1
11,3,19,0,128.5130861443881,1
12,3,24,6,195.70538647601578,1
13,3,11,9,254.88470070906428,1
14,3,9,8,159.7766955869119,1
15,3,6,2,169.12836065295642,1
16,3,21,23,161.30751629625163,1
17,3,3,14,144.03359598931814,1
18,3,15,2,158.20714975897906,1
19,3,7,23,122.83254028879092,1
20,3,18,20,134.26172146367082,1
21,3,1,10,200.2359233063317,1
22,3,10,15,103.41589629892115,1
23,3,9,12,175.8640339472171,1
24,3,16,6,159.25096036531596,1
0,4,3,16,144.4065005017465,1
1,4,5,1,112.7580583179626,1
2,4,5,3,135.33643281394117,1
3,4,6,3,203.6824747533027,1
4,4,12,14,162.05240931860226,1
5,4,23,0,260.6965129084683,1
6,4,8,15,201.4738605701408,1
7,4,0,19,143.0232689071011,1
8,4,8,7,151.57702504605587,1
9,4,2,11,158.7718647298292,1
10,4,11,10,160.41805735575866,1
11,4,12,26,105.55086845867778,1
12,4,7,8,113.89320455656328,1
13,4,10,5,212.2702822101512,1
14,4,18,21,224.9445779443056,1
15,4,0,10,163.77395739353491,1
16,4,7,6,116.76222799055446,1
17,4,7,18,185.42622574446784,1
18,4,0,7,212.4151003393422,1
19,4,21,9,109.16461552588886,1
20,4,5,0,214.96928466470888,1
21,4,2,8,166.6513472901254,1
22,4,14,21,159.2542821205728,1
23,4,14,1,203.0689758161056,1
24,4,21,18,115.61302433063913,1
0,5,2,16,162.39477289065894,1
1,5,22,3,175.32983368712678,1
2,5,16,17,116.29769531441721,1
3,5,11,15,121.67234796858436,1
4,5,20,4,213.28844336313915,1
5,5,6,14,187.36562227525502,1
6,5,20,4,201.73109669719798,1
7,5,4,11,167.54837674338688,1
8,5,6,23,220.2711092546103,1
9,5,23,21,118.52507232098743,1
10,5,5,19,114.90601310705799,1
11,5,24,6,152.73360849786062,1
12,5,20,7,221.5188629606698,1
13,5,23,7,216.96383929729933,1
14,5,4,6,186.29388005178595,1
15,5,26,19,111.34835596267718,1
16,5,1,15,123.77321798456258,1
17,5,16,22,187.8166533146054,1
18,5,6,22,217.83682151895255,1
19,5,25,2,143.29989412626819,1
20,5,10,21,169.2016148608006,1
21,5,9,8,150.71203647262595,1
22,5,20,24,103.0132532625409,1
23,5,7,9,133.5632989185038,1
24,5,7,0,214.31421523482598,1
