LinkID,src,dst,cap
0,0,25,1905
1,25,0,1585
2,0,3,1758
3,3,0,1433
4,0,5,1720
5,5,0,1708
6,1,9,1253
7,9,1,1144
8,1,2,1964
9,2,1,1329
10,1,6,1320
11,6,1,1545
12,2,3,1589
13,3,2,1102
14,2,7,1406
15,7,2,1865
16,2,17,1469
17,17,2,1527
18,2,18,1590
19,18,2,1941
20,2,20,1317
21,20,2,1914
22,3,6,1349
23,6,3,1576
24,3,9,1999
25,9,3,1024
26,3,16,1859
27,16,3,1019
28,3,19,1285
29,19,3,1628
30,3,21,1119
31,21,3,1422
32,3,26,1866
33,26,3,1957
34,4,7,1523
35,7,4,1485
36,5,8,1602
37,8,5,1546
38,6,7,1172
39,7,6,1423
40,8,9,1381
41,9,8,1083
42,8,10,1889
43,10,8,1076
44,8,13,1860
45,13,8,1611
46,9,12,1898
47,12,9,1332
48,9,13,1000
49,13,9,1994
50,11,16,1282
51,16,11,1896
52,14,20,1086
53,20,14,1074
54,15,16,1981
55,16,15,1551
56,16,20,1962
57,20,16,1869
58,17,18,1465
59,18,17,1698
60,17,26,1815
61,26,17,1064
62,19,20,1602
63,20,19,1852
64,20,21,1741
65,21,20,1490
66,20,26,1841
67,26,20,1160
68,21,22,1668
69,22,21,1162
70,21,23,1928
71,23,21,1434
72,21,24,1784
73,24,21,1800
74,21,25,1683
75,25,21,1350
