flowID,coflowID,src,dst,bandwidth,weight
0,0,18,2,208.90449482216712,1
1,0,22,6,216.20874653824848,1
2,0,5,16,145.4695875280587,1
3,0,2,20,118.16214960211487,1
4,0,14,15,120.13263336957513,1
5,0,2,4,199.88292673214062,1
6,0,1,6,126.18448391032481,1
7,0,10,15,199.36222654418026,1
8,0,9,2,199.63065910819597,1
9,0,16,3,100.32580851811646,1
10,0,10,18,205.9373028375935,1
11,0,5,3,141.2205056024231,1
12,0,6,8,183.24742693448155,1
13,0,1,18,173.94798162917783,1
14,0,6,5,108.57831160584438,1
15,0,9,7,142.56363239939012,1
16,0,20,10,133.32360332925273,1
17,0,21,3,105.40409239503968,1
18,0,23,0,128.60363712786645,1
19,0,20,1,117.65264839452557,1
20,0,8,13,101.40583373761947,1
21,0,21,11,153.2124026590905,1
22,0,3,17,143.27371123116873,1
23,0,9,17,115.50532736322927,1
24,0,23,14,158.49716222598846,1
0,1,13,4,180.2878330791741,1
1,1,16,19,233.49062845492625,1
2,1,3,17,176.62729504210733,1
3,1,5,16,152.92556819170045,1
4,1,13,5,141.78818735174758,1
5,1,2,0,162.91371862464257,1
6,1,19,17,175.37429116839917,1
7,1,12,9,118.52032023773985,1
8,1,11,23,175.68060503661255,1
9,1,4,13,193.00080917328967,1
10,1,19,3,147.52260131739254,1
11,1,18,7,216.28694299180466,1
12,1,3,7,217.44849285472864,1
13,1,20,17,204.09008276658614,1
14,1,16,14,201.36790086309088,1
15,1,21,4,132.87005625162342,1
16,1,7,20,110.63323539323048,1
17,1,16,0,119.52368282000242,1
18,1,2,20,163.65884703071205,1
19,1,4,8,203.61009723038904,1
20,1,15,0,167.13818598901125,1
21,1,21,13,192.12696471396328,1
22,1,7,19,126.518802374723,1
23,1,1,18,217.93219742624493,1
24,1,0,20,206.03026536986076,1
0,2,1,4,158.5046672692642,1
1,2,18,3,108.41372351789798,1
2,2,7,17,114.15846307391094,1
3,2,16,17,111.75022261881125,1
4,2,21,1,153.51650366761282,1
5,2,1,21,174.05578607074514,1
6,2,11,14,110.84958502853668,1
7,2,6,11,120.10670298556366,1
8,2,14,22,171.451773575555,1
9,2,0,10,156.40990106331049,1
10,2,20,1,219.26522566413007,1
11,2,18,23,111.22155447878833,1
12,2,1,22,211.15642870799311,1
13,2,17,5,230.4359271069405,1
14,2,12,13,213.30444255097729,1
15,2,4,6,174.6201160630328,1
16,2,8,1,175.0558693621546,1
17,2,8,14,109.37175164482355,1
18,2,22,10,195.2737971121231,1
19,2,21,14,118.25977676665777,1
20,2,5,17,153.33690081610348,1
21,2,11,3,187.46406458829495,1
22,2,15,16,193.72854539059284,1
23,2,17,1,146.7840699766204,1
24,2,17,12,172.60078234397247,1
0,3,11,12,168.0488360222987,1
1,3,20,21,182.22614905135214,1
2,3,22,4,162.87541340081773,1
3,3,17,15,122.79871754923579,1
4,3,8,22,131.83837493996532,1
5,3,18,17,184.0854953091531,1
6,3,11,5,119.92277835501716,1
7,3,10,20,120.81521015782938,1
8,3,13,18,208.2531567469278,1
9,3,12,22,106.90312107080007,1
10,3,0,17,209.31254865360927,1
11,3,18,2,116.91073828131921,1
12,3,18,10,119.2981329681233,1
13,3,12,13,217.04319552618705,1
14,3,13,4,195.88292038340728,1
15,3,9,16,101.17088011716554,1
16,3,5,11,123.97479838982234,1
17,3,5,2,144.28619175844332,1
18,3,8,11,189.43750418781102,1
19,3,13,8,132.48178316882442,1
20,3,23,13,138.25042560165338,1
21,3,21,3,210.8811869180277,1
22,3,22,8,179.71819865030247,1
23,3,2,21,208.67558900742034,1
24,3,18,0,123.55111867023541,1
0,4,19,21,117.30111706525197,1
1,4,14,21,172.2678038169892,1
2,4,9,0,186.17937344702938,1
3,4,15,2,109.82639939719924,1
4,4,20,14,239.22918403265314,1
5,4,4,12,192.73255845063906,1
6,4,8,1,118.9012402654011,1
7,4,11,20,170.74588536992604,1
8,4,3,2,191.6545059067143,1
9,4,6,2,158.39276807928545,1
10,4,20,15,199.58554866437768,1
11,4,19,13,158.18996629440943,1
12,4,7,1,164.6017178067114,1
13,4,2,5,120.16196120819777,1
14,4,22,3,130.02926251997891,1
15,4,17,19,130.63547058725933,1
16,4,5,2,202.5417009008658,1
17,4,9,1,150.01913391783432,1
18,4,2,17,212.4649432068082,1
19,4,8,23,179.44971263039005,1
20,4,23,17,168.8161299619955,1
21,4,0,9,105.601939453505,1
22,4,4,19,115.97828429976376,1
23,4,6,22,228.7264908303124,1
24,4,7,13,112.36331939425718,1
0,5,18,16,196.4821481313199,1
1,5,19,10,198.5411911008101,1
2,5,23,4,106.33566450193524,1
3,5,21,7,128.3203195202967,1
4,5,10,20,146.34936329543174,1
5,5,0,14,102.86186708211507,1
6,5,6,10,134.356581507427,1
7,5,0,16,107.06593747846868,1
8,5,22,21,174.34231946318022,1
9,5,1,18,123.20016329123828,1
10,5,2,18,172.9598237839307,1
11,5,15,13,202.11340579021197,1
12,5,20,11,109.63842048410025,1
13,5,17,15,147.74777814912568,1
14,5,10,3,131.96334266984533,1
15,5,1,21,139.41672205769672,1
16,5,11,23,207.01398786779396,1
17,5,6,12,141.15090719305604,1
18,5,2,4,224.33659946178608,1
19,5,22,23,121.93932048774819,1
20,5,2,12,241.19467889681798,1
21,5,16,2,192.63290490336047,1
22,5,15,17,141.7201950964225,1
23,5,16,10,119.10447462114169,1
24,5,23,3,103.47584845853669,1
