LinkID,src,dst,cap
0,0,1,1322
1,1,0,1760
2,0,2,1121
3,2,0,1786
4,0,3,1877
5,3,0,1411
6,0,12,1807
7,12,0,1878
8,1,3,1687
9,3,1,1723
10,1,6,1273
11,6,1,1962
12,1,7,1977
13,7,1,1329
14,2,12,1744
15,12,2,1797
16,2,23,1361
17,23,2,1500
18,3,23,1606
19,23,3,1685
20,4,5,1142
21,5,4,1771
22,4,8,1395
23,8,4,1666
24,4,9,1372
25,9,4,1818
26,4,13,1998
27,13,4,1171
28,4,19,1737
29,19,4,1439
30,4,23,1615
31,23,4,1409
32,5,9,1594
33,9,5,1075
34,8,9,1584
35,9,8,1408
36,9,12,1938
37,12,9,1277
38,9,13,1270
39,13,9,1179
40,9,18,1128
41,18,9,1955
42,9,21,1823
43,21,9,1511
44,10,11,1535
45,11,10,1798
46,10,12,1564
47,12,10,1037
48,11,12,1451
49,12,11,1951
50,11,22,1343
51,22,11,1990
52,12,19,1174
53,19,12,1258
54,12,21,1552
55,21,12,1217
56,12,23,1161
57,23,12,1543
58,13,16,1330
59,16,13,1486
60,13,17,1287
61,17,13,1864
62,14,20,1452
63,20,14,1499
64,14,23,1184
65,23,14,1852
66,15,23,1322
67,23,15,1243
68,19,20,1915
69,20,19,1490
70,20,21,1118
71,21,20,1084
72,20,23,1022
73,23,20,1078
