LinkID,src,dst,cap
0,0,3,1088
1,3,0,1482
2,0,7,1877
3,7,0,1752
4,1,17,1530
5,17,1,1747
6,1,5,1814
7,5,1,1817
8,1,6,1693
9,6,1,1620
10,2,9,1066
11,9,2,1250
12,2,3,1892
13,3,2,1685
14,2,4,1436
15,4,2,1301
16,4,8,1863
17,8,4,1483
18,4,5,1596
19,5,4,1692
20,4,6,1844
21,6,4,1565
22,5,15,1071
23,15,5,1832
24,6,16,1783
25,16,6,1763
26,6,7,1898
27,7,6,1636
28,8,12,1804
29,12,8,1954
30,9,17,1285
31,17,9,1891
32,10,11,1902
33,11,10,1048
34,11,17,1127
35,17,11,1906
36,11,12,1452
37,12,11,1116
38,12,13,1971
39,13,12,1545
40,13,14,1174
41,14,13,1218
42,14,17,1064
43,17,14,1595
44,14,15,1105
45,15,14,1734
46,15,16,1890
47,16,15,1572
