flowID,coflowID,src,dst,bandwidth,weight
0,0,0,13,160.10106139558206,1
1,0,6,0,161.42169656597866,1
2,0,8,9,104.27668158326283,1
3,0,4,12,117.35871837128246,1
4,0,12,3,192.92168237969912,1
5,0,7,11,105.72751902041512,1
6,0,0,4,228.2880567421317,1
7,0,0,5,231.5656293795461,1
8,0,10,6,215.831974208512,1
9,0,1,8,216.7905980235593,1
10,0,9,12,134.2250707362261,1
11,0,9,8,214.78726061170437,1
12,0,4,8,136.14541899169677,1
13,0,2,5,166.86158066396288,1
14,0,8,6,198.37815820519063,1
15,0,10,12,141.2292270170604,1
16,0,13,10,188.2095718685012,1
17,0,7,1,119.57516048772243,1
18,0,0,12,219.30708017565541,1
19,0,8,0,122.8767666949537,1
20,0,6,0,170.91897008028542,1
21,0,3,1,157.47089552637127,1
22,0,7,10,196.298681693314,1
23,0,11,8,208.15387732640806,1
24,0,3,4,197.68959704594764,1
0,1,8,0,143.5112836687624,1
1,1,7,9,166.36828851081177,1
2,1,1,3,104.45597501854556,1
3,1,11,6,138.50992992177504,1
4,1,9,4,198.09776342346456,1
5,1,4,3,158.24658655527557,1
6,1,2,9,145.44676103425468,1
7,1,12,1,198.569748384585,1
8,1,12,2,146.6645724121898,1
9,1,12,9,149.27614789773617,1
10,1,3,11,160.95408560350577,1
11,1,12,8,220.9953440214947,1
12,1,5,13,140.43550380249715,1
13,1,1,11,102.10190623522288,1
14,1,4,1,113.01020341440167,1
15,1,6,9,111.80860440548615,1
16,1,12,13,146.68707095310776,1
17,1,8,9,140.55188540203977,1
18,1,12,2,189.17863340573928,1
19,1,13,11,218.55591401971498,1
20,1,6,12,175.57419569870652,1
21,1,0,1,208.0206486697952,1
22,1,12,2,131.66910887981123,1
23,1,0,3,180.24901845033622,1
24,1,7,10,203.88645103030206,1
0,2,1,7,160.17207102485398,1
1,2,11,8,128.24669657147342,1
2,2,8,5,159.62173084692546,1
3,2,9,11,176.7833506240583,1
4,2,8,0,194.585923220521,1
5,2,8,1,130.7289205029819,1
6,2,1,0,151.88028397849206,1
7,2,2,0,170.3041509225235,1
8,2,10,11,201.00975452526689,1
9,2,4,5,157.73999035822092,1
10,2,8,3,195.18934530845092,1
11,2,4,1,148.47508554030904,1
12,2,7,8,144.38145575067307,1
13,2,1,3,101.28884435206531,1
14,2,10,3,158.71347631380925,1
15,2,11,10,141.96790950923017,1
16,2,4,7,200.1323083833421,1
17,2,11,12,136.48875092606377,1
18,2,11,9,177.72672186407678,1
19,2,11,5,142.4148146175145,1
20,2,0,11,107.61234042985723,1
21,2,3,11,149.85132284419245,1
22,2,5,3,114.96213602832843,1
23,2,2,7,155.2791367499623,1
24,2,12,8,184.20228844689854,1
0,3,1,8,145.38515426170392,1
1,3,1,2,108.68022642439126,1
2,3,6,10,126.04336116974191,1
3,3,10,12,144.6255465507991,1
4,3,7,4,167.44204873898298,1
5,3,12,1,163.53587785723136,1
6,3,3,0,196.2777407356362,1
7,3,9,10,164.04838877933437,1
8,3,4,11,138.23367153666175,1
9,3,8,12,148.59641241624124,1
10,3,2,5,163.771894611098,1
11,3,11,7,162.6659600050629,1
12,3,7,10,184.1241085537598,1
13,3,8,13,121.54144218658863,1
14,3,9,10,123.13509455728621,1
15,3,13,1,127.34295408320358,1
16,3,2,13,182.6532388341499,1
17,3,13,3,193.95061232973597,1
18,3,7,13,218.87811226744876,1
19,3,10,7,231.76730971662838,1
20,3,9,11,147.5863687518024,1
21,3,7,13,138.37873932993224,1
22,3,0,3,203.14591930593883,1
23,3,11,0,150.02115344587696,1
24,3,4,13,183.02155156206874,1
0,4,1,0,117.96696973759502,1
1,4,8,13,164.34110564963902,1
2,4,4,10,154.00170903736023,1
3,4,0,11,210.49163432338554,1
4,4,8,7,189.73384572617744,1
5,4,1,9,125.06277315726679,1
6,4,6,12,173.44750548619066,1
7,4,7,4,230.53230292987044,1
8,4,6,1,102.09530650037267,1
9,4,6,10,135.99313524916153,1
10,4,0,13,136.95906977501272,1
11,4,2,12,150.41851072599894,1
12,4,5,13,143.80657995823054,1
13,4,11,8,151.94187680622838,1
14,4,6,3,123.36725135728636,1
15,4,12,4,137.82475718244763,1
16,4,7,3,149.98701729129073,1
17,4,5,11,163.175703200413,1
18,4,1,7,124.21503541565164,1
19,4,9,3,131.18404153854826,1
20,4,8,5,139.14421792083712,1
21,4,8,1,106.19488488381288,1
22,4,0,13,147.61450641309233,1
23,4,6,4,178.97211319783213,1
24,4,8,7,169.93831327392013,1
0,5,12,10,184.58229449292054,1
1,5,12,8,233.68643511549848,1
2,5,1,6,192.9756909780313,1
3,5,11,1,196.73662751720695,1
4,5,12,2,124.69792666483674,1
5,5,1,2,181.6200909006751,1
6,5,4,3,201.48638343362822,1
7,5,9,10,235.64029977326885,1
8,5,12,10,222.65441619522161,1
9,5,9,1,134.05721198690384,1
10,5,0,6,111.95149744270786,1
11,5,8,1,118.93044489064769,1
12,5,1,11,223.71677212735455,1
13,5,3,1,183.17911022918628,1
14,5,11,1,101.56514843325674,1
15,5,4,8,178.8128018679567,1
16,5,10,5,107.61549188959403,1
17,5,1,13,167.3810645091794,1
18,5,13,4,109.52264129766903,1
19,5,7,6,169.6175626548253,1
20,5,3,9,206.5605463432528,1
21,5,4,11,139.41653632750598,1
22,5,11,5,216.48065126966736,1
23,5,7,6,195.0171503492685,1
24,5,8,1,192.9247148287486,1
