flowID,coflowID,src,dst,bandwidth,weight
0,0,15,8,205.24106435065227,1
1,0,15,19,181.84737237881006,1
2,0,9,11,103.6997944869161,1
3,0,9,6,132.60709721142084,1
4,0,1,16,137.97624624608463,1
5,0,19,21,138.43138173873072,1
6,0,23,8,115.69491269478952,1
7,0,12,15,114.00285561161662,1
8,0,24,5,154.5799259393667,1
9,0,11,16,202.25170837847205,1
10,0,21,24,165.09500213596533,1
11,0,13,7,199.77033208380294,1
12,0,18,24,188.81277509291155,1
13,0,11,23,121.73665557731321,1
14,0,14,26,160.25951585417494,1
15,0,14,1,183.80736710424014,1
16,0,15,1,106.26446466486803,1
17,0,17,1,155.36256978617462,1
18,0,19,18,124.5940832768073,1
19,0,25,23,146.19980751030755,1
20,0,21,6,191.27952878529908,1
21,0,20,22,126.65367724977582,1
22,0,9,17,144.49984202666937,1
23,0,23,22,202.9907873812072,1
24,0,22,12,193.1644083770792,1
0,1,25,11,171.56008059640584,1
1,1,3,14,209.0642628239109,1
2,1,1,10,132.8618042749876,1
3,1,7,24,135.2096798289268,1
4,1,7,26,213.4960092426191,1
5,1,15,8,156.93804893275563,1
6,1,23,3,132.8315357547659,1
7,1,14,13,113.66139882262883,1
8,1,13,19,205.08347041940772,1
9,1,12,5,207.41970557685636,1
10,1,19,13,151.34382332984032,1
11,1,26,13,213.9907429343449,1
12,1,19,8,260.8209545842417,1
13,1,23,21,147.97749049997574,1
14,1,11,13,195.0657781579818,1
15,1,6,25,174.035816705206,1
16,1,10,16,127.68021848472141,1
17,1,13,15,215.52248783822571,1
18,1,12,15,145.53150550309135,1
19,1,4,13,151.3319795817874,1
20,1,16,2,231.05049306351648,1
21,1,24,21,206.81854572892001,1
22,1,2,8,190.79429326478294,1
23,1,10,13,157.73976136391138,1
24,1,9,15,134.4441649268868,1
0,2,18,6,161.41114109813978,1
1,2,4,13,161.52768835899943,1
2,2,12,19,192.58003960861083,1
3,2,12,1,187.46838277024767,1
4,2,3,4,154.6583693201413,1
5,2,21,13,179.08629587972123,1
6,2,10,11,204.76406035704548,1
7,2,26,11,187.0222989012483,1
8,2,10,21,206.2534292863324,1
9,2,16,26,195.0764180518642,1
10,2,12,5,149.08754001166727,1
11,2,10,17,108.26271857924176,1
12,2,19,9,199.44618060385653,1
13,2,3,4,196.7199368531888,1
14,2,2,21,150.13555145044847,1
15,2,6,3,191.18963745425197,1
16,2,4,10,147.01387563841953,1
17,2,21,25,142.01290524336423,1
18,2,14,11,155.70218470783513,1
19,2,24,11,136.9925441798105,1
20,2,17,15,174.84006800918584,1
21,2,10,23,202.5939642667655,1
22,2,2,3,132.61536938557802,1
23,2,15,11,182.4919420151677,1
24,2,5,23,157.32120391688068,1
0,3,14,15,202.30785995403704,1
1,3,2,25,118.1845360773403,1
2,3,20,5,204.26826762347443,1
3,3,11,8,147.15434633816352,1
4,3,0,24,150.2676066682867,1
5,3,20,8,140.72441189024264,1
6,3,20,5,111.08160562671735,1
7,3,20,14,138.5738775793255,1
8,3,0,6,177.027438591758,1
9,3,10,14,103.66443667353506,1
10,3,15,6,134.15003830018588,1
11,3,19,17,187.76109106396626,1
12,3,0,21,176.31412196169745,1
13,3,21,20,101.98972451541597,1
14,3,13,6,193.9729869424733,1
15,3,23,12,153.3372828510527,1
16,3,3,6,139.60456435667246,1
17,3,10,16,186.567216502112,1
18,3,22,25,126.98024099826638,1
19,3,26,25,177.8169026156629,1
20,3,15,23,165.5050666099158,1
21,3,1,21,107.97547105586622,1
22,3,11,10,108.63419374944185,1
23,3,25,7,191.83252819687328,1
24,3,4,3,119.02103709763345,1
0,4,9,11,108.83842119706377,1
1,4,2,7,116.22469499978699,1
2,4,9,22,114.03848912654598,1
3,4,21,12,102.22628859720899,1
4,4,2,25,103.06543660827383,1
5,4,3,0,154.43365173451014,1
6,4,18,12,214.22233012641823,1
7,4,3,9,211.32400249391617,1
8,4,2,20,146.84016671375056,1
9,4,9,11,175.76594841920542,1
10,4,20,19,118.66855797482606,1
11,4,20,4,115.66347580801502,1
12,4,26,7,188.64536829880714,1
13,4,26,14,147.1831885872401,1
14,4,9,7,143.05189316377985,1
15,4,8,18,119.52885157530125,1
16,4,18,20,206.53692789335668,1
17,4,9,23,196.05915703940065,1
18,4,23,25,144.40421026815113,1
19,4,6,22,150.35265570278972,1
20,4,9,24,211.56727887464433,1
21,4,11,6,156.2887533802104,1
22,4,20,2,154.08510539302497,1
23,4,26,15,138.32290633071102,1
24,4,3,21,199.2426798913067,1
0,5,2,3,125.93982035452946,1
1,5,14,6,152.33885359015315,1
2,5,14,11,125.07871040572752,1
3,5,23,20,190.87997571384875,1
4,5,22,11,155.52500477770042,1
5,5,7,9,125.34551506126498,1
6,5,4,15,148.94827395371192,1
7,5,23,26,133.51005897986371,1
8,5,7,12,101.82606389580232,1
9,5,16,3,170.52496377790246,1
10,5,11,20,112.28268729309232,1
11,5,9,7,140.76618330361683,1
12,5,19,25,163.23546937852586,1
13,5,23,4,118.38190003061084,1
14,5,8,15,124.78374302684925,1
15,5,5,11,165.22424822270676,1
16,5,25,17,121.08299081347614,1
17,5,3,7,172.27554225415946,1
18,5,1,5,193.44981581581115,1
19,5,8,3,141.6809552004628,1
20,5,22,17,198.38347425016102,1
21,5,6,8,146.35414971655487,1
22,5,5,26,219.91901439427704,1
23,5,6,14,200.78169087083344,1
24,5,19,6,152.84826629758837,1
