flowID,coflowID,src,dst,bandwidth,weight
0,0,4,5,117.12910246587381,1
1,0,1,6,176.29967886186034,1
2,0,2,6,117.646411762072,1
3,0,0,9,193.31371697799403,1
4,0,0,5,180.4784170286269,1
5,0,3,6,220.3350829392237,1
6,0,3,8,128.92980302083893,1
7,0,4,6,162.54643376424428,1
8,0,9,1,159.39132294933563,1
9,0,9,7,114.95468934367517,1
10,0,1,7,206.22936545054466,1
11,0,8,4,153.28726265894363,1
12,0,10,9,189.88980928493265,1
13,0,9,10,217.27815030382834,1
14,0,8,3,219.39178462357364,1
15,0,9,10,170.6569622440592,1
16,0,2,0,219.11026535588007,1
17,0,6,3,117.94863382940287,1
18,0,10,5,161.05148261177425,1
19,0,7,4,122.08532437822643,1
20,0,5,6,223.78347051477706,1
21,0,10,4,177.34557091305084,1
22,0,9,1,168.69589064078994,1
23,0,1,4,192.70532148304125,1
24,0,4,7,199.4591886011953,1
0,1,5,10,160.71221335407895,1
1,1,4,8,111.51039920466323,1
2,1,3,9,169.91111548708506,1
3,1,4,2,163.10318894493165,1
4,1,6,7,176.00526109920355,1
5,1,3,9,189.2078005948002,1
6,1,5,1,222.20059883625208,1
7,1,9,2,111.90341463002088,1
8,1,2,0,138.21522577124244,1
9,1,8,4,185.5139700740387,1
10,1,3,10,103.67568917626147,1
11,1,5,9,179.34721477160014,1
12,1,1,8,110.59315589599537,1
13,1,1,8,156.27350156952627,1
14,1,8,7,104.37920729006657,1
15,1,6,9,131.33006914004568,1
16,1,6,9,168.8866086545936,1
17,1,0,9,176.46693316002555,1
18,1,4,0,101.93427695280926,1
19,1,10,6,173.48875329590936,1
20,1,8,0,120.14793025006378,1
21,1,1,8,227.10983319440595,1
22,1,5,0,187.91165245981006,1
23,1,4,8,223.74076166829897,1
24,1,1,5,192.11891898269812,1
0,2,8,9,203.79312622876466,1
1,2,8,1,232.55969639667893,1
2,2,8,6,180.29853106928664,1
3,2,1,7,212.69160768702866,1
4,2,4,2,110.42994874065707,1
5,2,2,9,136.71130484614235,1
6,2,2,0,161.31653654501275,1
7,2,0,7,195.04265733876485,1
8,2,8,9,132.5488290463361,1
9,2,1,4,150.9101279632486,1
10,2,8,1,131.0802038380457,1
11,2,6,2,188.2108512675497,1
12,2,4,7,218.92930650043493,1
13,2,2,5,154.2168194913507,1
14,2,7,3,190.38157523164605,1
15,2,5,3,103.5945082978091,1
16,2,1,3,149.96632697247054,1
17,2,2,10,103.8894362491633,1
18,2,8,2,118.81362169563872,1
19,2,2,9,219.93797727381911,1
20,2,4,8,132.74380563665542,1
21,2,1,5,161.27748673095476,1
22,2,2,0,134.50420034362597,1
23,2,2,10,103.89733264190397,1
24,2,3,0,104.39974561130916,1
0,3,10,0,113.69793777958212,1
1,3,2,4,145.9112480253653,1
2,3,5,7,131.25978515774275,1
3,3,2,5,177.0335049587248,1
4,3,7,0,114.38790083182988,1
5,3,9,10,166.50666624109653,1
6,3,3,5,112.48730917491677,1
7,3,2,9,103.56749664652374,1
8,3,9,3,101.07220955674129,1
9,3,2,0,172.15143390618462,1
10,3,1,3,183.57120644089977,1
11,3,0,6,141.95579904119256,1
12,3,3,4,213.75542483838132,1
13,3,5,3,183.7445966508542,1
14,3,9,2,155.2412486408385,1
15,3,5,0,166.01327836953544,1
16,3,0,10,156.58472169396188,1
17,3,2,10,141.72631632935816,1
18,3,3,2,143.99599863130993,1
19,3,1,0,219.29400415437274,1
20,3,9,8,212.23883894714004,1
21,3,7,5,155.09691992228971,1
22,3,5,1,176.55229912815508,1
23,3,1,4,135.19444681607993,1
24,3,9,5,157.34405354657804,1
0,4,2,1,166.10104238733993,1
1,4,1,2,105.79869532294664,1
2,4,3,10,123.60199283423684,1
3,4,9,5,107.25394265961565,1
4,4,2,9,164.35140562215992,1
5,4,3,6,110.27681444905032,1
6,4,7,4,156.54592199224248,1
7,4,4,1,226.4312633554137,1
8,4,7,3,122.80786694545289,1
9,4,6,0,187.07998892282876,1
10,4,8,4,124.01576603487078,1
11,4,6,4,100.00771652944285,1
12,4,4,3,132.90304048528455,1
13,4,6,5,226.80359123956464,1
14,4,1,0,171.58184223029087,1
15,4,6,1,159.8655440539988,1
16,4,6,3,135.14514334828667,1
17,4,3,1,200.91554402021325,1
18,4,2,3,137.44683753811142,1
19,4,7,8,169.22518234078456,1
20,4,2,8,134.2134026208067,1
21,4,7,2,167.63135956463145,1
22,4,4,8,180.86511456362584,1
23,4,9,3,127.22346618716335,1
24,4,3,4,201.46535147268634,1
0,5,5,6,189.08651097346416,1
1,5,5,7,189.5238393528191,1
2,5,0,10,173.11462639331498,1
3,5,6,7,185.26433001331225,1
4,5,1,8,175.29041224828325,1
5,5,8,6,102.23301761272315,1
6,5,9,3,166.87160526380657,1
7,5,0,4,158.16320313392254,1
8,5,3,9,188.45181182695157,1
9,5,3,7,210.93532973993982,1
10,5,0,5,110.30606225867548,1
11,5,2,8,140.60219944351127,1
12,5,3,0,134.08161818146453,1
13,5,9,10,184.5019639835532,1
14,5,9,3,135.23409683734857,1
15,5,3,5,226.24106405567576,1
16,5,4,6,138.96045756157898,1
17,5,9,0,188.8725695477725,1
18,5,2,4,234.70269687738423,1
19,5,4,7,231.1119506593144,1
20,5,4,3,160.08232658764055,1
21,5,5,8,176.36939248665723,1
22,5,5,9,118.54965807043052,1
23,5,7,9,109.97087504687373,1
24,5,3,7,222.8129263167582,1
