flowID,coflowID,src,dst,bandwidth,weight
0,0,22,10,130.77021769361662,1
1,0,5,10,161.60848016025386,1
2,0,3,8,198.53826256387396,1
3,0,6,1,209.27016559061738,1
4,0,25,27,135.9286127391075,1
5,0,22,27,101.97212106112609,1
6,0,5,20,223.32118353293382,1
7,0,2,19,113.22779452422886,1
8,0,27,25,115.69282923060746,1
9,0,3,28,183.48181494387205,1
10,0,26,25,166.47651954436415,1
11,0,25,26,189.0879554034764,1
12,0,24,3,102.61495803074851,1
13,0,20,17,191.6357427481812,1
14,0,19,16,103.19334932040056,1
15,0,25,22,132.9499446980586,1
16,0,4,21,121.07213538647483,1
17,0,13,10,137.25443358435385,1
18,0,6,14,187.4161567969369,1
19,0,17,18,246.1247452815187,1
20,0,8,18,151.92087389277964,1
21,0,14,15,154.0791037207589,1
22,0,11,13,122.37858760990945,1
23,0,12,22,132.42693265991483,1
24,0,21,1,174.87372549886098,1
0,1,1,23,192.6771038977231,1
1,1,24,18,126.31315336597709,1
2,1,20,2,193.90639178212763,1
3,1,17,19,137.73063168281996,1
4,1,7,17,149.54877350150838,1
5,1,22,3,158.10113784478375,1
6,1,0,27,118.65815416002765,1
7,1,23,20,190.62809637570354,1
8,1,14,27,110.20913039699009,1
9,1,6,27,224.53509744152757,1
10,1,14,4,137.68457130604224,1
11,1,27,16,162.12372343515707,1
12,1,4,15,228.6528901139158,1
13,1,28,6,141.1695903877954,1
14,1,23,27,107.54348462650758,1
15,1,23,27,167.23424035108548,1
16,1,20,9,214.85593537264546,1
17,1,3,21,195.42005556939733,1
18,1,14,16,155.81005561527647,1
19,1,0,12,173.34301271150275,1
20,1,7,12,102.52097386666425,1
21,1,1,12,170.8921338758468,1
22,1,25,22,143.4268415488694,1
23,1,11,0,179.98263475225474,1
24,1,15,13,138.21734575151382,1
0,2,0,20,109.62691143137273,1
1,2,19,27,210.446375187357,1
2,2,12,0,224.24386909114088,1
3,2,11,2,154.25727556611426,1
4,2,17,2,122.96364513085236,1
5,2,26,6,212.93620626012034,1
6,2,22,24,210.6345378911344,1
7,2,16,19,179.4342358691485,1
8,2,4,3,171.55416670965323,1
9,2,3,21,109.89844896940077,1
10,2,13,9,155.27980722913554,1
11,2,15,17,109.46735127258134,1
12,2,18,15,108.55382991479475,1
13,2,28,19,112.5289343723774,1
14,2,13,1,136.48580745042602,1
15,2,10,8,212.71458592328707,1
16,2,9,0,181.38097525564137,1
17,2,0,24,163.81195157108672,1
18,2,15,8,155.99726211222918,1
19,2,21,1,219.09419929535565,1
20,2,9,14,188.24057466437233,1
21,2,17,8,204.28546325372866,1
22,2,12,28,159.37840994630164,1
23,2,17,0,141.52611559015153,1
24,2,12,19,141.41680309293343,1
0,3,24,5,162.3030783642866,1
1,3,17,6,122.08744703030125,1
2,3,10,21,140.79165892614532,1
3,3,22,11,220.14450080514666,1
4,3,18,9,103.66350658060261,1
5,3,28,15,162.9894424985299,1
6,3,0,9,187.2061045837034,1
7,3,24,28,201.94338926039256,1
8,3,0,12,219.5975477766387,1
9,3,20,4,202.79884219581388,1
10,3,14,13,135.2005885717873,1
11,3,14,7,106.20237447759804,1
12,3,16,21,232.40582887529038,1
13,3,13,27,102.8003087059258,1
14,3,6,25,140.95082953570184,1
15,3,18,28,201.68336965374854,1
16,3,1,6,146.4781842945381,1
17,3,10,9,201.69671477345497,1
18,3,28,20,211.56177008637883,1
19,3,8,23,130.8169064965138,1
20,3,22,20,212.00954078941575,1
21,3,2,10,171.2097585330726,1
22,3,9,28,176.19743353688284,1
23,3,13,21,100.00825912186332,1
24,3,5,8,191.10568075411265,1
0,4,0,14,159.46813999378045,1
1,4,11,21,177.8829498002956,1
2,4,9,26,140.09157356316138,1
3,4,5,0,228.4272046768718,1
4,4,14,7,130.519092692043,1
5,4,11,21,205.17316152801538,1
6,4,3,11,159.33835717258157,1
7,4,22,12,177.95505215535476,1
8,4,23,14,110.17215477976674,1
9,4,3,14,127.76661529132423,1
10,4,0,23,134.2587070360774,1
11,4,8,12,212.18019358588384,1
12,4,23,16,141.5943061807318,1
13,4,3,4,116.46241792367283,1
14,4,7,6,113.04511118028961,1
15,4,16,2,103.92701347037493,1
16,4,0,6,119.51140661220673,1
17,4,4,25,185.02471234434213,1
18,4,3,20,230.66722350740622,1
19,4,17,26,110.13650468180401,1
20,4,10,6,101.92669906758586,1
21,4,21,20,118.89733535098853,1
22,4,18,17,105.02103059320224,1
23,4,20,27,147.17539271519382,1
24,4,16,9,205.04251242277888,1
0,5,14,12,126.70479154734286,1
1,5,6,2,199.90266030034283,1
2,5,25,13,172.50212424387627,1
3,5,7,17,141.3129767153685,1
4,5,5,17,178.52126704424074,1
5,5,4,19,140.4205746678703,1
6,5,4,23,178.3051690973066,1
7,5,11,9,118.06378562022735,1
8,5,1,11,165.29647379535817,1
9,5,6,21,156.2287701277247,1
10,5,15,4,113.3406653720186,1
11,5,13,8,191.66301794677102,1
12,5,16,2,163.13497557791845,1
13,5,0,6,155.33872851678638,1
14,5,28,4,149.3360198206236,1
15,5,4,14,176.8232644414483,1
16,5,28,11,132.06160878360535,1
17,5,28,0,218.3394799353166,1
18,5,24,13,173.97568624359388,1
19,5,17,1,143.42448403476897,1
20,5,22,2,105.12538508000243,1
21,5,25,17,149.3941598997124,1
22,5,7,28,159.1138798569289,1
23,5,20,5,116.61452192972456,1
24,5,19,15,191.19514583702397,1
