LinkID,src,dst,cap
0,0,11,1324
1,11,0,1435
2,0,4,1569
3,4,0,1073
4,1,18,1989
5,18,1,1848
6,1,3,1658
7,3,1,1749
8,2,12,1331
9,12,2,1216
10,2,13,1876
11,13,2,1263
12,3,11,1659
13,11,3,1925
14,4,17,1218
15,17,4,1089
16,5,17,1458
17,17,5,1548
18,5,12,1651
19,12,5,1437
20,6,17,1950
21,17,6,1636
22,6,18,1934
23,18,6,1366
24,7,17,1514
25,17,7,1139
26,7,11,1249
27,11,7,1890
28,8,17,1072
29,17,8,1142
30,8,12,1303
31,12,8,1178
32,9,20,1300
33,20,9,1875
34,9,13,1750
35,13,9,1223
36,10,12,1161
37,12,10,1440
38,10,14,1108
39,14,10,1768
40,11,13,1251
41,13,11,1308
42,11,16,1390
43,16,11,1057
44,11,18,1131
45,18,11,1389
46,12,13,1663
47,13,12,1858
48,12,17,1482
49,17,12,1320
50,12,23,1367
51,23,12,1159
52,12,24,1332
53,24,12,1733
54,12,26,1998
55,26,12,1661
56,12,27,1479
57,27,12,1970
58,13,14,1724
59,14,13,1031
60,13,19,1338
61,19,13,1200
62,13,28,1793
63,28,13,1205
64,14,19,1560
65,19,14,1892
66,14,20,1469
67,20,14,1082
68,14,21,1740
69,21,14,1726
70,14,25,1403
71,25,14,1145
72,14,26,1369
73,26,14,1464
74,14,28,1106
75,28,14,1382
76,15,16,1863
77,16,15,1981
78,15,17,1474
79,17,15,1792
80,17,18,1422
81,18,17,1081
82,21,22,1996
83,22,21,1342
84,22,23,1800
85,23,22,1869
86,24,25,1296
87,25,24,1155
88,27,28,1327
89,28,27,1596
