flowID,coflowID,src,dst,bandwidth,weight
0,0,9,13,190.9256958747874,1
1,0,5,25,153.2943556833302,1
2,0,21,8,216.2872298463669,1
3,0,13,19,209.55953954424098,1
4,0,10,26,165.77394476904618,1
5,0,8,13,218.983145805434,1
6,0,14,25,217.35530367519024,1
7,0,18,2,228.27299874139447,1
8,0,11,20,115.5091238026736,1
9,0,25,5,200.61857422522192,1
10,0,8,26,216.0717530026589,1
11,0,7,11,103.08737005869511,1
12,0,11,19,117.11908977514919,1
13,0,13,11,191.40005128291696,1
14,0,26,2,194.79548922339728,1
15,0,26,10,116.9134068120083,1
16,0,14,23,224.94809949610595,1
17,0,18,26,125.12848376336675,1
18,0,0,15,198.3728845661421,1
19,0,6,23,229.54075469175515,1
20,0,15,9,164.42287124069085,1
21,0,13,19,123.98406789431719,1
22,0,12,1,155.40373584140616,1
23,0,27,11,185.8830566629785,1
24,0,27,24,164.68101377474966,1
0,1,4,19,154.07770765889666,1
1,1,7,0,172.16978792659535,1
2,1,8,25,232.13983883036744,1
3,1,17,4,108.84060963521283,1
4,1,20,5,157.3618483732582,1
5,1,6,4,217.73510323327088,1
6,1,16,0,183.46776855434462,1
7,1,26,11,148.58347448694718,1
8,1,3,6,143.35913883390805,1
9,1,20,5,188.06960767987613,1
10,1,8,0,139.56148723634763,1
11,1,15,19,173.9919831298775,1
12,1,15,0,103.78370300736877,1
13,1,11,26,180.80630782091274,1
14,1,23,25,197.40390545229073,1
15,1,22,1,178.16617578733064,1
16,1,14,9,207.59568962824642,1
17,1,27,13,186.2817908611953,1
18,1,1,0,182.32302567869567,1
19,1,14,23,206.7570061315833,1
20,1,26,27,186.93190064523034,1
21,1,26,21,152.7659826164877,1
22,1,5,22,200.09181476731055,1
23,1,20,25,227.26268959144699,1
24,1,7,27,161.75768936436526,1
0,2,3,14,169.30754564808672,1
1,2,25,11,179.9322419819419,1
2,2,26,1,122.48135346457823,1
3,2,18,8,117.50433012829617,1
4,2,18,9,148.15509793176432,1
5,2,2,0,101.2924194695154,1
6,2,7,3,100.06995037065643,1
7,2,4,17,131.2138663054319,1
8,2,9,17,218.63658665339517,1
9,2,23,20,124.92297181985859,1
10,2,14,20,196.0091508319208,1
11,2,12,5,147.15067703200313,1
12,2,27,1,100.44772235066932,1
13,2,3,18,210.2849591224384,1
14,2,17,25,188.0037266048588,1
15,2,22,6,139.69194374216733,1
16,2,23,4,149.12020187963498,1
17,2,5,11,176.62208235166312,1
18,2,11,16,215.8057302169561,1
19,2,6,13,154.87557844314426,1
20,2,2,15,159.38177992409646,1
21,2,2,9,155.39413342320978,1
22,2,2,7,178.04535651675306,1
23,2,9,8,166.5391297486998,1
24,2,4,26,181.09309437705042,1
0,3,8,15,205.4129615906959,1
1,3,14,5,147.8012946016473,1
2,3,20,24,140.12023978438307,1
3,3,8,27,127.5913454529391,1
4,3,26,4,188.59038383090802,1
5,3,15,10,212.17303588877354,1
6,3,16,13,100.48339444151537,1
7,3,15,24,122.91755650574325,1
8,3,3,25,205.2149067269574,1
9,3,19,18,104.68441003759402,1
10,3,16,1,135.5849710390514,1
11,3,21,27,210.98189665112028,1
12,3,11,5,110.14916482760609,1
13,3,27,24,198.89273722305524,1
14,3,8,3,101.22524937569293,1
15,3,19,25,188.93670565706572,1
16,3,12,2,118.22852759409214,1
17,3,25,8,164.8946485899854,1
18,3,3,2,137.14147495773935,1
19,3,16,3,197.2756626120766,1
20,3,7,24,148.9916387186754,1
21,3,18,26,169.8793799173581,1
22,3,5,2,209.43085272491976,1
23,3,7,26,180.1251980140225,1
24,3,21,16,204.23868409113146,1
0,4,25,22,131.34278741014253,1
1,4,10,3,189.7329417716435,1
2,4,4,0,101.18963062933481,1
3,4,17,3,197.19942793881194,1
4,4,13,18,188.18368708841774,1
5,4,4,16,206.28921952867626,1
6,4,0,14,101.09318671249899,1
7,4,15,16,202.47286632831882,1
8,4,18,1,169.95580025329122,1
9,4,21,22,220.1190624962415,1
10,4,22,16,170.2050236679421,1
11,4,4,17,224.1073013033406,1
12,4,0,12,160.6221231746258,1
13,4,5,4,220.2352222918521,1
14,4,25,10,107.66783692825463,1
15,4,15,9,150.047846452829,1
16,4,4,17,141.87767584473625,1
17,4,22,13,182.17887719246022,1
18,4,14,24,143.58358232401193,1
19,4,10,5,107.696826242781,1
20,4,20,21,209.0657481396821,1
21,4,1,26,148.90907778109144,1
22,4,2,12,170.00363275432346,1
23,4,17,12,221.48681738632587,1
24,4,7,21,205.6316268848803,1
0,5,25,10,134.8918581010552,1
1,5,0,25,142.6331982779982,1
2,5,22,10,167.35209406018856,1
3,5,10,2,130.17623578653723,1
4,5,1,9,111.609856951387,1
5,5,19,4,203.93120377908957,1
6,5,20,7,185.24163737591545,1
7,5,18,0,116.07802237252149,1
8,5,8,4,178.2981754655201,1
9,5,24,14,124.7297472825264,1
10,5,8,16,148.76209274138634,1
11,5,17,0,164.3248743105739,1
12,5,19,0,163.2549317044883,1
13,5,9,11,188.25463181849364,1
14,5,27,8,104.47477444948599,1
15,5,5,13,115.04254519681947,1
16,5,13,6,178.27413031740747,1
17,5,19,9,228.15736583483252,1
18,5,19,10,136.18904282153085,1
19,5,20,23,129.45120131134593,1
20,5,0,20,123.21019164825036,1
21,5,4,16,142.6098774269512,1
22,5,18,3,194.70101585983394,1
23,5,21,14,150.28551367454102,1
24,5,16,26,147.3868724043161,1
