flowID,coflowID,src,dst,bandwidth,weight
0,0,53,22,185.07817979596382,1
1,0,13,31,115.89701055632068,1
2,0,39,56,130.83588273244058,1
3,0,22,53,200.68458202248019,1
4,0,39,66,157.6441373504487,1
5,0,48,29,180.3865485992705,1
6,0,65,47,129.5063383631483,1
7,0,0,8,233.17156572286527,1
8,0,21,14,162.26293440005253,1
9,0,38,45,173.94407246980853,1
10,0,8,14,250.02872049177066,1
11,0,14,26,193.27091183276633,1
12,0,30,45,162.00077831486465,1
13,0,18,51,108.47508154205275,1
14,0,7,53,110.08434369823352,1
15,0,37,32,206.0283560766452,1
16,0,50,39,143.0940614763084,1
17,0,63,47,169.7054344959634,1
18,0,22,21,183.216077628565,1
19,0,48,34,135.39953724801515,1
20,0,31,20,127.41838388867514,1
21,0,17,42,166.02162507682377,1
22,0,1,61,212.90816793382055,1
23,0,12,46,113.27720348441504,1
24,0,22,32,106.75212441701596,1
0,1,51,36,189.27562275112987,1
1,1,32,14,136.90764967504114,1
2,1,38,59,181.37809286218135,1
3,1,52,53,113.97779974833689,1
4,1,17,22,186.44656521761743,1
5,1,29,5,197.1693623239531,1
6,1,29,24,176.9738472229942,1
7,1,59,60,179.79378369924126,1
8,1,0,7,184.19380393675402,1
9,1,24,25,176.17687607931498,1
10,1,33,45,115.68811753741082,1
11,1,55,30,133.87335181945238,1
12,1,16,54,221.04132699657245,1
13,1,67,51,210.3490112182541,1
14,1,1,10,195.82673942072307,1
15,1,14,24,132.53436113145443,1
16,1,10,52,186.14987141423381,1
17,1,59,15,181.27747142128993,1
18,1,38,3,201.22364242355678,1
19,1,60,20,117.14168402936596,1
20,1,48,29,139.9213685098883,1
21,1,13,61,127.771943129742,1
22,1,67,61,174.08561384724672,1
23,1,6,34,193.7959222851834,1
24,1,32,48,184.48781939354043,1
0,2,67,6,152.33227413322487,1
1,2,33,49,143.61357388005857,1
2,2,4,3,193.71976100295825,1
3,2,23,61,206.77085828609285,1
4,2,27,48,143.27514011049755,1
5,2,37,66,145.81283034936703,1
6,2,28,39,197.84153712280494,1
7,2,9,31,130.29804479791247,1
8,2,61,7,174.13645227472898,1
9,2,11,22,232.24241665102684,1
10,2,23,5,110.55793917608759,1
11,2,40,34,209.64555677950528,1
12,2,36,19,118.259884758241,1
13,2,66,38,139.1651843301687,1
14,2,34,5,205.82466659253072,1
15,2,40,19,129.95211857945625,1
16,2,38,19,132.89900227739236,1
17,2,35,61,163.09547356253276,1
18,2,50,17,198.7133394912844,1
19,2,17,16,131.32353273057797,1
20,2,29,32,212.2420886287805,1
21,2,39,56,181.94551493053967,1
22,2,26,14,180.3716075709059,1
23,2,22,34,184.1586742134547,1
24,2,59,14,101.56184971953054,1
0,3,58,43,134.86323970903186,1
1,3,53,22,114.2395307390667,1
2,3,26,33,189.66730108466174,1
3,3,22,51,127.20480267387913,1
4,3,65,58,188.7886569459986,1
5,3,29,20,204.79370054784607,1
6,3,37,41,161.2760060811249,1
7,3,32,13,179.82545304396365,1
8,3,20,7,185.42563099989718,1
9,3,42,13,232.3182136722838,1
10,3,49,62,195.43308498637066,1
11,3,42,60,238.31202671056352,1
12,3,41,34,175.50395755275224,1
13,3,1,66,147.28748058155617,1
14,3,9,62,201.21596209151926,1
15,3,54,18,115.56150417521383,1
16,3,28,25,171.3095846571629,1
17,3,60,59,196.7605841843752,1
18,3,59,28,114.79634217183384,1
19,3,28,39,213.866123594543,1
20,3,68,41,200.96847325538286,1
21,3,2,26,201.61636169207543,1
22,3,48,20,193.12212465592177,1
23,3,26,63,192.86063862474143,1
24,3,4,15,201.0919787837753,1
0,4,3,11,194.28020166607712,1
1,4,21,47,227.8909945871829,1
2,4,31,4,220.20411569131562,1
3,4,28,34,218.30087978078137,1
4,4,40,67,237.19849218145848,1
5,4,52,46,200.96669824147597,1
6,4,68,14,150.6805431424009,1
7,4,41,68,208.9212263145668,1
8,4,32,15,203.44692781954745,1
9,4,52,46,190.57088831250752,1
10,4,36,54,145.00016265746848,1
11,4,60,19,179.26611062973885,1
12,4,15,12,129.42409183551283,1
13,4,23,58,162.00432359568703,1
14,4,49,31,145.2277232929222,1
15,4,49,0,127.56257232857521,1
16,4,42,48,185.6689641007538,1
17,4,3,19,145.60696689409315,1
18,4,0,50,116.6167540996987,1
19,4,65,47,205.46843721781426,1
20,4,31,43,227.6567198192321,1
21,4,3,49,121.89036675935708,1
22,4,6,46,105.06037919513813,1
23,4,50,40,179.1162421045885,1
24,4,58,10,179.68070745410586,1
0,5,3,61,201.95015508726726,1
1,5,46,52,181.44318212279705,1
2,5,57,45,152.63678155514953,1
3,5,17,62,148.07437690325466,1
4,5,66,49,140.31595560802245,1
5,5,56,4,166.03124367712152,1
6,5,34,27,140.10755277176173,1
7,5,30,16,108.97972046403792,1
8,5,16,52,169.27615951084144,1
9,5,59,46,116.24191072443905,1
10,5,18,65,227.41134970978084,1
11,5,62,21,210.24848692175277,1
12,5,50,56,160.4694602057221,1
13,5,62,30,192.95576798545113,1
14,5,12,24,139.55770670303315,1
15,5,10,51,139.73949375035386,1
16,5,21,57,121.60196771012215,1
17,5,8,10,208.76976251458856,1
18,5,40,66,131.2807012551632,1
19,5,29,33,157.37554877186147,1
20,5,43,15,159.48654504351606,1
21,5,6,11,165.33590698263183,1
22,5,9,26,229.7586374755154,1
23,5,23,15,172.0338335443468,1
24,5,10,67,100.21144968507342,1
