LinkID,src,dst,cap
0,0,30,1435
1,30,0,1007
2,1,6,1974
3,6,1,1605
4,2,30,1064
5,30,2,1545
6,3,30,1162
7,30,3,1573
8,4,7,1549
9,7,4,1282
10,5,10,1394
11,10,5,1413
12,6,42,1020
13,42,6,1184
14,6,57,1169
15,57,6,1914
16,7,42,1261
17,42,7,1960
18,8,48,1944
19,48,8,1604
20,9,22,1260
21,22,9,1247
22,10,30,1809
23,30,10,1915
24,11,34,1298
25,34,11,1490
26,12,41,1469
27,41,12,1765
28,12,13,1260
29,13,12,1818
30,13,28,1610
31,28,13,1820
32,14,30,1411
33,30,14,1499
34,15,30,1227
35,30,15,1124
36,16,19,1019
37,19,16,1132
38,16,30,1897
39,30,16,1975
40,17,23,1698
41,23,17,1075
42,18,19,1147
43,19,18,1377
44,18,21,1264
45,21,18,1936
46,18,22,1214
47,22,18,1129
48,20,25,1702
49,25,20,1544
50,22,30,1882
51,30,22,1729
52,22,23,1794
53,23,22,1260
54,23,48,1479
55,48,23,1772
56,24,30,1376
57,30,24,1946
58,25,30,1446
59,30,25,1228
60,26,66,1446
61,66,26,1476
62,26,30,1140
63,30,26,1454
64,26,31,1482
65,31,26,1902
66,27,30,1645
67,30,27,1764
68,27,55,1867
69,55,27,1991
70,28,37,1741
71,37,28,1646
72,29,37,1810
73,37,29,1881
74,29,38,1144
75,38,29,1622
76,30,31,1208
77,31,30,1679
78,30,34,1801
79,34,30,1087
80,30,35,1664
81,35,30,1276
82,30,36,1336
83,36,30,1618
84,30,39,1004
85,39,30,1282
86,30,40,1532
87,40,30,1565
88,30,42,1131
89,42,30,1236
90,30,44,1666
91,44,30,1122
92,30,45,1288
93,45,30,1086
94,30,48,1832
95,48,30,1422
96,30,49,1958
97,49,30,1611
98,30,50,1463
99,50,30,1865
100,30,51,1880
101,51,30,1250
102,30,52,1542
103,52,30,1741
104,30,55,1569
105,55,30,1376
106,30,59,1637
107,59,30,1130
108,30,61,1156
109,61,30,1502
110,30,62,1891
111,62,30,1903
112,31,59,1325
113,59,31,1951
114,32,50,1528
115,50,32,1928
116,33,34,1607
117,34,33,1610
118,36,56,1714
119,56,36,1651
120,38,58,1882
121,58,38,1362
122,38,39,1172
123,39,38,1112
124,41,60,1541
125,60,41,1358
126,42,43,1632
127,43,42,1506
128,42,46,1071
129,46,42,1786
130,42,56,1092
131,56,42,1749
132,47,48,1800
133,48,47,1582
134,48,53,1150
135,53,48,1963
136,48,54,1461
137,54,48,1771
138,62,63,1362
139,63,62,1844
140,63,64,1178
141,64,63,1139
142,65,66,1056
143,66,65,1126
144,66,67,1371
145,67,66,1907
146,66,68,1963
147,68,66,1399
