flowID,coflowID,src,dst,bandwidth,weight
0,0,0,1,116.66084823756105,1
1,0,0,1,163.08817911810527,1
2,0,1,5,187.11714950913927,1
3,0,4,2,203.7673545958259,1
4,0,4,5,205.623937048816,1
5,0,4,3,177.6368242894116,1
6,0,0,5,128.68671565377676,1
7,0,4,1,193.7460339980313,1
8,0,5,3,113.11885737293744,1
9,0,4,1,132.14492325468498,1
10,0,0,1,163.92882560388938,1
11,0,3,2,205.52407735642018,1
12,0,0,2,208.98992304406556,1
13,0,0,5,127.10264504071186,1
14,0,4,0,142.9847697537504,1
15,0,2,5,102.96851586299287,1
16,0,5,4,169.42359136963472,1
17,0,5,4,109.7913999696308,1
18,0,5,1,121.71314644884546,1
19,0,2,3,135.61291509041422,1
20,0,5,1,148.88663768067,1
21,0,4,1,114.62548279328652,1
22,0,2,0,195.80147876039405,1
23,0,0,4,180.00825116475932,1
24,0,3,2,178.57740783967523,1
0,1,2,1,181.8408197314636,1
1,1,1,0,110.80694478360206,1
2,1,4,1,177.50217458511054,1
3,1,2,4,187.7268938293879,1
4,1,0,3,188.69019307075027,1
5,1,4,5,202.58624093657716,1
6,1,2,3,211.5649766467699,1
7,1,1,3,104.43857422376466,1
8,1,0,5,113.18629073119473,1
9,1,4,5,199.6770348000121,1
10,1,5,2,162.26164132885955,1
11,1,3,4,137.30718612319203,1
12,1,5,1,117.30312084897787,1
13,1,1,2,193.6719507509661,1
14,1,2,3,116.59303764800907,1
15,1,2,4,144.45705928419596,1
16,1,3,0,198.9638497646954,1
17,1,4,0,189.12690741620042,1
18,1,5,4,219.35044355130822,1
19,1,4,5,161.35800649235148,1
20,1,0,1,221.34500250340375,1
21,1,5,1,177.70728692267397,1
22,1,5,0,192.3575487438197,1
23,1,0,2,125.9806097922143,1
24,1,5,1,237.38276292577297,1
0,2,5,2,108.59161160356115,1
1,2,2,1,189.14703962812183,1
2,2,2,1,121.55743621083737,1
3,2,2,5,201.76902386830002,1
4,2,1,4,134.61521687239292,1
5,2,1,4,160.51859943066142,1
6,2,4,5,142.6724119644187,1
7,2,0,2,177.32490536294824,1
8,2,2,1,155.99123696273807,1
9,2,5,4,131.5928579808286,1
10,2,2,5,189.13691874641106,1
11,2,2,3,166.2843728080203,1
12,2,2,5,130.93679668196245,1
13,2,0,5,193.47243275208277,1
14,2,5,0,108.00463185193654,1
15,2,2,4,141.11797697421608,1
16,2,2,5,155.15546311365574,1
17,2,2,3,110.9657035999547,1
18,2,5,3,212.1254179353274,1
19,2,0,2,129.6125713014403,1
20,2,3,4,183.6871345669823,1
21,2,3,4,223.92341831912944,1
22,2,3,2,185.93302087700795,1
23,2,5,0,211.0729194368882,1
24,2,3,1,197.99229240160315,1
0,3,4,1,140.48973108379,1
1,3,1,4,150.84221515685735,1
2,3,4,1,132.13128840647855,1
3,3,1,3,118.25348243104848,1
4,3,3,0,202.3801096419017,1
5,3,0,3,196.10716964095008,1
6,3,3,5,106.45718950476389,1
7,3,5,0,100.05879629234052,1
8,3,3,5,207.58188220529507,1
9,3,0,4,130.30293749489047,1
10,3,5,2,152.11074596851034,1
11,3,1,0,163.57193764120854,1
12,3,4,5,215.2713745770849,1
13,3,0,4,237.77989207871298,1
14,3,4,0,153.98805678443696,1
15,3,0,2,129.1440074466402,1
16,3,1,2,199.63416488160863,1
17,3,0,1,109.83365591563707,1
18,3,1,3,148.90454270767316,1
19,3,2,1,104.72924713605691,1
20,3,0,5,129.25158644749814,1
21,3,3,5,166.42700743969584,1
22,3,4,5,212.16943900794644,1
23,3,0,3,117.49698024911439,1
24,3,4,2,218.6368499343917,1
0,4,0,5,112.2576350769193,1
1,4,0,4,178.13643855504333,1
2,4,4,1,178.75635846395028,1
3,4,3,0,104.47015253967137,1
4,4,2,3,171.7825898108968,1
5,4,3,4,196.56030132773145,1
6,4,5,2,225.00243459838637,1
7,4,4,2,148.16742967726793,1
8,4,4,0,123.3752268433679,1
9,4,4,3,106.3087522000063,1
10,4,1,0,191.26661958585106,1
11,4,0,5,197.04762230670394,1
12,4,0,4,136.73434186235679,1
13,4,1,2,220.1867686805453,1
14,4,0,3,177.47432283564996,1
15,4,4,0,160.49961850644848,1
16,4,1,0,228.95603689890336,1
17,4,3,2,131.87451711911166,1
18,4,1,4,141.8409709655263,1
19,4,2,0,154.69772540632982,1
20,4,1,3,219.81851456975522,1
21,4,0,1,202.26684310681574,1
22,4,4,2,188.4704549631486,1
23,4,3,2,187.11560058402307,1
24,4,2,1,190.25779270793652,1
0,5,5,0,234.37150275897721,1
1,5,5,3,211.79574196638816,1
2,5,3,1,180.47347899441638,1
3,5,4,0,203.95533737693938,1
4,5,3,1,123.17722796388509,1
5,5,4,3,211.54140247366564,1
6,5,5,4,230.35535232756257,1
7,5,5,0,196.79517284218855,1
8,5,3,5,121.32448184830332,1
9,5,3,0,156.33534931008342,1
10,5,4,2,162.56557651757774,1
11,5,2,5,142.7075046153045,1
12,5,3,2,214.59811255792243,1
13,5,0,2,220.8110751464181,1
14,5,5,1,164.5549506633913,1
15,5,5,3,175.0287905042375,1
16,5,4,5,118.6435973409553,1
17,5,0,2,179.20205751162206,1
18,5,4,3,113.02400193751485,1
19,5,2,3,100.46709174839391,1
20,5,4,5,125.13730554451665,1
21,5,1,2,110.09874425962678,1
22,5,3,4,165.73360864374928,1
23,5,0,3,195.25770743185168,1
24,5,3,2,102.52542498975093,1
