flowID,coflowID,src,dst,bandwidth,weight
0,0,2,19,151.9246142126573,1
1,0,2,19,162.5329436355435,1
2,0,18,4,169.41337642413038,1
3,0,11,12,107.03719268676595,1
4,0,6,8,167.40999629581478,1
5,0,8,2,149.08432813217374,1
6,0,4,7,168.57090020061557,1
7,0,10,4,138.48228835619196,1
8,0,2,7,213.60118203052056,1
9,0,18,2,209.4178362014921,1
10,0,7,13,177.75068355347895,1
11,0,6,9,149.9564328329539,1
12,0,17,12,138.0985257397294,1
13,0,7,15,107.95364835097224,1
14,0,12,7,223.9054690039077,1
15,0,18,3,209.7550036979457,1
16,0,14,10,138.8961762308605,1
17,0,2,19,136.55251067434622,1
18,0,8,15,120.96879849752926,1
19,0,19,13,206.2918226768554,1
20,0,4,3,108.56771121618665,1
21,0,9,4,143.56805063313558,1
22,0,4,16,194.68125449133512,1
23,0,13,3,154.68174824096099,1
24,0,15,14,192.34344928528492,1
0,1,7,0,126.63290359004438,1
1,1,12,5,110.78549353874448,1
2,1,10,7,137.16215570728951,1
3,1,19,3,115.17811959896594,1
4,1,12,9,197.83053870508058,1
5,1,9,15,157.3677591298103,1
6,1,3,8,145.1596289126064,1
7,1,3,16,146.1572959121096,1
8,1,6,4,197.89475799122317,1
9,1,0,5,148.15198817033496,1
10,1,12,8,103.28813661157541,1
11,1,3,15,169.45766911095046,1
12,1,2,8,114.53787127268284,1
13,1,14,15,145.333823598644,1
14,1,6,7,112.4929092242285,1
15,1,7,10,192.89613145011933,1
16,1,15,6,153.5540928039542,1
17,1,8,10,218.00179906736852,1
18,1,1,10,102.70063653124313,1
19,1,15,7,111.71518429709032,1
20,1,11,3,214.13114379522767,1
21,1,7,13,172.67121319712254,1
22,1,16,15,207.82782032608281,1
23,1,7,14,104.18106686519094,1
24,1,11,6,147.67473784292497,1
0,2,0,2,217.97124015271444,1
1,2,18,13,148.82339113862562,1
2,2,11,12,194.3107306470746,1
3,2,16,0,102.87856936213664,1
4,2,6,17,190.63351103190905,1
5,2,14,1,122.20487247209246,1
6,2,0,16,105.46393927522776,1
7,2,10,1,147.1200923459984,1
8,2,12,3,195.93262239505907,1
9,2,2,10,131.505092258405,1
10,2,19,15,171.73305151367884,1
11,2,16,13,177.6567031217618,1
12,2,11,6,227.15007241181536,1
13,2,0,17,145.39927132202052,1
14,2,3,0,111.65460820731417,1
15,2,9,18,117.36506266842395,1
16,2,18,1,155.2809988324816,1
17,2,9,19,166.35094345824848,1
18,2,18,11,190.31757751844725,1
19,2,10,5,164.6942229663757,1
20,2,9,17,143.85988546277144,1
21,2,16,4,106.72556719794706,1
22,2,12,4,157.37569054557534,1
23,2,5,3,216.85136314902076,1
24,2,18,7,170.18534920188267,1
0,3,12,1,179.84533216185025,1
1,3,3,5,180.74022630446962,1
2,3,16,7,149.9349195139877,1
3,3,3,11,136.8911278057974,1
4,3,9,13,211.74970516738034,1
5,3,17,7,156.84799932676194,1
6,3,15,12,154.28041324927028,1
7,3,4,16,124.29983796507048,1
8,3,0,9,174.52578690483088,1
9,3,8,5,217.8291118295183,1
10,3,7,0,145.84658265355722,1
11,3,12,0,106.05925375213299,1
12,3,7,19,212.26661173221316,1
13,3,6,8,172.01059520085272,1
14,3,18,13,138.4843983590136,1
15,3,16,19,208.9298880485432,1
16,3,18,4,113.24484434381547,1
17,3,3,2,132.8096305075709,1
18,3,11,0,202.94974407005333,1
19,3,4,6,196.49432845064604,1
20,3,12,19,201.6776726778807,1
21,3,9,10,217.37203472128502,1
22,3,2,16,117.48693891417739,1
23,3,11,14,182.86281689216588,1
24,3,14,3,188.85955164843165,1
0,4,2,10,190.63742039526494,1
1,4,16,12,186.03372972118024,1
2,4,18,3,169.2329033756845,1
3,4,14,15,107.82923390834725,1
4,4,7,9,185.9474829069983,1
5,4,16,18,120.11848839122987,1
6,4,0,17,176.436115338913,1
7,4,18,14,107.09707478395379,1
8,4,10,2,138.84528407378883,1
9,4,14,1,119.40028461898369,1
10,4,16,3,176.97614927166754,1
11,4,3,2,132.8504819840785,1
12,4,8,17,146.2460391256708,1
13,4,2,13,165.74634823870124,1
14,4,5,6,187.9452761252481,1
15,4,3,16,199.16278027362256,1
16,4,15,16,167.26417735649056,1
17,4,14,2,164.16957604004352,1
18,4,9,16,189.07633217750765,1
19,4,6,2,208.80532673294397,1
20,4,17,12,198.74647262217576,1
21,4,8,10,223.81250525065474,1
22,4,11,8,142.6511483699305,1
23,4,11,10,113.51434117418704,1
24,4,3,7,134.22225054044054,1
0,5,3,8,210.84466046288338,1
1,5,11,4,181.41890612772147,1
2,5,18,19,128.36675129234973,1
3,5,17,9,212.43237650663778,1
4,5,3,10,189.42854144301344,1
5,5,10,13,147.16579521955634,1
6,5,0,6,148.05090503772198,1
7,5,8,7,202.0547229798592,1
8,5,10,1,137.45122780616606,1
9,5,13,15,102.31174850748411,1
10,5,11,0,159.31910855524603,1
11,5,7,1,115.47073394639827,1
12,5,7,10,203.96384376498662,1
13,5,1,14,122.65408860269596,1
14,5,19,14,122.33112387825717,1
15,5,10,18,127.25697431970264,1
16,5,4,3,212.2687031583358,1
17,5,14,5,186.17832244536203,1
18,5,13,11,215.9072125158234,1
19,5,3,12,121.94561379372152,1
20,5,3,15,206.0214670182803,1
21,5,5,11,199.62166547401688,1
22,5,16,1,144.59737694808945,1
23,5,7,10,176.20381741839805,1
24,5,16,9,200.5854454019418,1
