LinkID,src,dst,cap
0,0,2,1616
1,2,0,1400
2,1,4,1857
3,4,1,1523
4,2,3,1185
5,3,2,1888
6,2,4,1028
7,4,2,1086
8,2,5,1619
9,5,2,1124
10,2,6,1666
11,6,2,1788
12,2,7,1593
13,7,2,1291
14,2,9,1003
15,9,2,1877
16,2,10,1252
17,10,2,1773
18,2,11,1733
19,11,2,1944
20,2,12,1842
21,12,2,1104
22,2,13,1488
23,13,2,1652
24,2,14,1774
25,14,2,1618
26,2,15,1870
27,15,2,1480
28,2,16,1096
29,16,2,1263
30,2,17,1668
31,17,2,1758
32,2,18,1285
33,18,2,1251
34,2,19,1623
35,19,2,1405
36,4,7,1698
37,7,4,1559
38,4,10,1355
39,10,4,1794
40,4,11,1553
41,11,4,1461
42,4,16,1771
43,16,4,1055
44,4,17,1335
45,17,4,1575
46,4,18,1568
47,18,4,1287
48,4,19,1290
49,19,4,1000
50,5,17,1394
51,17,5,1065
52,8,17,1479
53,17,8,1623
