flowID,coflowID,src,dst,bandwidth,weight
0,0,1,5,145.4058376894454,1
1,0,0,2,218.80162332360544,1
2,0,2,1,202.1804956028711,1
3,0,3,1,138.54584414844408,1
4,0,0,3,211.24554471700222,1
5,0,0,1,156.98118072431313,1
6,0,1,4,125.95174214612666,1
7,0,1,0,174.0174520146823,1
8,0,0,5,194.60561112657183,1
9,0,2,5,112.72133164057242,1
10,0,2,5,134.73793426205887,1
11,0,0,1,129.1142047064725,1
12,0,0,4,198.96600552722552,1
13,0,4,5,225.77363867847097,1
14,0,4,0,160.80086605748156,1
15,0,3,0,221.7099058796805,1
16,0,4,2,190.8642935030678,1
17,0,0,4,215.067507933056,1
18,0,5,0,102.62304997170969,1
19,0,2,5,166.6658579546692,1
20,0,5,4,101.99744212232089,1
21,0,2,5,104.62349339687988,1
22,0,3,1,136.94396485871673,1
23,0,4,3,214.55193807140265,1
24,0,2,5,117.79749227926162,1
0,1,2,0,147.48844612842282,1
1,1,2,1,198.13390487119517,1
2,1,4,0,140.70480152225468,1
3,1,0,3,206.70688054713702,1
4,1,2,0,112.55061537902698,1
5,1,1,4,217.0523600334655,1
6,1,4,5,117.70580975636061,1
7,1,0,1,148.06552292602393,1
8,1,2,0,167.13134800662712,1
9,1,2,5,162.48236723465976,1
10,1,0,3,118.25059425887845,1
11,1,3,5,221.93373896833418,1
12,1,0,3,155.7184006925195,1
13,1,3,0,160.68354939601278,1
14,1,1,4,192.18026292602215,1
15,1,5,2,166.45127283466675,1
16,1,4,1,104.84532106017346,1
17,1,0,1,142.09924731101927,1
18,1,2,4,189.0962730872121,1
19,1,4,3,173.96163826240564,1
20,1,0,1,197.05630347882254,1
21,1,3,4,101.06162746226828,1
22,1,5,0,150.29002786846414,1
23,1,0,4,192.39340154077064,1
24,1,3,1,222.82350455894658,1
0,2,4,1,148.48808188863984,1
1,2,3,1,141.92290029548647,1
2,2,0,2,101.22726754862727,1
3,2,4,3,179.91063964311823,1
4,2,4,2,193.51808767621065,1
5,2,1,5,174.2938386436345,1
6,2,3,1,108.39315489158022,1
7,2,2,3,138.63617756914178,1
8,2,2,3,215.9833162003271,1
9,2,4,5,121.80909046445595,1
10,2,5,0,183.3625973193987,1
11,2,3,0,160.89974961184424,1
12,2,2,3,163.4964346033363,1
13,2,1,5,190.17614572006107,1
14,2,1,3,196.88304048949442,1
15,2,2,1,102.85564435779499,1
16,2,5,2,116.19220383903718,1
17,2,0,3,111.27939908234674,1
18,2,5,0,179.81272389040913,1
19,2,3,5,101.13716841631839,1
20,2,4,1,190.75003433343917,1
21,2,0,4,166.9006103307005,1
22,2,0,5,182.41028634376727,1
23,2,4,1,217.57462580351523,1
24,2,5,1,157.58937544146022,1
0,3,5,4,222.4957946144839,1
1,3,5,3,150.72311325721466,1
2,3,3,5,158.74766538110683,1
3,3,1,5,202.23864695807526,1
4,3,3,5,173.15696082342737,1
5,3,0,4,129.61947485084264,1
6,3,4,2,190.6122666627037,1
7,3,1,0,173.36615359336108,1
8,3,5,2,183.7141281955386,1
9,3,5,3,193.87818553742784,1
10,3,2,1,205.14917917363277,1
11,3,5,2,176.6098934607229,1
12,3,2,1,111.91850479964613,1
13,3,2,5,182.31922738562153,1
14,3,5,3,222.4644118607228,1
15,3,2,3,188.0768009445339,1
16,3,0,1,172.8227058203585,1
17,3,2,0,157.93431427060773,1
18,3,0,4,102.13513104388763,1
19,3,5,0,163.33322038361763,1
20,3,1,5,116.24484674777099,1
21,3,1,5,160.3147737406016,1
22,3,3,2,134.37101305514364,1
23,3,4,3,158.34194161802424,1
24,3,1,2,230.39206718595716,1
0,4,4,2,199.44786846711406,1
1,4,1,2,128.79968371097993,1
2,4,3,4,128.03458476739834,1
3,4,2,0,128.14710145007217,1
4,4,1,5,174.39244370188692,1
5,4,0,5,150.56780662454446,1
6,4,1,3,103.764794604978,1
7,4,5,2,140.5025629384221,1
8,4,3,2,139.40365507382356,1
9,4,5,4,110.99413842862393,1
10,4,0,2,175.613974365249,1
11,4,5,4,174.45741644876446,1
12,4,0,2,173.96124255765795,1
13,4,5,3,154.1170911119994,1
14,4,4,1,201.3128523697407,1
15,4,2,3,123.85101376170829,1
16,4,5,4,125.64474078166683,1
17,4,1,4,126.7294954346265,1
18,4,5,1,209.76216513504187,1
19,4,0,1,158.58887003118247,1
20,4,1,3,134.80741540748772,1
21,4,5,3,142.06328863969816,1
22,4,0,4,131.7294825070377,1
23,4,1,4,200.02657404922877,1
24,4,0,1,150.5550953005063,1
0,5,5,4,183.5110893425693,1
1,5,3,1,165.14007430100105,1
2,5,2,5,145.613186938392,1
3,5,5,4,203.21595782620028,1
4,5,5,2,121.5184196949038,1
5,5,5,4,188.94885435339475,1
6,5,4,2,188.80380531135742,1
7,5,2,0,218.35345437919008,1
8,5,1,5,174.2846455913763,1
9,5,3,0,111.70961218415658,1
10,5,2,1,185.6025458683314,1
11,5,3,2,172.43231897612662,1
12,5,0,3,144.29580611503732,1
13,5,4,2,152.0376408316297,1
14,5,4,1,133.89731837935193,1
15,5,2,3,113.37527207694141,1
16,5,0,1,146.7996815353303,1
17,5,4,3,142.76847046151175,1
18,5,5,2,205.57854210109096,1
19,5,1,5,201.47327202338982,1
20,5,2,1,110.484641648847,1
21,5,4,2,105.0878418088937,1
22,5,4,2,104.59325824048605,1
23,5,3,5,139.00963005377082,1
24,5,3,5,160.45898038777236,1
