flowID,coflowID,src,dst,bandwidth,weight
0,0,7,8,171.52929238336608,1
1,0,14,3,170.2420851139434,1
2,0,4,13,215.13467127345385,1
3,0,8,14,112.03318035541255,1
4,0,4,8,145.19098173392015,1
5,0,5,2,111.37665984968459,1
6,0,5,12,111.8938312727644,1
7,0,6,2,189.36368450355423,1
8,0,13,14,153.60316128006775,1
9,0,5,8,158.2963043806618,1
10,0,2,8,168.64176858817297,1
11,0,12,10,100.45991726188106,1
12,0,8,14,117.54607184162404,1
13,0,2,11,225.1247113137702,1
14,0,5,9,213.61671099542207,1
15,0,2,14,141.212909528343,1
16,0,1,8,180.53529143704822,1
17,0,9,11,164.88688841776042,1
18,0,9,7,130.3458577303367,1
19,0,6,12,212.4434802239805,1
20,0,5,2,166.37261151869353,1
21,0,11,5,161.15095969743157,1
22,0,4,13,127.26244614637505,1
23,0,4,5,204.3671752831927,1
24,0,11,14,191.22195285983304,1
0,1,2,1,146.74707263810427,1
1,1,9,0,111.51413374819103,1
2,1,13,12,209.4179742516323,1
3,1,6,9,171.48085944609278,1
4,1,12,13,120.19677002073917,1
5,1,12,4,166.51156915017765,1
6,1,5,1,196.21769464850772,1
7,1,7,6,128.2081526545508,1
8,1,8,10,179.14708022034907,1
9,1,7,10,180.56881403898078,1
10,1,6,10,149.89109874381919,1
11,1,3,7,135.01262746685813,1
12,1,12,0,159.8987475221367,1
13,1,11,2,119.32375263074732,1
14,1,11,1,139.73495512610822,1
15,1,14,6,156.62660395117035,1
16,1,5,9,191.76223468927034,1
17,1,2,0,177.84426242202315,1
18,1,9,14,149.30489754438588,1
19,1,2,10,172.50405797324075,1
20,1,9,13,175.45455081682127,1
21,1,5,10,147.63656462619653,1
22,1,10,0,101.17843130353269,1
23,1,3,1,118.31570194570124,1
24,1,14,7,116.34887930692588,1
0,2,14,5,192.58415326686963,1
1,2,7,14,182.5583090331022,1
2,2,1,4,186.5890225841526,1
3,2,9,8,174.48494283901604,1
4,2,2,7,113.6340919890517,1
5,2,0,12,104.79708158608094,1
6,2,9,11,148.71590501446173,1
7,2,0,4,122.99945938451354,1
8,2,12,2,160.1333206471411,1
9,2,11,6,106.9023739068362,1
10,2,3,5,153.67981351072248,1
11,2,0,2,124.0774416442089,1
12,2,0,2,205.32040079587665,1
13,2,8,7,156.21916146480004,1
14,2,10,14,168.58861011945982,1
15,2,13,0,225.28827920393203,1
16,2,1,9,111.91116112790947,1
17,2,1,5,226.00426885864982,1
18,2,2,5,176.83847811364885,1
19,2,3,12,156.00253754330512,1
20,2,3,9,178.20307830865067,1
21,2,6,1,112.43349146156899,1
22,2,9,10,128.0155404315004,1
23,2,9,4,222.55197694974032,1
24,2,2,8,112.97999085233904,1
0,3,1,5,199.84269978934537,1
1,3,7,14,188.7006553466407,1
2,3,13,0,113.79847645625959,1
3,3,9,8,186.12075501189247,1
4,3,9,5,161.87512057076964,1
5,3,4,9,149.889056329098,1
6,3,3,1,160.6772970555022,1
7,3,7,3,100.5269303820452,1
8,3,14,13,115.79127713743131,1
9,3,4,11,191.89749611555044,1
10,3,5,4,131.5445523456782,1
11,3,8,4,104.8357547105583,1
12,3,14,3,131.4749964631878,1
13,3,4,9,100.49924515063353,1
14,3,0,6,178.52513748590985,1
15,3,5,10,130.4003982015689,1
16,3,5,12,200.67022327729,1
17,3,13,9,204.50378461658767,1
18,3,8,12,212.94934281411784,1
19,3,7,0,214.32827937285012,1
20,3,11,7,112.85081475950923,1
21,3,10,5,105.8965865106856,1
22,3,4,5,175.23449303937724,1
23,3,13,14,148.77142318382738,1
24,3,12,0,202.67547266436856,1
0,4,13,9,174.80887547875727,1
1,4,12,2,129.08502719953907,1
2,4,14,2,215.007594952717,1
3,4,9,5,151.0920485318548,1
4,4,5,10,208.28406691930377,1
5,4,10,0,181.25523828879113,1
6,4,4,6,172.11447054342727,1
7,4,9,13,192.52640963879662,1
8,4,10,6,107.22856018565166,1
9,4,14,10,208.3640555912629,1
10,4,8,2,244.7014811476592,1
11,4,11,13,153.5283742649694,1
12,4,4,14,146.2204748830141,1
13,4,12,3,213.32267536152875,1
14,4,7,14,236.0163026372391,1
15,4,9,3,163.02029901955058,1
16,4,6,9,128.55764624628802,1
17,4,3,2,123.75725951557907,1
18,4,9,10,139.13788998555924,1
19,4,10,4,107.02584063734295,1
20,4,14,3,104.45152005213961,1
21,4,9,8,215.32552229220903,1
22,4,6,1,147.99002331324414,1
23,4,6,14,176.67458107970174,1
24,4,7,4,126.24043438847812,1
0,5,12,2,181.15791735799417,1
1,5,14,13,143.4590207199515,1
2,5,4,5,106.63117172302216,1
3,5,9,5,183.76042016471638,1
4,5,3,2,100.70049029291205,1
5,5,9,0,139.2401719816334,1
6,5,6,14,119.08214014850725,1
7,5,5,10,234.683845865708,1
8,5,7,2,100.92718311446644,1
9,5,9,13,119.01705601645953,1
10,5,12,5,101.22806931055402,1
11,5,1,10,100.54160966445961,1
12,5,6,1,226.20964983713537,1
13,5,12,5,163.94936961437523,1
14,5,2,12,192.80605700754884,1
15,5,1,9,103.88367265548997,1
16,5,7,6,140.94404093063343,1
17,5,12,13,153.57389209715444,1
18,5,13,8,201.35663728021916,1
19,5,6,4,185.23183544509016,1
20,5,7,11,177.0200150736812,1
21,5,12,13,168.1241969620607,1
22,5,6,13,135.697089752009,1
23,5,9,12,123.2364352753675,1
24,5,3,0,143.65914284748615,1
