flowID,coflowID,src,dst,bandwidth,weight
0,0,5,0,153.77969108530027,1
1,0,0,11,159.77501430294342,1
2,0,14,7,198.42656992493394,1
3,0,13,7,123.35543482338471,1
4,0,11,4,216.66316620609388,1
5,0,4,6,114.45452728090781,1
6,0,10,9,195.51031220972186,1
7,0,10,3,171.52009499526577,1
8,0,6,7,130.529013583332,1
9,0,4,7,121.07374896911081,1
10,0,11,10,173.0626907557034,1
11,0,15,10,137.16762228793766,1
12,0,11,12,177.10953999173302,1
13,0,8,12,124.44457722939961,1
14,0,11,3,156.92746793365674,1
15,0,11,1,143.4492153196093,1
16,0,4,13,151.8005631550821,1
17,0,4,3,103.69475949836983,1
18,0,7,14,167.02334590789587,1
19,0,10,6,196.2959864737614,1
20,0,0,3,211.5584267278732,1
21,0,2,15,115.99211529754845,1
22,0,3,2,205.38422083165023,1
23,0,6,12,155.3858623680262,1
24,0,5,1,179.14214760708649,1
0,1,1,10,182.10749675590404,1
1,1,1,0,141.10389900317614,1
2,1,8,9,174.13106810968105,1
3,1,11,6,161.92849178462413,1
4,1,15,3,132.4477683620077,1
5,1,0,6,168.06851030918511,1
6,1,1,10,133.3487452811287,1
7,1,11,12,153.12498959134285,1
8,1,8,5,166.90679450435096,1
9,1,3,14,121.83558726980496,1
10,1,13,10,191.86265218222445,1
11,1,13,0,208.35505376238896,1
12,1,8,14,202.62292727700682,1
13,1,12,13,170.7071035483691,1
14,1,0,1,144.86724389389246,1
15,1,12,13,199.25529838189436,1
16,1,1,4,177.4783510658402,1
17,1,5,13,193.49952521746496,1
18,1,12,5,235.28697856241814,1
19,1,13,1,150.03753659272442,1
20,1,10,15,115.80933321565985,1
21,1,10,0,108.64386149472145,1
22,1,15,2,105.64445553903639,1
23,1,4,11,208.9826519871154,1
24,1,7,5,140.80653624831513,1
0,2,2,9,144.91141931065985,1
1,2,9,1,143.1792890043196,1
2,2,12,2,128.99554794328753,1
3,2,8,12,208.2055142374528,1
4,2,1,9,188.15152935872698,1
5,2,6,12,147.43111306608398,1
6,2,4,3,229.9564934372276,1
7,2,6,10,172.4717507892288,1
8,2,7,3,175.94806915851177,1
9,2,1,11,174.8486693416452,1
10,2,2,15,146.15275281311193,1
11,2,8,1,211.8759886955201,1
12,2,12,14,143.5151426252706,1
13,2,11,8,149.37361244640192,1
14,2,6,15,183.20883729256798,1
15,2,9,7,133.6024920365081,1
16,2,13,1,118.82015497994462,1
17,2,3,9,137.6703243961876,1
18,2,3,4,108.89372867831148,1
19,2,2,13,156.4558920128331,1
20,2,12,15,213.80812753337568,1
21,2,0,15,130.47118885693425,1
22,2,13,10,161.66690319397895,1
23,2,12,8,218.86629228685928,1
24,2,0,6,220.31024271034647,1
0,3,8,6,188.9662299133446,1
1,3,15,8,178.28621430674917,1
2,3,11,2,227.00839149124465,1
3,3,0,12,188.5664236724798,1
4,3,4,0,231.16266375778912,1
5,3,5,8,206.97300851660555,1
6,3,1,12,109.42815184427137,1
7,3,12,10,216.5837472421409,1
8,3,12,13,156.79897150120516,1
9,3,0,7,205.93624044223947,1
10,3,14,2,146.09258859766643,1
11,3,5,4,176.16996248741393,1
12,3,4,10,210.98802462185296,1
13,3,12,10,184.27442352373663,1
14,3,0,6,131.48265926689228,1
15,3,15,8,215.1591651552829,1
16,3,8,5,203.21323472696469,1
17,3,7,11,135.13523442816944,1
18,3,9,8,143.80546365807885,1
19,3,6,7,104.02328582314132,1
20,3,1,3,141.50404221118066,1
21,3,7,15,210.2087772227975,1
22,3,3,9,131.0937805497208,1
23,3,9,13,122.68173002205965,1
24,3,13,5,107.73346104317622,1
0,4,8,13,148.5078590493867,1
1,4,6,0,159.83509369533905,1
2,4,7,14,255.74120586631705,1
3,4,0,5,195.11273045151205,1
4,4,5,8,160.06505296634708,1
5,4,15,11,139.71900072833043,1
6,4,12,14,136.78009719289034,1
7,4,0,11,106.51298223732759,1
8,4,4,6,167.82255971007265,1
9,4,15,2,109.99468417414676,1
10,4,9,2,207.93070103647113,1
11,4,4,9,181.11715208984387,1
12,4,4,2,152.50292648535236,1
13,4,2,13,155.4857280395642,1
14,4,0,7,101.21712913506038,1
15,4,1,2,123.06584261855082,1
16,4,2,13,232.60233516951436,1
17,4,7,15,216.47316282886837,1
18,4,12,9,204.13431793019333,1
19,4,7,0,200.48427768727973,1
20,4,0,15,216.6392859571322,1
21,4,12,6,155.77986002184286,1
22,4,0,14,183.71952214672461,1
23,4,8,12,180.92602426577764,1
24,4,6,9,140.66076441687247,1
0,5,9,2,216.03823328754484,1
1,5,3,8,216.51222982359994,1
2,5,6,0,180.1915364303886,1
3,5,3,5,205.43930937761388,1
4,5,0,14,207.36838362200106,1
5,5,4,6,155.13092692409745,1
6,5,6,11,184.25158887546638,1
7,5,13,0,143.34853924560494,1
8,5,11,12,227.9087281887522,1
9,5,10,9,179.25321520888554,1
10,5,7,11,165.3950752695232,1
11,5,10,6,194.22434878696723,1
12,5,6,15,222.31577786031022,1
13,5,3,0,125.08450783471,1
14,5,14,5,204.45596735512055,1
15,5,13,1,193.68475064679438,1
16,5,15,1,189.60314289204115,1
17,5,13,11,188.71397936510894,1
18,5,15,10,191.44959721537913,1
19,5,10,8,201.51297517617945,1
20,5,15,6,220.5044902876474,1
21,5,7,0,168.4465475041403,1
22,5,14,15,126.47891626633557,1
23,5,2,6,120.73362906462812,1
24,5,6,4,194.58960982896465,1
