LinkID,src,dst,cap
0,0,3,1265
1,3,0,1901
2,0,15,1173
3,15,0,1462
4,1,15,1513
5,15,1,1445
6,2,3,1371
7,3,2,1693
8,2,7,1925
9,7,2,1127
10,3,4,1121
11,4,3,1577
12,3,6,1469
13,6,3,1700
14,3,7,1573
15,7,3,1359
16,4,5,1291
17,5,4,1805
18,6,9,1084
19,9,6,1552
20,6,13,1016
21,13,6,1849
22,6,7,1384
23,7,6,1328
24,7,8,1745
25,8,7,1085
26,8,9,1872
27,9,8,1746
28,9,10,1258
29,10,9,1508
30,10,11,1345
31,11,10,1238
32,11,12,1066
33,12,11,1787
34,12,13,1224
35,13,12,1836
36,13,14,1444
37,14,13,1836
38,13,15,1457
39,15,13,1938
