flowID,coflowID,src,dst,bandwidth,weight
0,0,15,5,190.5273447829112,1
1,0,16,13,132.94167339694135,1
2,0,10,15,196.0494785139844,1
3,0,6,13,101.35738572652599,1
4,0,4,10,154.89436749655042,1
5,0,13,5,171.32637883116416,1
6,0,2,16,130.72162572759606,1
7,0,15,0,103.24626102332142,1
8,0,19,15,153.5532469717768,1
9,0,0,2,229.2367786296385,1
10,0,4,8,150.5810615952018,1
11,0,3,2,241.87630252989754,1
12,0,16,1,101.5644653961883,1
13,0,9,0,143.8465319470492,1
14,0,17,8,192.80343607168317,1
15,0,14,16,186.40796507323407,1
16,0,1,14,121.43219858004477,1
17,0,10,13,168.8794755309388,1
18,0,17,4,114.15645720464286,1
19,0,0,4,203.06772289090605,1
20,0,9,19,142.0227885611575,1
21,0,2,12,159.7964880981584,1
22,0,9,6,127.64790305515349,1
23,0,19,10,134.84486899813083,1
24,0,16,12,130.16903636034897,1
0,1,0,8,112.067205255964,1
1,1,7,14,164.09857441385557,1
2,1,0,8,142.06903021468614,1
3,1,10,19,210.12899885774476,1
4,1,2,12,193.996448838034,1
5,1,5,3,167.63774862592598,1
6,1,8,14,170.5181286765291,1
7,1,9,0,182.2400346400436,1
8,1,13,12,155.3226313269552,1
9,1,11,13,180.397107807652,1
10,1,4,3,179.975678854187,1
11,1,9,2,214.2263285152614,1
12,1,0,8,201.19183105813096,1
13,1,8,13,141.03527760782939,1
14,1,11,17,134.39338181145112,1
15,1,8,15,123.58335436505598,1
16,1,6,17,126.59051565161711,1
17,1,2,4,223.9356825236696,1
18,1,15,2,114.81565426057146,1
19,1,14,8,122.61351653794124,1
20,1,12,5,186.62371248107365,1
21,1,9,0,143.35216725751917,1
22,1,10,7,191.15304832525266,1
23,1,6,12,224.62008011955464,1
24,1,11,9,140.63711983254387,1
0,2,16,7,165.89105195367807,1
1,2,16,3,137.16046116384587,1
2,2,0,14,114.71676661986636,1
3,2,7,1,125.03873388866333,1
4,2,8,11,103.33027158928326,1
5,2,12,2,201.0854369830774,1
6,2,2,17,245.39440576562518,1
7,2,10,12,148.04107696629177,1
8,2,12,0,148.54149578975856,1
9,2,7,16,132.7155594990263,1
10,2,0,6,129.86712175413726,1
11,2,13,18,220.3718290833485,1
12,2,13,3,209.54353986428623,1
13,2,19,17,196.64123073878403,1
14,2,18,4,102.71957556219026,1
15,2,5,14,198.92870652054944,1
16,2,13,19,250.37026303824527,1
17,2,1,14,151.6587827265949,1
18,2,8,10,128.53464245413153,1
19,2,13,19,156.02363572750195,1
20,2,13,0,143.34703056884683,1
21,2,18,9,170.65666127862843,1
22,2,16,11,198.0045845072865,1
23,2,9,15,183.80909355858088,1
24,2,6,13,211.95472168377535,1
0,3,18,12,140.6637837469504,1
1,3,10,7,172.910516931217,1
2,3,5,18,201.9114848915863,1
3,3,12,18,181.03470332994777,1
4,3,9,7,181.07467194739723,1
5,3,12,7,198.63998126675716,1
6,3,4,7,212.43733121390665,1
7,3,17,8,227.7195599736998,1
8,3,7,18,115.02880778014354,1
9,3,8,16,138.52642099480147,1
10,3,13,3,178.0799794019763,1
11,3,16,19,174.54691922320055,1
12,3,0,9,102.87259647092999,1
13,3,5,4,119.36626949240568,1
14,3,16,19,173.52833841218944,1
15,3,4,9,105.56408142130223,1
16,3,13,1,127.64057771926558,1
17,3,14,3,163.4011472477889,1
18,3,14,17,130.38053979442944,1
19,3,10,6,172.04709299481416,1
20,3,4,5,177.38361769582042,1
21,3,8,0,219.26951858292125,1
22,3,9,8,234.25216714441714,1
23,3,7,3,212.22870470687667,1
24,3,6,12,211.31348349419133,1
0,4,18,19,180.03173444553317,1
1,4,19,2,198.38559853432116,1
2,4,15,3,199.72992078282857,1
3,4,5,0,151.8430039335858,1
4,4,10,13,137.83955380909237,1
5,4,8,1,224.35356571644985,1
6,4,1,0,145.3788274779577,1
7,4,0,18,206.3804583940202,1
8,4,2,18,154.4741024128121,1
9,4,19,8,155.27342629525432,1
10,4,3,6,173.55763228758042,1
11,4,12,11,123.77168848509586,1
12,4,2,8,110.89629653268169,1
13,4,10,13,117.56601813311686,1
14,4,6,7,155.0530305372822,1
15,4,3,4,112.25614004626239,1
16,4,13,3,191.1816714684224,1
17,4,17,9,155.31920108466625,1
18,4,12,17,167.6235039338103,1
19,4,10,1,198.2444078157406,1
20,4,2,1,175.6135953770446,1
21,4,2,8,175.3652493859649,1
22,4,11,10,161.68466316722305,1
23,4,9,15,154.42842011380668,1
24,4,19,13,151.185387997956,1
0,5,11,2,134.76742750894206,1
1,5,7,2,222.8244408432539,1
2,5,9,10,162.61138780405474,1
3,5,3,18,141.83021033686447,1
4,5,11,8,183.6399010028237,1
5,5,18,1,111.83575022332917,1
6,5,17,5,103.26782216668886,1
7,5,15,14,176.0592880383151,1
8,5,2,7,223.2299916565171,1
9,5,6,2,146.1152346950666,1
10,5,16,2,119.96714874603957,1
11,5,13,6,179.98151281015646,1
12,5,2,19,161.3731065516023,1
13,5,16,2,213.65883669773083,1
14,5,17,0,158.2224105151438,1
15,5,2,19,100.50948164088499,1
16,5,12,11,148.3633314762032,1
17,5,13,12,110.75515453984971,1
18,5,11,17,229.64506358418183,1
19,5,7,5,213.04806521554937,1
20,5,11,4,106.81409543397974,1
21,5,16,11,129.27692458724553,1
22,5,2,8,181.43378426920447,1
23,5,14,2,107.5790035447659,1
24,5,11,18,187.60809447453823,1
