LinkID,src,dst,cap
0,0,15,1573
1,15,0,1492
2,1,11,1855
3,11,1,1101
4,1,6,1040
5,6,1,1744
6,2,11,1848
7,11,2,1088
8,2,15,1517
9,15,2,1429
10,3,15,1104
11,15,3,1418
12,4,11,1254
13,11,4,1677
14,4,5,1658
15,5,4,1104
16,7,10,1193
17,10,7,1021
18,8,10,1548
19,10,8,1741
20,9,12,1711
21,12,9,1920
22,9,13,1840
23,13,9,1064
24,10,11,1935
25,11,10,1406
26,10,13,1522
27,13,10,1833
28,11,17,1860
29,17,11,1187
30,11,18,1114
31,18,11,1731
32,11,19,1682
33,19,11,1885
34,11,20,1080
35,20,11,1299
36,11,21,1667
37,21,11,1480
38,11,23,1036
39,23,11,1609
40,14,23,1237
41,23,14,1218
42,16,17,1568
43,17,16,1147
44,21,22,1366
45,22,21,1091
