flowID,coflowID,src,dst,bandwidth,weight
0,0,9,1,140.6120040604952,1
1,0,1,2,135.7973992354073,1
2,0,2,3,189.12589925481637,1
3,0,13,2,192.28051672339137,1
4,0,7,11,192.26647418369356,1
5,0,10,8,223.2516216004492,1
6,0,7,0,187.2087314199262,1
7,0,10,2,180.78055057557356,1
8,0,7,13,113.96902403734909,1
9,0,11,17,162.32222054624853,1
10,0,7,0,142.90193888220068,1
11,0,16,8,165.45375495706355,1
12,0,2,16,170.49249194748307,1
13,0,13,15,200.97543270919004,1
14,0,5,15,101.67389233632993,1
15,0,8,16,110.66087046252034,1
16,0,12,1,149.7605494354757,1
17,0,17,0,157.21170431176475,1
18,0,6,10,121.0909905632479,1
19,0,8,2,169.6828633561122,1
20,0,10,17,174.37830238529796,1
21,0,4,6,106.72897053874367,1
22,0,2,15,165.1951900793915,1
23,0,10,11,223.6258646577783,1
24,0,10,7,129.78985383697957,1
0,1,2,13,105.88527471983477,1
1,1,8,0,219.46965534764036,1
2,1,9,17,189.14775114710642,1
3,1,5,1,147.65374313750115,1
4,1,0,9,159.26252048051722,1
5,1,8,4,250.2621163269178,1
6,1,16,5,173.48481447600642,1
7,1,16,7,102.72783343680733,1
8,1,9,6,148.94454023268617,1
9,1,1,10,165.91183587430538,1
10,1,4,5,133.4800444291451,1
11,1,1,3,141.85786093472564,1
12,1,14,2,174.67811762318604,1
13,1,12,3,136.9556797629063,1
14,1,3,4,118.45894717563785,1
15,1,2,17,140.19126544440775,1
16,1,7,9,146.98789671341015,1
17,1,11,1,212.78765153617042,1
18,1,15,6,219.61072980167114,1
19,1,12,5,185.8190933921597,1
20,1,8,4,160.99167899676948,1
21,1,5,16,166.9726075082321,1
22,1,13,3,175.3140978356053,1
23,1,3,17,108.52549275837474,1
24,1,1,8,146.58376352209007,1
0,2,15,5,185.5197808797659,1
1,2,12,14,207.50541424695894,1
2,2,4,14,200.9486619166907,1
3,2,0,6,141.91252496286205,1
4,2,10,0,197.42122691225197,1
5,2,8,17,151.4485300962183,1
6,2,15,5,141.95194875102078,1
7,2,12,9,197.09780135366745,1
8,2,11,4,137.30239909215254,1
9,2,14,3,139.91627600795763,1
10,2,15,0,128.03261973906862,1
11,2,0,12,120.56591952688547,1
12,2,12,11,204.45480996105204,1
13,2,13,7,101.53876584444646,1
14,2,5,1,152.53599609822766,1
15,2,6,17,228.817609999683,1
16,2,12,15,144.0261470086118,1
17,2,11,16,154.97145589245093,1
18,2,4,2,126.89912972580105,1
19,2,10,16,189.02755700509354,1
20,2,7,2,160.42658261840367,1
21,2,8,14,183.1028249924579,1
22,2,1,2,162.00700041538812,1
23,2,3,1,179.19376705853216,1
24,2,6,2,179.86368594930104,1
0,3,1,4,113.5527477127426,1
1,3,10,14,159.05069659776228,1
2,3,16,12,120.10201357267151,1
3,3,16,8,219.86107492449335,1
4,3,6,0,196.63349227854604,1
5,3,16,0,151.63755243143407,1
6,3,3,12,191.77061937356473,1
7,3,12,11,208.23496352252522,1
8,3,0,2,133.52380553957246,1
9,3,16,7,153.7285905566729,1
10,3,0,3,123.7495003022437,1
11,3,15,9,138.57029895069684,1
12,3,8,5,189.39745340522506,1
13,3,12,8,121.86115728240901,1
14,3,3,6,138.0601570344843,1
15,3,3,14,205.8582345502441,1
16,3,6,1,142.61355436602852,1
17,3,10,11,206.0720233548211,1
18,3,11,8,147.40185847823383,1
19,3,3,16,147.75022456434084,1
20,3,2,7,220.12480459819608,1
21,3,0,8,215.94473785367444,1
22,3,17,10,182.33509354054155,1
23,3,0,7,156.79421044639258,1
24,3,13,0,113.12515094229228,1
0,4,11,0,128.88363243343326,1
1,4,0,8,122.55467489436032,1
2,4,2,17,203.45309849175337,1
3,4,13,17,193.91274936151171,1
4,4,7,0,141.70438086999891,1
5,4,0,10,158.4719857465828,1
6,4,6,0,165.17629433835708,1
7,4,0,1,128.71905424277242,1
8,4,15,8,221.80056845205928,1
9,4,14,10,161.6740644110606,1
10,4,17,2,109.29626410426648,1
11,4,7,13,109.7771074907657,1
12,4,12,14,134.48089667564827,1
13,4,6,5,122.68080183645861,1
14,4,2,0,209.5452706007597,1
15,4,6,5,190.0479284822901,1
16,4,0,12,222.45847505804772,1
17,4,5,4,204.89370341349024,1
18,4,1,8,167.43770850964017,1
19,4,10,16,201.2124929297667,1
20,4,11,7,124.28341023391296,1
21,4,13,11,132.15635990654278,1
22,4,10,17,113.58561309861585,1
23,4,16,13,222.02061265330042,1
24,4,0,9,163.56860425119945,1
0,5,11,2,108.99407361096962,1
1,5,15,10,209.63136987844564,1
2,5,15,6,193.3848284770631,1
3,5,10,14,141.71580318365469,1
4,5,12,5,156.28851276815053,1
5,5,0,9,167.44808571847864,1
6,5,8,17,167.2102803336992,1
7,5,12,4,123.21731438811858,1
8,5,7,11,157.38329377984874,1
9,5,17,12,158.01592772152847,1
10,5,15,13,142.5303571352626,1
11,5,17,8,167.04671075379525,1
12,5,15,11,234.1456492902195,1
13,5,11,3,143.47715441296555,1
14,5,14,11,139.84782317751538,1
15,5,11,13,188.4930142609182,1
16,5,14,13,206.58682810506912,1
17,5,7,1,108.08653494381295,1
18,5,16,6,215.6499578057137,1
19,5,2,8,118.72546007590631,1
20,5,9,6,198.63225282544173,1
21,5,15,2,207.09303982628245,1
22,5,14,13,200.7776050652918,1
23,5,8,10,151.12644026324213,1
24,5,10,3,116.3254138855996,1
