flowID,coflowID,src,dst,bandwidth,weight
0,0,6,40,185.63725230805613,1
1,0,20,21,100.23411116439924,1
2,0,34,39,204.82899459133085,1
3,0,38,28,138.65582750875825,1
4,0,32,8,187.33634462489889,1
5,0,35,11,105.77698644570867,1
6,0,12,34,197.76683438002317,1
7,0,7,36,192.85103579539754,1
8,0,39,9,110.67891140103092,1
9,0,2,26,117.2316671556201,1
10,0,2,32,211.4293303404584,1
11,0,11,20,234.78031002530844,1
12,0,27,20,100.56580034528784,1
13,0,20,17,106.04542927648242,1
14,0,37,20,164.1939679980772,1
15,0,1,2,218.27198057852576,1
16,0,5,2,139.70680455948255,1
17,0,15,5,137.90727253190653,1
18,0,34,18,121.4686567036471,1
19,0,17,19,146.88819924917573,1
20,0,34,27,196.4290698359939,1
21,0,4,27,201.98472919410065,1
22,0,22,36,218.14140297522601,1
23,0,25,6,108.17517581178993,1
24,0,4,12,118.57354855565683,1
0,1,5,13,183.84463275839119,1
1,1,37,19,106.8536168403606,1
2,1,8,11,123.07885094479249,1
3,1,42,4,140.2580553089955,1
4,1,10,18,185.72636121140926,1
5,1,24,37,131.19146665586544,1
6,1,37,9,127.92324219191283,1
7,1,33,10,100.01842770670139,1
8,1,38,20,106.02405549429399,1
9,1,29,21,169.97191656209105,1
10,1,25,4,207.39267973039793,1
11,1,15,12,216.2794200496158,1
12,1,26,21,135.0253909116629,1
13,1,26,36,214.2483622748411,1
14,1,28,16,172.48073795849774,1
15,1,29,19,198.38110752096986,1
16,1,1,10,179.1759031192043,1
17,1,8,2,194.07786360117666,1
18,1,21,30,217.4115949153556,1
19,1,34,31,107.87601987832221,1
20,1,11,16,181.06798377731675,1
21,1,6,5,203.2675796496735,1
22,1,26,30,136.39765652148964,1
23,1,4,27,236.26409698482075,1
24,1,34,3,171.12323020697673,1
0,2,31,16,151.8640527220342,1
1,2,8,12,135.72147401452676,1
2,2,22,10,129.2990806866486,1
3,2,12,25,158.72631389290643,1
4,2,29,20,110.49033732426898,1
5,2,20,6,224.4196311378829,1
6,2,21,11,208.08617477560955,1
7,2,28,22,135.0505430694235,1
8,2,36,3,115.12467104198541,1
9,2,5,41,211.6873837807953,1
10,2,11,7,140.6776122477866,1
11,2,2,35,157.7756640663308,1
12,2,4,15,172.90436099270136,1
13,2,40,17,178.701205916988,1
14,2,34,35,135.01311283097544,1
15,2,4,24,118.75010967177306,1
16,2,37,12,186.75146984962078,1
17,2,30,21,199.53035803272047,1
18,2,23,29,114.08899574858765,1
19,2,27,20,183.07769868848786,1
20,2,37,15,200.1601181771378,1
21,2,4,0,152.20897290017197,1
22,2,37,32,127.43038153282896,1
23,2,21,42,199.86934001074633,1
24,2,27,30,154.44583804462223,1
0,3,37,15,170.4154275205978,1
1,3,36,4,201.26198906176563,1
2,3,1,24,179.99754323817263,1
3,3,7,23,164.25508501125472,1
4,3,18,39,170.82133905977844,1
5,3,10,11,120.54855645121341,1
6,3,37,16,187.68127913143906,1
7,3,0,25,207.09016172316024,1
8,3,17,22,130.64013510122774,1
9,3,18,12,171.1603083349337,1
10,3,6,16,160.83796048485965,1
11,3,21,5,169.98616221501422,1
12,3,10,13,102.3648388366887,1
13,3,11,1,138.48304429187567,1
14,3,0,37,199.80455170136497,1
15,3,2,42,161.58447017049653,1
16,3,24,13,213.20172801199897,1
17,3,5,26,196.82195174568642,1
18,3,33,14,176.62094808261696,1
19,3,33,12,203.8879993033778,1
20,3,35,18,211.75966400299166,1
21,3,18,14,198.0770209501815,1
22,3,30,16,140.14998748465644,1
23,3,40,11,177.74566140159826,1
24,3,42,13,193.58361779487325,1
0,4,25,37,153.29210408536812,1
1,4,5,42,111.57124961469182,1
2,4,6,40,107.1953953361275,1
3,4,25,27,128.94905137080022,1
4,4,2,6,128.04238633016695,1
5,4,42,17,135.22258896234976,1
6,4,23,21,166.6096166594727,1
7,4,5,21,102.23740366562375,1
8,4,3,31,194.11378977426017,1
9,4,38,13,113.29958144762392,1
10,4,24,38,157.35713356446485,1
11,4,19,42,127.31996710248278,1
12,4,10,34,141.8765741211263,1
13,4,41,25,114.73197947440008,1
14,4,14,11,142.73921022528452,1
15,4,21,20,121.70577412488232,1
16,4,5,24,116.72801634123168,1
17,4,42,23,172.46731317887446,1
18,4,15,28,159.12541756379366,1
19,4,8,0,152.25850287616032,1
20,4,23,1,159.73509405338947,1
21,4,18,15,126.69684849608906,1
22,4,41,18,179.95559958727563,1
23,4,5,3,112.0203462804649,1
24,4,41,24,118.65134600936096,1
0,5,25,17,208.60635428146895,1
1,5,36,12,253.8421365814308,1
2,5,12,24,124.08927958668659,1
3,5,33,6,118.87073113799828,1
4,5,27,21,170.95859004382228,1
5,5,13,5,110.17460080603311,1
6,5,23,28,174.13121073966286,1
7,5,35,16,145.7093999470874,1
8,5,25,3,155.18407457129436,1
9,5,17,29,138.16655560426722,1
10,5,7,39,155.71825304742984,1
11,5,1,17,114.40104499762009,1
12,5,4,6,195.66844772272387,1
13,5,34,17,234.59495460228334,1
14,5,14,25,116.15669791600081,1
15,5,11,5,152.21566416542373,1
16,5,32,18,103.38233715745804,1
17,5,20,12,202.03439322741687,1
18,5,22,33,108.76059071756534,1
19,5,17,32,159.70549977682657,1
20,5,1,23,131.91568762474728,1
21,5,41,42,128.55959151846352,1
22,5,5,3,116.06853315579207,1
23,5,28,30,132.81544939919172,1
24,5,15,14,103.5925585561469,1
