LinkID,src,dst,cap
0,0,16,1338
1,16,0,1954
2,0,3,1238
3,3,0,1556
4,0,4,1975
5,4,0,1787
6,1,12,1797
7,12,1,1642
8,1,6,1110
9,6,1,1383
10,2,34,1251
11,34,2,1576
12,2,3,1543
13,3,2,1817
14,4,5,1021
15,5,4,1066
16,5,8,1540
17,8,5,1845
18,5,7,1009
19,7,5,1223
20,6,23,1855
21,23,6,1666
22,6,13,1095
23,13,6,1536
24,6,7,1083
25,7,6,1467
26,8,28,1556
27,28,8,1101
28,9,28,1005
29,28,9,1448
30,10,37,1624
31,37,10,1098
32,11,37,1457
33,37,11,1700
34,12,42,1518
35,42,12,1676
36,13,14,1471
37,14,13,1497
38,14,15,1805
39,15,14,1422
40,15,38,1021
41,38,15,1475
42,16,17,1273
43,17,16,1737
44,16,35,1407
45,35,16,1466
46,18,36,1283
47,36,18,1720
48,19,36,1119
49,36,19,1493
50,20,38,1472
51,38,20,1129
52,21,38,1804
53,38,21,1506
54,22,38,1023
55,38,22,1656
56,23,24,1692
57,24,23,1953
58,24,30,1081
59,30,24,1758
60,25,32,1250
61,32,25,1806
62,25,26,1503
63,26,25,1776
64,27,29,1831
65,29,27,1478
66,27,31,1060
67,31,27,1181
68,28,29,1223
69,29,28,1874
70,30,31,1091
71,31,30,1183
72,31,32,1652
73,32,31,1072
74,33,34,1876
75,34,33,1703
76,33,39,1683
77,39,33,1819
78,36,38,1472
79,38,36,1565
80,37,38,1848
81,38,37,1564
82,38,39,1538
83,39,38,1752
84,39,42,1528
85,42,39,1191
86,40,41,1167
87,41,40,1452
88,41,42,1674
89,42,41,1284
