flowID,coflowID,src,dst,bandwidth,weight
0,0,24,9,192.4307443144104,1
1,0,30,64,207.7419010729431,1
2,0,62,36,137.98162013398456,1
3,0,39,69,175.84143034035293,1
4,0,26,60,184.43593811703815,1
5,0,62,14,107.16257530902301,1
6,0,7,57,197.96535559632136,1
7,0,60,37,188.99707463729646,1
8,0,21,69,196.48900450761124,1
9,0,39,17,124.68207011553307,1
10,0,20,46,216.60216932623064,1
11,0,15,71,126.32609824324392,1
12,0,60,3,196.61611125883763,1
13,0,5,46,138.9656205113919,1
14,0,24,27,118.02837207039256,1
15,0,69,60,207.17128237607665,1
16,0,46,41,137.75371327452066,1
17,0,41,62,189.09861869956916,1
18,0,15,18,143.78996339286067,1
19,0,12,10,118.60445730527647,1
20,0,50,69,199.23222697954176,1
21,0,66,13,152.0258081543637,1
22,0,61,69,193.68984516478304,1
23,0,42,38,130.59296484633245,1
24,0,49,33,109.53182710156952,1
0,1,29,18,151.87332126358896,1
1,1,33,52,187.5204799111557,1
2,1,47,18,187.8092703309241,1
3,1,13,28,182.83103387580655,1
4,1,49,63,141.71330454820674,1
5,1,41,58,214.28616247766854,1
6,1,38,60,117.75808986500115,1
7,1,56,22,105.82253646525446,1
8,1,11,35,226.1189196643451,1
9,1,3,14,101.30719793041493,1
10,1,57,70,103.46071626157179,1
11,1,19,33,212.32185149360419,1
12,1,0,23,207.2512984459114,1
13,1,51,47,145.83865337295194,1
14,1,22,53,170.84076812882103,1
15,1,42,6,181.032732647917,1
16,1,14,5,174.67247373771664,1
17,1,17,9,202.90214000953404,1
18,1,0,28,220.95832852750945,1
19,1,61,21,206.93918559285964,1
20,1,30,1,152.81159142592566,1
21,1,29,44,129.77216057146063,1
22,1,19,11,122.0991714274513,1
23,1,50,1,188.8546652855087,1
24,1,19,70,137.74321955179903,1
0,2,4,27,221.91088997216593,1
1,2,20,30,188.97153721717868,1
2,2,59,13,113.27342560897071,1
3,2,37,11,166.29149975539326,1
4,2,56,16,179.06096910750955,1
5,2,11,47,108.07597618271951,1
6,2,32,50,127.06988714742876,1
7,2,44,52,186.10820685704294,1
8,2,21,40,227.04234822117863,1
9,2,30,1,159.8279079626998,1
10,2,47,67,167.2245917641784,1
11,2,19,42,171.70160728206778,1
12,2,3,2,116.56873678505465,1
13,2,37,27,209.04425920904404,1
14,2,35,72,168.54411094440573,1
15,2,68,21,155.71678194545626,1
16,2,68,33,138.54895916800547,1
17,2,52,17,194.5067716821305,1
18,2,63,10,152.07347231709028,1
19,2,14,31,201.97449866219395,1
20,2,14,50,205.73151956703404,1
21,2,62,38,183.8751351818365,1
22,2,50,1,130.0290659268904,1
23,2,4,60,132.07700938505485,1
24,2,41,52,208.37421034087237,1
0,3,17,70,239.75575638374335,1
1,3,15,61,124.33985927186683,1
2,3,29,64,157.85156884391688,1
3,3,58,50,110.32731196273936,1
4,3,8,13,225.5711065351146,1
5,3,11,56,227.82682391039097,1
6,3,49,6,172.95706027803317,1
7,3,70,39,190.91973741267108,1
8,3,28,62,207.73989667591383,1
9,3,59,69,107.5799907372517,1
10,3,15,46,117.74347195326958,1
11,3,37,34,154.7519785747167,1
12,3,32,24,117.30460603494583,1
13,3,24,66,223.37302493025567,1
14,3,56,66,155.4403673494077,1
15,3,14,30,110.86280388922094,1
16,3,37,43,203.82131475381888,1
17,3,14,9,162.87346270975908,1
18,3,55,41,157.82758013615,1
19,3,46,24,154.7085908913266,1
20,3,68,2,125.96188682441185,1
21,3,22,31,168.79223615803136,1
22,3,28,66,105.05971040944586,1
23,3,54,18,105.15553373963212,1
24,3,27,2,191.4119394866574,1
0,4,8,44,197.63179029635774,1
1,4,6,46,229.05975233607907,1
2,4,54,19,148.79157077309952,1
3,4,62,54,153.24837653556023,1
4,4,16,58,232.38755835781294,1
5,4,9,48,123.97436707094391,1
6,4,15,5,202.60428204559796,1
7,4,15,35,117.64694648112159,1
8,4,68,65,118.39978910703907,1
9,4,50,26,118.97724874043328,1
10,4,20,9,101.9611313602146,1
11,4,61,43,170.3438232582148,1
12,4,43,1,105.43028945522897,1
13,4,70,9,191.64170533702585,1
14,4,42,38,111.793668753681,1
15,4,61,63,162.0315800910084,1
16,4,70,35,183.76530250930904,1
17,4,38,39,200.8341780342866,1
18,4,40,53,152.9129983996454,1
19,4,28,37,205.79618502556423,1
20,4,49,28,178.37483529345852,1
21,4,41,52,196.00836471523672,1
22,4,47,53,117.83084659763765,1
23,4,37,29,167.28154624083567,1
24,4,28,45,167.73056792201146,1
0,5,71,22,172.1354004460963,1
1,5,69,40,158.2140878544109,1
2,5,38,24,122.75291732069674,1
3,5,63,29,104.77622594932183,1
4,5,0,69,197.25031976877193,1
5,5,18,4,207.79865064057685,1
6,5,3,10,164.80445269085988,1
7,5,41,6,200.3373054609071,1
8,5,60,58,106.78561244014847,1
9,5,30,8,101.3277194149755,1
10,5,13,7,150.2769094185321,1
11,5,25,33,193.46368359169048,1
12,5,2,28,152.9746197707047,1
13,5,64,41,201.25123320940304,1
14,5,2,31,155.77313963190267,1
15,5,53,3,124.16623152046313,1
16,5,54,25,190.98202182090924,1
17,5,63,8,227.86026823387238,1
18,5,56,40,204.83233844537176,1
19,5,35,48,149.20226355537494,1
20,5,51,69,101.6337419849068,1
21,5,1,12,159.6550266470719,1
22,5,52,55,173.95099728600132,1
23,5,67,54,216.92917150626283,1
24,5,57,3,204.05982117729957,1
