LinkID,src,dst,cap
0,0,2,1624
1,2,0,1472
2,1,59,1814
3,59,1,1474
4,2,59,1595
5,59,2,1637
6,3,59,1724
7,59,3,1723
8,3,6,1757
9,6,3,1006
10,4,6,1722
11,6,4,1929
12,5,6,1525
13,6,5,1313
14,6,7,1643
15,7,6,1237
16,8,14,1078
17,14,8,1610
18,9,13,1322
19,13,9,1784
20,10,11,1463
21,11,10,1979
22,11,59,1153
23,59,11,1460
24,12,13,1102
25,13,12,1052
26,13,14,1653
27,14,13,1170
28,13,29,1324
29,29,13,1304
30,13,30,1771
31,30,13,1749
32,13,31,1260
33,31,13,1063
34,14,49,1547
35,49,14,1803
36,15,49,1624
37,49,15,1404
38,16,17,1392
39,17,16,1779
40,17,49,1423
41,49,17,1571
42,18,49,1562
43,49,18,1381
44,19,49,1580
45,49,19,1478
46,20,49,1501
47,49,20,1970
48,21,24,1937
49,24,21,1138
50,21,49,1016
51,49,21,1370
52,21,22,1365
53,22,21,1685
54,23,49,1914
55,49,23,1108
56,25,49,1175
57,49,25,1528
58,26,49,1830
59,49,26,1579
60,27,54,1321
61,54,27,1568
62,28,49,1753
63,49,28,1206
64,32,35,1613
65,35,32,1598
66,33,49,1397
67,49,33,1672
68,33,46,1661
69,46,33,1641
70,34,35,1581
71,35,34,1088
72,35,38,1548
73,38,35,1553
74,35,39,1840
75,39,35,1453
76,35,51,1543
77,51,35,1393
78,35,52,1794
79,52,35,1050
80,35,53,1984
81,53,35,1977
82,35,55,1360
83,55,35,1848
84,35,59,1004
85,59,35,1586
86,36,59,1030
87,59,36,1765
88,40,41,1762
89,41,40,1788
90,40,49,1536
91,49,40,1555
92,42,49,1542
93,49,42,1018
94,42,43,1470
95,43,42,1842
96,42,60,1612
97,60,42,1888
98,44,49,1577
99,49,44,1819
100,45,49,1015
101,49,45,1085
102,47,59,1859
103,59,47,1218
104,48,49,1064
105,49,48,1886
106,49,50,1534
107,50,49,1900
108,49,56,1411
109,56,49,1821
110,49,57,1209
111,57,49,1088
112,49,59,1940
113,59,49,1476
114,49,61,1059
115,61,49,1407
116,54,59,1569
117,59,54,1750
118,58,59,1991
119,59,58,1924
120,59,64,1849
121,64,59,1481
122,59,70,1684
123,70,59,1891
124,59,65,1741
125,65,59,1591
126,59,72,1828
127,72,59,1464
128,59,67,1898
129,67,59,1293
130,59,68,1621
131,68,59,1659
132,59,71,1805
133,71,59,1917
134,63,72,1533
135,72,63,1390
136,65,66,1339
137,66,65,1659
138,68,69,1957
139,69,68,1763
