flowID,coflowID,src,dst,bandwidth,weight
0,0,22,19,189.7230561238149,1
1,0,9,14,132.9003952652277,1
2,0,21,7,113.78533926645014,1
3,0,6,7,174.0059632608162,1
4,0,18,17,107.01733783411079,1
5,0,15,21,184.90725862489074,1
6,0,10,18,228.51248411781515,1
7,0,3,23,107.68846720116974,1
8,0,16,7,217.38690333113527,1
9,0,23,6,155.03096314177753,1
10,0,16,21,199.29907750321996,1
11,0,23,21,194.6384474259478,1
12,0,11,21,150.23162551258133,1
13,0,20,1,143.38543918401066,1
14,0,22,15,105.9214609258548,1
15,0,4,7,175.17296889740786,1
16,0,10,5,222.70724255746427,1
17,0,1,17,180.81809481101646,1
18,0,19,9,184.08581068196128,1
19,0,15,1,106.158937630367,1
20,0,12,23,118.58023588047928,1
21,0,20,5,205.85172672982858,1
22,0,8,23,163.37993722243624,1
23,0,0,11,156.60053210828622,1
24,0,19,15,131.35402529636016,1
0,1,10,11,141.7846667133388,1
1,1,14,6,209.39993268954706,1
2,1,3,7,108.57982799987745,1
3,1,18,8,179.66437566787232,1
4,1,15,21,163.00938463452087,1
5,1,14,8,143.83486606594388,1
6,1,18,0,201.32643812931508,1
7,1,8,12,200.5930812610199,1
8,1,10,21,174.84428264881586,1
9,1,6,20,134.23868509595314,1
10,1,6,21,149.23485930793817,1
11,1,5,15,135.33292570730538,1
12,1,3,1,181.0719643893691,1
13,1,10,14,230.24812983170628,1
14,1,6,18,222.1398364802135,1
15,1,7,8,144.37315901241632,1
16,1,13,12,146.0829177069793,1
17,1,1,3,173.78243772517072,1
18,1,2,16,170.49765282534707,1
19,1,15,4,148.17205636055908,1
20,1,1,17,154.21210831295767,1
21,1,23,18,146.1819586764563,1
22,1,9,5,201.03289993331754,1
23,1,17,7,141.458592493173,1
24,1,23,12,195.5935343037263,1
0,2,13,1,160.2349197910877,1
1,2,2,3,228.12995985491344,1
2,2,22,17,120.34257328723557,1
3,2,20,19,220.0364488321273,1
4,2,20,14,230.18250164980574,1
5,2,18,2,141.56987274934602,1
6,2,13,21,187.24138836804468,1
7,2,20,16,201.8349326206005,1
8,2,12,16,136.7488809915899,1
9,2,10,14,141.78120013219063,1
10,2,0,13,212.8898591454137,1
11,2,18,6,112.46603069867649,1
12,2,14,0,215.26420544713494,1
13,2,9,16,188.84960969295645,1
14,2,4,16,117.13981794071388,1
15,2,19,1,196.23318365933198,1
16,2,11,3,105.1907372754377,1
17,2,23,6,178.92992537271454,1
18,2,15,12,182.58308792302938,1
19,2,11,23,141.5319645052889,1
20,2,0,8,183.06034312786105,1
21,2,16,17,191.2803910196773,1
22,2,1,19,130.67057807324312,1
23,2,2,16,119.35214315067574,1
24,2,0,7,113.9650826105264,1
0,3,17,18,194.04551257268525,1
1,3,6,13,202.04622837100501,1
2,3,17,16,205.110430547019,1
3,3,11,6,108.14530762036605,1
4,3,6,8,167.94726792940054,1
5,3,9,10,190.62371973749015,1
6,3,23,4,196.93985665921474,1
7,3,4,18,128.1938564837961,1
8,3,23,11,134.56844456600678,1
9,3,23,13,171.81641146949764,1
10,3,21,17,126.44082553077311,1
11,3,9,19,144.70243654978134,1
12,3,5,4,113.47717419635056,1
13,3,0,22,210.28558938899818,1
14,3,10,0,205.10548698241308,1
15,3,14,7,143.92949823852925,1
16,3,8,17,166.7854161903672,1
17,3,20,8,164.64002835499326,1
18,3,14,18,178.168042855206,1
19,3,5,19,159.44717684658767,1
20,3,19,8,154.44797736277425,1
21,3,22,3,131.829745443635,1
22,3,6,9,104.05950932247954,1
23,3,6,9,212.10913635486332,1
24,3,3,4,201.8874307522737,1
0,4,5,8,123.23187511785049,1
1,4,17,12,111.21875949786885,1
2,4,3,15,152.48031781153236,1
3,4,9,15,163.54812950446887,1
4,4,11,7,138.44002391653683,1
5,4,19,17,185.2682209592989,1
6,4,18,9,210.3746808666157,1
7,4,19,15,203.34942593755477,1
8,4,3,1,139.7392530529193,1
9,4,2,6,228.36551901641204,1
10,4,20,23,106.06806236642684,1
11,4,3,17,203.85769764608142,1
12,4,19,16,196.1717222634834,1
13,4,6,22,136.81276850425706,1
14,4,2,3,234.66863707411548,1
15,4,3,4,147.18419586544735,1
16,4,3,20,112.58280141740457,1
17,4,15,8,165.4678749155381,1
18,4,11,13,151.67994977599238,1
19,4,0,4,128.13370679143569,1
20,4,20,8,209.94355591967746,1
21,4,18,16,204.9924873112828,1
22,4,15,5,110.07047079334764,1
23,4,19,14,161.15794329617034,1
24,4,6,19,171.18010791920267,1
0,5,13,23,211.60885717680677,1
1,5,3,4,145.10986908489446,1
2,5,3,2,208.81692288608934,1
3,5,19,10,145.3484695341852,1
4,5,0,15,154.64745287699205,1
5,5,22,21,184.833909094555,1
6,5,9,15,184.17912288925362,1
7,5,3,12,127.98089059387597,1
8,5,4,1,128.73284071609405,1
9,5,4,16,167.86550894883683,1
10,5,17,22,162.19082072597982,1
11,5,16,8,176.16674248818794,1
12,5,2,18,195.46161218083898,1
13,5,4,22,130.8744467071808,1
14,5,5,4,102.50273419822679,1
15,5,11,12,194.0687430471732,1
16,5,11,22,151.21556526722947,1
17,5,3,13,174.4437486428542,1
18,5,18,3,107.5255621085193,1
19,5,13,1,201.31797879083666,1
20,5,9,6,233.33926974652755,1
21,5,13,8,152.44104933852077,1
22,5,21,16,100.4006895374674,1
23,5,12,5,168.12573611310506,1
24,5,1,19,209.22767420706435,1
