LinkID,src,dst,cap
0,0,32,1007
1,32,0,1252
2,0,41,1003
3,41,0,1113
4,1,32,1586
5,32,1,1278
6,1,33,1337
7,33,1,1719
8,2,3,1945
9,3,2,1203
10,2,78,1651
11,78,2,1051
12,3,4,1293
13,4,3,1751
14,4,5,1072
15,5,4,1524
16,5,6,1480
17,6,5,1415
18,6,7,1278
19,7,6,1050
20,7,11,1191
21,11,7,1070
22,8,9,1232
23,9,8,1043
24,8,11,1866
25,11,8,1051
26,9,41,1744
27,41,9,1644
28,10,11,1146
29,11,10,1754
30,10,62,1569
31,62,10,1480
32,12,64,1717
33,64,12,1986
34,12,65,1972
35,65,12,1335
36,13,29,1742
37,29,13,1368
38,13,77,1442
39,77,13,1161
40,14,52,1880
41,52,14,1659
42,14,70,1143
43,70,14,1497
44,15,25,1076
45,25,15,1999
46,15,51,1616
47,51,15,1761
48,16,64,1699
49,64,16,1940
50,16,67,1776
51,67,16,1964
52,17,60,1786
53,60,17,1073
54,17,61,1138
55,61,17,1111
56,18,33,1918
57,33,18,1312
58,18,30,1028
59,30,18,1041
60,19,31,1112
61,31,19,1882
62,20,21,1707
63,21,20,1978
64,20,23,1719
65,23,20,1379
66,21,46,1226
67,46,21,1120
68,22,83,1418
69,83,22,1245
70,22,23,1232
71,23,22,1815
72,24,25,1652
73,25,24,1265
74,24,27,1170
75,27,24,1540
76,24,28,1570
77,28,24,1883
78,26,79,1071
79,79,26,1711
80,26,47,1516
81,47,26,1378
82,27,47,1032
83,47,27,1669
84,28,51,1881
85,51,28,1767
86,29,51,1437
87,51,29,1564
88,30,31,1066
89,31,30,1155
90,33,34,1411
91,34,33,1356
92,34,55,1662
93,55,34,1922
94,35,82,1985
95,82,35,1309
96,35,83,1465
97,83,35,1783
98,36,82,1729
99,82,36,1510
100,36,91,1389
101,91,36,1167
102,36,55,1729
103,55,36,1839
104,37,91,1647
105,91,37,1626
106,37,39,1680
107,39,37,1075
108,38,90,1940
109,90,38,1237
110,38,39,1667
111,39,38,1456
112,40,46,1086
113,46,40,1851
114,40,79,1578
115,79,40,1993
116,42,49,1120
117,49,42,1656
118,42,43,1814
119,43,42,1896
120,43,74,1177
121,74,43,1690
122,44,75,1112
123,75,44,1923
124,44,76,1647
125,76,44,1649
126,45,50,1453
127,50,45,1479
128,45,76,1818
129,76,45,1930
130,45,85,1679
131,85,45,1571
132,46,73,1320
133,73,46,1608
134,46,78,1655
135,78,46,1128
136,47,48,1533
137,48,47,1015
138,48,80,1876
139,80,48,1394
140,49,81,1013
141,81,49,1461
142,50,77,1742
143,77,50,1444
144,52,53,1547
145,53,52,1468
146,53,60,1964
147,60,53,1771
148,54,72,1860
149,72,54,1952
150,54,57,1434
151,57,54,1882
152,56,57,1884
153,57,56,1010
154,56,59,1530
155,59,56,1649
156,58,59,1867
157,59,58,1957
158,58,61,1740
159,61,58,1418
160,62,65,1215
161,65,62,1632
162,63,86,1325
163,86,63,1518
164,63,87,1251
165,87,63,1527
166,66,67,1299
167,67,66,1155
168,66,69,1316
169,69,66,1065
170,68,69,1021
171,69,68,1445
172,68,71,1192
173,71,68,1011
174,70,71,1594
175,71,70,1536
176,72,73,1268
177,73,72,1323
178,74,75,1589
179,75,74,1832
180,80,81,1858
181,81,80,1362
182,84,85,1933
183,85,84,1445
184,84,86,1847
185,86,84,1473
186,87,88,1918
187,88,87,1919
188,88,89,1482
189,89,88,1464
190,89,90,1393
191,90,89,1164
