flowID,coflowID,src,dst,bandwidth,weight
0,0,9,7,178.34258869658865,1
1,0,18,4,186.39339938370057,1
2,0,9,0,211.19414837949944,1
3,0,2,17,141.13482179879534,1
4,0,7,11,146.34376614718792,1
5,0,16,21,121.326964734413,1
6,0,7,19,190.13408356506505,1
7,0,9,12,121.92351434829469,1
8,0,20,3,167.80985101406452,1
9,0,15,16,134.37051168338002,1
10,0,3,13,137.74997097338854,1
11,0,20,0,226.3620659180383,1
12,0,18,20,112.87786840181626,1
13,0,11,22,183.35317851914635,1
14,0,6,19,138.54585914294773,1
15,0,4,17,164.2402386809527,1
16,0,11,0,111.24966859378681,1
17,0,22,2,228.90493617079937,1
18,0,0,13,151.800966395062,1
19,0,2,21,111.2708390848723,1
20,0,21,18,119.09622663322588,1
21,0,12,8,137.20808969119886,1
22,0,22,18,122.06828849431737,1
23,0,23,11,189.93260045087692,1
24,0,13,17,146.67983045132237,1
0,1,17,10,156.64860906777926,1
1,1,0,13,164.18067249423365,1
2,1,21,9,160.72146494851538,1
3,1,19,8,112.42954147520041,1
4,1,18,16,247.05133378517584,1
5,1,14,16,152.99611275632975,1
6,1,23,11,207.2271341726792,1
7,1,18,19,212.08558961605354,1
8,1,7,1,226.20358921912455,1
9,1,19,14,160.32218160223272,1
10,1,14,2,208.02490859030593,1
11,1,8,7,153.01665238745855,1
12,1,9,1,155.385743900626,1
13,1,3,1,100.55559908217899,1
14,1,19,21,202.61443701751114,1
15,1,2,13,204.17377048897964,1
16,1,20,12,137.6870071410075,1
17,1,9,6,182.88497529747553,1
18,1,13,18,175.60946278156482,1
19,1,23,17,132.74468162295742,1
20,1,8,3,200.66077614480804,1
21,1,21,20,212.0803128865801,1
22,1,3,15,183.577018164064,1
23,1,8,14,145.2924518575199,1
24,1,1,21,110.8230091519998,1
0,2,9,22,214.74030183863846,1
1,2,5,17,219.09691536910373,1
2,2,21,13,146.4192485701574,1
3,2,19,7,222.31614118459686,1
4,2,16,23,210.4144948247218,1
5,2,7,20,177.96691158505615,1
6,2,5,0,217.37872290382347,1
7,2,3,16,113.87027555716563,1
8,2,4,17,133.75134647391405,1
9,2,9,4,122.0887225394948,1
10,2,7,13,109.56085989259248,1
11,2,3,11,171.88352353499835,1
12,2,19,22,211.22370220030484,1
13,2,21,0,117.9295277577676,1
14,2,2,5,118.71262931870922,1
15,2,22,6,137.58276180416135,1
16,2,22,18,190.12889444818398,1
17,2,16,6,164.44563677959405,1
18,2,8,23,175.64910529896912,1
19,2,23,8,191.3409109859387,1
20,2,13,11,147.1216803338344,1
21,2,12,2,215.52174634253558,1
22,2,9,16,199.04758807847398,1
23,2,6,21,127.31920775969658,1
24,2,15,3,226.10010206846874,1
0,3,2,16,209.20633109401524,1
1,3,10,13,111.04369268771065,1
2,3,15,1,202.70810455119891,1
3,3,19,1,173.3604156955161,1
4,3,7,17,190.03164670083092,1
5,3,21,14,181.9563731181828,1
6,3,8,0,204.21426483974273,1
7,3,8,6,199.68033727262502,1
8,3,15,3,181.9154046854675,1
9,3,2,13,110.75867575291213,1
10,3,5,14,227.3459394790677,1
11,3,17,14,122.46791605348955,1
12,3,6,1,168.8233284142866,1
13,3,17,16,172.9727422930407,1
14,3,4,11,105.60526637578715,1
15,3,13,10,122.53746527610309,1
16,3,4,22,212.20291546974974,1
17,3,12,20,145.45910386616103,1
18,3,16,12,194.4787526934373,1
19,3,22,19,250.48533981349564,1
20,3,6,18,114.41043993077625,1
21,3,19,23,176.66659046480137,1
22,3,10,8,141.45793699724288,1
23,3,4,15,196.06087572540494,1
24,3,12,6,230.92276221103626,1
0,4,21,7,226.81320495570375,1
1,4,12,23,167.64982096613835,1
2,4,15,20,142.52191838035213,1
3,4,11,0,191.70010972305977,1
4,4,21,2,217.0767450094724,1
5,4,22,4,156.94264321300375,1
6,4,10,22,125.35770522706355,1
7,4,13,15,121.12151692482885,1
8,4,5,12,113.53859852132074,1
9,4,8,23,185.96959447721798,1
10,4,13,11,187.18442642176726,1
11,4,18,19,206.77180857543118,1
12,4,23,6,203.48916770067308,1
13,4,21,16,142.57127987383075,1
14,4,8,7,171.81034197419038,1
15,4,12,20,105.30454569069998,1
16,4,3,2,183.07119800386164,1
17,4,11,7,137.6851167463596,1
18,4,4,23,228.19623570723152,1
19,4,20,22,230.66738271090455,1
20,4,14,6,146.1126211247851,1
21,4,5,3,155.11529221251828,1
22,4,19,18,167.5700764781026,1
23,4,20,9,110.56435224010885,1
24,4,7,0,108.86326078010548,1
0,5,10,8,179.92379173218438,1
1,5,15,20,162.14367074765084,1
2,5,16,22,173.345686406899,1
3,5,15,16,187.00429482372556,1
4,5,0,17,186.07177439373888,1
5,5,0,1,217.19941840485626,1
6,5,15,2,103.81272961268283,1
7,5,14,13,185.19419630748587,1
8,5,10,19,208.38123923332105,1
9,5,15,0,180.35308413472123,1
10,5,15,17,133.56211882413942,1
11,5,0,15,105.6334476700803,1
12,5,0,2,218.961806097818,1
13,5,8,6,108.78222311578597,1
14,5,1,7,100.53091943224352,1
15,5,9,7,120.92133969482958,1
16,5,10,22,124.15279576988794,1
17,5,7,4,132.94208447271285,1
18,5,8,7,194.45827925368715,1
19,5,15,3,123.32710620434347,1
20,5,21,8,103.93743999123777,1
21,5,19,18,193.43687821551893,1
22,5,6,19,220.6116222003903,1
23,5,10,12,210.517401401751,1
24,5,21,8,171.559033757814,1
