LinkID,src,dst,cap
0,0,1,1042
1,1,0,1637
2,0,19,1271
3,19,0,1634
4,1,18,1223
5,18,1,1835
6,2,19,1792
7,19,2,1143
8,2,12,1472
9,12,2,1098
10,3,15,1647
11,15,3,1259
12,3,22,1290
13,22,3,1297
14,3,23,1640
15,23,3,1296
16,4,18,1857
17,18,4,1182
18,4,7,1741
19,7,4,1622
20,4,23,1471
21,23,4,1394
22,5,8,1490
23,8,5,1005
24,5,9,1305
25,9,5,1085
26,5,18,1640
27,18,5,1912
28,6,16,1576
29,16,6,1179
30,6,17,1582
31,17,6,1923
32,7,18,1874
33,18,7,1760
34,8,17,1899
35,17,8,1436
36,8,9,1726
37,9,8,1047
38,10,21,1651
39,21,10,1755
40,11,12,1127
41,12,11,1207
42,11,20,1913
43,20,11,1814
44,13,20,1964
45,20,13,1301
46,14,20,1887
47,20,14,1085
48,14,22,1118
49,22,14,1003
50,15,19,1780
51,19,15,1002
52,16,19,1439
53,19,16,1426
54,17,18,1595
55,18,17,1663
56,17,19,1264
57,19,17,1535
58,19,21,1706
59,21,19,1525
60,19,23,1645
61,23,19,1647
62,20,22,1327
63,22,20,1320
64,20,21,1424
65,21,20,1409
66,22,23,1434
67,23,22,1030
