LinkID,src,dst,cap
0,0,1,1771
1,1,0,1570
2,0,3,1623
3,3,0,1196
4,0,10,1762
5,10,0,1066
6,0,20,1122
7,20,0,1341
8,0,22,1485
9,22,0,1352
10,0,23,1926
11,23,0,1053
12,1,6,1678
13,6,1,1482
14,2,3,1502
15,3,2,1418
16,2,31,1291
17,31,2,1744
18,3,27,1794
19,27,3,1477
20,4,8,1999
21,8,4,1091
22,4,7,1860
23,7,4,1641
24,5,24,1037
25,24,5,1157
26,5,25,1467
27,25,5,1168
28,5,18,1797
29,18,5,1069
30,6,21,1643
31,21,6,1954
32,6,15,1416
33,15,6,1927
34,7,15,1426
35,15,7,1526
36,7,23,1920
37,23,7,1974
38,8,33,1279
39,33,8,1505
40,8,18,1374
41,18,8,1928
42,9,18,1176
43,18,9,1395
44,10,11,1674
45,11,10,1203
46,10,14,1578
47,14,10,1258
48,11,12,1187
49,12,11,1907
50,12,23,1713
51,23,12,1364
52,13,24,1239
53,24,13,1846
54,13,32,1702
55,32,13,1859
56,14,19,1286
57,19,14,1640
58,14,23,1863
59,23,14,1222
60,16,17,1098
61,17,16,1017
62,16,18,1317
63,18,16,1753
64,16,23,1065
65,23,16,1880
66,17,19,1368
67,19,17,1955
68,17,23,1717
69,23,17,1897
70,20,21,1313
71,21,20,1444
72,21,22,1942
73,22,21,1097
74,23,31,1385
75,31,23,1674
76,24,33,1764
77,33,24,1039
78,24,31,1810
79,31,24,1357
80,25,31,1413
81,31,25,1977
82,26,27,1433
83,27,26,1393
84,26,29,1005
85,29,26,1660
86,27,28,1204
87,28,27,1279
88,28,30,1863
89,30,28,1344
90,29,30,1803
91,30,29,1808
92,30,32,1068
93,32,30,1406
94,30,31,1886
95,31,30,1759
96,32,33,1775
97,33,32,1237
