flowID,coflowID,src,dst,bandwidth,weight
0,0,6,18,187.9864133350772,1
1,0,8,12,139.5735381655,1
2,0,3,4,149.4824498593702,1
3,0,7,13,192.2961534738467,1
4,0,3,10,179.95830517615474,1
5,0,12,19,208.2343182865273,1
6,0,11,0,136.6709937582256,1
7,0,4,2,218.64283995483575,1
8,0,17,4,194.08055033202567,1
9,0,19,22,214.1851010970326,1
10,0,2,0,136.77375219121376,1
11,0,20,15,184.17121609365523,1
12,0,0,2,117.42358075147659,1
13,0,9,3,181.8378588143923,1
14,0,22,21,199.63965078257849,1
15,0,5,20,165.4718587433169,1
16,0,1,8,236.1211866015062,1
17,0,21,20,124.27441323429603,1
18,0,16,21,113.09366632478367,1
19,0,0,18,180.82496457163927,1
20,0,1,19,201.51216402810525,1
21,0,20,10,207.65220359266374,1
22,0,17,5,111.30388307702577,1
23,0,16,18,181.18739664528698,1
24,0,13,4,185.73974351824208,1
0,1,19,21,180.07794941801595,1
1,1,14,10,144.27269746608349,1
2,1,13,4,106.62633945220963,1
3,1,12,1,138.84762401982348,1
4,1,8,6,206.61884913806318,1
5,1,18,3,182.2656083826468,1
6,1,20,0,111.09293177811603,1
7,1,17,3,243.81945376667542,1
8,1,2,0,172.1392381541065,1
9,1,17,20,240.22613939146154,1
10,1,15,22,144.87035295220866,1
11,1,21,19,228.8364836220733,1
12,1,9,1,184.2047241122097,1
13,1,22,4,122.46461946033261,1
14,1,18,3,119.1849164134874,1
15,1,21,12,231.79133469056012,1
16,1,10,20,114.63239138221022,1
17,1,12,13,101.40977259039153,1
18,1,13,5,130.46444559744097,1
19,1,20,18,138.65738359588275,1
20,1,19,17,126.04342230243486,1
21,1,0,21,206.38758810426975,1
22,1,0,6,117.19783640368539,1
23,1,7,15,213.57187550310434,1
24,1,22,0,119.01731173548932,1
0,2,6,8,210.52033702211176,1
1,2,21,12,188.4737573995428,1
2,2,15,18,171.49140654344353,1
3,2,0,2,173.32332927694574,1
4,2,17,12,143.82330957713336,1
5,2,7,3,158.92632576419675,1
6,2,2,16,162.27082122804285,1
7,2,20,15,190.1771803191374,1
8,2,5,11,136.06905304121028,1
9,2,3,0,129.92382082139878,1
10,2,19,3,116.8883826062226,1
11,2,11,22,200.91732098044986,1
12,2,22,6,183.0159825793603,1
13,2,21,12,204.90271839518556,1
14,2,19,4,166.92943926869728,1
15,2,2,13,176.52443733308831,1
16,2,14,17,104.23232775768517,1
17,2,11,9,132.13765431335023,1
18,2,1,0,105.18755898455854,1
19,2,18,21,190.1116039750318,1
20,2,14,2,161.01150303613173,1
21,2,16,10,150.92387081296727,1
22,2,8,11,180.52164071015264,1
23,2,0,19,142.54632842622436,1
24,2,7,17,152.71604767402718,1
0,3,1,11,105.41497099464404,1
1,3,6,14,145.6571648829587,1
2,3,21,13,138.07118785470914,1
3,3,8,0,155.01861753017315,1
4,3,8,18,164.67264894358368,1
5,3,7,11,210.05974226582666,1
6,3,5,6,162.80996174043545,1
7,3,11,13,202.419118871189,1
8,3,17,2,194.38497082970082,1
9,3,16,21,197.90098739155283,1
10,3,3,0,163.61684204351138,1
11,3,4,19,153.14486754343181,1
12,3,8,17,167.0619241741112,1
13,3,5,18,193.0862538144005,1
14,3,5,2,149.7769505893383,1
15,3,12,11,141.66599360915575,1
16,3,7,16,119.74505385268282,1
17,3,11,6,121.1935880307,1
18,3,21,8,185.24754973745985,1
19,3,19,9,148.55640170222244,1
20,3,22,19,191.17636186769778,1
21,3,8,2,233.62582269754455,1
22,3,9,2,183.34900177219043,1
23,3,20,10,164.9278517667568,1
24,3,7,1,190.95827001403433,1
0,4,14,22,208.13996937233907,1
1,4,4,2,215.67480144103095,1
2,4,0,21,111.8309914479583,1
3,4,21,22,161.5529469818859,1
4,4,2,4,133.68058774422383,1
5,4,11,4,143.37425055168453,1
6,4,12,21,175.53384349197475,1
7,4,22,14,169.510683774535,1
8,4,14,12,203.3906222429963,1
9,4,5,11,170.25742835818824,1
10,4,14,15,210.2386271219284,1
11,4,12,15,111.18427910287248,1
12,4,17,8,223.25190671579725,1
13,4,10,9,205.56307647812162,1
14,4,22,16,121.22762517185971,1
15,4,12,21,204.52664040594553,1
16,4,19,11,228.17217493708267,1
17,4,15,11,139.97063333979736,1
18,4,12,3,145.64636496359634,1
19,4,0,14,176.61029928747365,1
20,4,16,10,203.78120927603044,1
21,4,19,17,103.36177570675899,1
22,4,12,20,214.3721047489817,1
23,4,16,4,186.04622024726734,1
24,4,17,12,145.6813422960308,1
0,5,9,5,211.10457112391984,1
1,5,14,12,161.2977740257322,1
2,5,22,0,218.7166985988543,1
3,5,20,22,201.5556171687199,1
4,5,10,11,134.59768366314782,1
5,5,13,14,146.87390666714458,1
6,5,9,10,108.85767763401981,1
7,5,3,13,176.25195393052428,1
8,5,20,2,109.59806588988125,1
9,5,17,10,115.67011084862841,1
10,5,20,6,100.73765067706908,1
11,5,6,12,160.88739661669786,1
12,5,6,22,128.6267111533775,1
13,5,10,14,199.4334772567536,1
14,5,13,4,120.95517107206986,1
15,5,6,3,154.5377932992604,1
16,5,8,5,103.44265049432975,1
17,5,4,6,145.8474051939566,1
18,5,7,12,181.53157969070878,1
19,5,10,22,214.92220949719578,1
20,5,11,21,126.18927568185086,1
21,5,11,9,213.71317128938716,1
22,5,18,2,193.8735272388475,1
23,5,10,22,119.6163794526339,1
24,5,14,17,134.2932547166967,1
